sample_col,sample_name,kingdom,phylum,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:102891NEG,102891NEG,Bacteria,Actinomycetota,batch_06_ALL-25-2-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:23NEG,23NEG,Bacteria,Pseudomonadota,batch_06_ALL-25-2-NEG,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:24A1-A2-A3NEG,24A1-A2-A3NEG,Protozoa,Evosea,batch_05_OE25-1-NEG,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:24S3NEG,24S3NEG,Protozoa,Evosea,batch_05_OE25-1-NEG,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:25S1-S2NEG,25S1-S2NEG,Protozoa,Evosea,batch_05_OE25-1-NEG,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:27NEG,27NEG,Plantae,Streptophyta,batch_06_ALL-25-2-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:68A1-A2-A3NEG,68A1-A2-A3NEG,Protozoa,Evosea,batch_05_OE25-1-NEG,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:68S1-S2-S3NEG,68S1-S2-S3NEG,Protozoa,Evosea,batch_05_OE25-1-NEG,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff1NEG,ACNeff1NEG,Protozoa,Discosea,batch_05_OE25-1-NEG,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff234NEG,ACNeff234NEG,Protozoa,Discosea,batch_05_OE25-1-NEG,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeffE25-123NEG,ACNeffE25-123NEG,Protozoa,Discosea,batch_05_OE25-1-NEG,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:BIGV3-NEG,BIGV3-NEG,Viruses,Nucleocytoviricota,batch_06_ALL-25-2-NEG,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RC0970NEG,Cafet-RC0970NEG,Protozoa,Bicosoecida,batch_06_ALL-25-2-NEG,Bicosoecida,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RCC970NEG,Cafet-RCC970NEG,Protozoa,Bicosoecida,batch_06_ALL-25-2-NEG,Bicosoecida,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:CroVNEG,CroVNEG,Viruses,Nucleocytoviricota,batch_06_ALL-25-2-NEG,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:DSM1988-2NEG,DSM1988-2NEG,Fungi,Ascomycota,batch_06_ALL-25-2-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:DSM1988NEG,DSM1988NEG,Fungi,Ascomycota,batch_06_ALL-25-2-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:I10NEG,I10NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I11NEG,I11NEG,Animalia,Mollusca,batch_03_OE23-NEG,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I12NEG,I12NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I5NEG,I5NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I6NEG,I6NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I7NEG,I7NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I8NEG,I8NEG,Animalia,Mollusca,batch_03_OE23-NEG,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I9NEG,I9NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:LHKa1NEG,LHKa1NEG,Bacteria,Pseudomonadota,batch_05_OE25-1-NEG,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa2NEG,LHKa2NEG,Bacteria,Pseudomonadota,batch_05_OE25-1-NEG,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa3NEG,LHKa3NEG,Bacteria,Pseudomonadota,batch_05_OE25-1-NEG,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:Lu01NEG,Lu01NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu02NEG,Lu02NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu03NEG,Lu03NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu04-2NEG,Lu04-2NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu04NEG,Lu04NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu05NEG,Lu05NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu06NEG,Lu06NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu07NEG,Lu07NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu08NEG,Lu08NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu10NEG,Lu10NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu11NEG,Lu11NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu12NEG,Lu12NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu13NEG,Lu13NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu14NEG,Lu14NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu15NEG,Lu15NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu16NEG,Lu16NEG,Animalia,Arthropoda,batch_03_OE23-NEG,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu17NEG,Lu17NEG,Fungi,Ascomycota,batch_03_OE23-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:Lu18NEG,Lu18NEG,Plantae,Streptophyta,batch_03_OE23-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:N1NEG,N1NEG,Animalia,Nematoda,batch_03_OE23-NEG,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:N2NEG,N2NEG,Animalia,Nematoda,batch_03_OE23-NEG,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:N3NEG,N3NEG,Animalia,Nematoda,batch_03_OE23-NEG,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-A1NEG,OE11-3-E4-A1NEG,Bacteria,Actinomycetota,batch_01_OE11-3-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-A4NEG,OE11-3-E4-A4NEG,Archaea,Methanobacteriota,batch_01_OE11-3-NEG,Halobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-B5NEG,OE11-3-E4-B5NEG,Bacteria,Actinomycetota,batch_01_OE11-3-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-F6NEG,OE11-3-E4-F6NEG,Fungi,Mucoromycota,batch_01_OE11-3-NEG,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-P18NEG,OE11-3-E4-P18NEG,Plantae,Streptophyta,batch_01_OE11-3-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-A7NEG,OE11-E4-A7NEG,Archaea,Methanobacteriota,batch_01_OE11-3-NEG,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B3NEG,OE11-E4-B3NEG,Archaea,Methanobacteriota,batch_01_OE11-3-NEG,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B4NEG,OE11-E4-B4NEG,Bacteria,Actinomycetota,batch_01_OE11-3-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F15NEG,OE11-E4-F15NEG,Fungi,Basidiomycota,batch_01_OE11-3-NEG,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F2NEG,OE11-E4-F2NEG,Fungi,Ascomycota,batch_01_OE11-3-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F47NEG,OE11-E4-F47NEG,Fungi,Mucoromycota,batch_01_OE11-3-NEG,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-P11NEG,OE11-E4-P11NEG,Plantae,Streptophyta,batch_01_OE11-3-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-P14NEG,OE11-E4-P14NEG,Plantae,Streptophyta,batch_01_OE11-3-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-P26NEG,OE11-E4-P26NEG,Plantae,Streptophyta,batch_01_OE11-3-NEG,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-2-11NEG,OE21-2-11NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-28NEG,OE21-2-28NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-31NEG,OE21-2-31NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-34NEG,OE21-2-34NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-A10NEG,OE21-2-A10NEG,Archaea,Methanobacteriota,batch_02_OE21-4-NEG,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE21-2-A1NEG,OE21-2-A1NEG,Archaea,Thermoproteota,batch_02_OE21-4-NEG,Thermoproteota,Thermoproteota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE21-2-A3NEG,OE21-2-A3NEG,Archaea,Thermoproteota,batch_02_OE21-4-NEG,Thermoproteota,Thermoproteota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE21-2-E6C13NEG,OE21-2-E6C13NEG,Bacteria,Actinomycetota,batch_02_OE21-4-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-E6C4NEG,OE21-2-E6C4NEG,Bacteria,Actinomycetota,batch_02_OE21-4-NEG,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-2-E8F40NEG,OE21-2-E8F40NEG,Fungi,Ascomycota,batch_02_OE21-4-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-2-E8F48NEG,OE21-2-E8F48NEG,Fungi,Ascomycota,batch_02_OE21-4-NEG,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-2-F10NEG,OE21-2-F10NEG,Fungi,Basidiomycota,batch_02_OE21-4-NEG,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-2-P1NEG,OE21-2-P1NEG,Plantae,Streptophyta,batch_02_OE21-4-NEG,Bryophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-2-P6NEG,OE21-2-P6NEG,Plantae,Streptophyta,batch_02_OE21-4-NEG,Marchantiophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-11NEG,OE21-4-11NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-4-19NEG,OE21-4-19NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-4-28NEG,OE21-4-28NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-4-31NEG,OE21-4-31NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-4-34NEG,OE21-4-34NEG,Bacteria,Bacillota,batch_02_OE21-4-NEG,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
