original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:102891POS,102891POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:22POS,22POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:23POS,23POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:24A1-A2-A3POS,24A1-A2-A3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_apo,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:24S3POS,24S3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:25S1-S2POS,25S1-S2POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:27POS,27POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:68A1-A2-A3POS,68A1-A2-A3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS68_apo,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:68S1-S2-S3POS,68S1-S2-S3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS68_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff1POS,ACNeff1POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff234POS,ACNeff234POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeffE25-123POS,ACNeffE25-123POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff-E25,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:B34POS,B34POS,Mixed,Mixed,,,,OE25B34POS.mzML,,batch_06_ALL-25-2,Mixed,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:BIGD-4BFL26POS,BIGD-4BFL26POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:BIGDo-4BFL26POS,BIGDo-4BFL26POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:BIGV3-POS,BIGV3-POS,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Bodo saltans virus,,batch_06_ALL-25-2,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RC0970POS,Cafet-RC0970POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RCC970POS,Cafet-RCC970POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:CroVPOS,CroVPOS,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteria roenbergensis virus,,batch_06_ALL-25-2,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:DSM1988-2POS,DSM1988-2POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:DSM1988POS,DSM1988POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:EISTD1POS,EISTD1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:HPPOS,HPPOS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:I5POS_20240925024318,I5POS_20240925024318,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I8POS,I8POS,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Pomatias,Pomatias elegans,batch_03_OE23-POS,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I8POS_20240925010944,I8POS_20240925010944,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Pomatias,Pomatias elegans,batch_03_OE23-POS,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I9POS,I9POS,Animalia,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,Glomeris marginata,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:LHKa1POS,LHKa1POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa2POS,LHKa2POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa3POS,LHKa3POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:Lu03POS_20240924172144,Lu03POS_20240924172144,Animalia,Arthropoda,arachnida,Sarcoptiformes,Galumnidae,Allogalumna,Allogalumna longipluma,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu04-2POS,Lu04-2POS,,,,,,,,batch_03_OE23-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:Lu04POS_20240924110720,Lu04POS_20240924110720,Animalia,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Heteromurus,Heteromurus nitidus,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu05POS,Lu05POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Sinella,Sinella curviseta,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu07POS_20240924182408,Lu07POS_20240924182408,Animalia,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Protaphorura,Protaphorura fimata,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu08POS,Lu08POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Sinella,Sinella curviseta,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
