mode,sample_id,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,changed,reason,taxonomy_release
POS,sample:102891POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:22POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:23POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:24A1-A2-A3POS,Evosea,Evosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:24S3POS,Evosea,Evosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:25S1-S2POS,Evosea,Evosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:27POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:68A1-A2-A3POS,Evosea,Evosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:68S1-S2-S3POS,Evosea,Evosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:ACNeff1POS,Discosea,Discosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:ACNeff234POS,Discosea,Discosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:ACNeffE25-123POS,Discosea,Discosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:B34POS,Mixed,,descriptive_only,,false,mixed sample,ncbi-phylum-2026-08-04-v1
POS,sample:BIGD-4BFL26POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:BIGDo-4BFL26POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:BIGV3-POS,Nucleocytoviricota,,descriptive_only,,false,virus samples retained in inventory but excluded by study scope,ncbi-phylum-2026-08-04-v1
POS,sample:Cafet-RC0970POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:Cafet-RCC970POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:CroVPOS,Nucleocytoviricota,,descriptive_only,,false,virus samples retained in inventory but excluded by study scope,ncbi-phylum-2026-08-04-v1
POS,sample:DSM1988-2POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:DSM1988POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:EISTD1POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:HPPOS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:I5POS_20240925024318,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:I8POS,Mollusca,Mollusca,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:I8POS_20240925010944,Mollusca,Mollusca,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:I9POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:LHKa1POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:LHKa2POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:LHKa3POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu03POS_20240924172144,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu04-2POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:Lu04POS_20240924110720,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu05POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu07POS_20240924182408,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu08POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu11POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu12POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu13POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu16POS,Arthropoda,Arthropoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu18POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,true,mapped to NCBI phylum Streptophyta,ncbi-phylum-2026-08-04-v1
POS,sample:Lu19POS,Cyanobacteriota,Cyanobacteriota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Lu20POS_20240925014054,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:M303POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:MCP28POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:N-clarki-1POS,Heterolobosea,Heterolobosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:N1POS,Nematoda,Nematoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:N2POS,Nematoda,Nematoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:N2POS_20240925051918,Nematoda,Nematoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:N3POS,Nematoda,Nematoda,core_candidate,Animalia,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:NClarki2POS,Heterolobosea,Heterolobosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:NEH18POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:Nkorea-1POS,Heterolobosea,Heterolobosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:Nkorea2POS,Heterolobosea,Heterolobosea,core_candidate,Protists,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-A1POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-A4POS,Halobacteriota,Methanobacteriota,core_candidate,Archaea,true,mapped to NCBI phylum Methanobacteriota,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-B5POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-F6POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,false,unchanged verified NCBI phylum,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-P18POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,true,mapped to NCBI phylum Streptophyta,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-P27POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,true,mapped to NCBI phylum Streptophyta,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-SRM1POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E4-SRM1POS_20230211043148,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3-E5-SRM2POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3ISTD-1POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
POS,sample:OE11-3POOL-1COND1POS,,,excluded,,false,no taxonomic label,ncbi-phylum-2026-08-04-v1
