SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi	source_batch
CCMSLIB00010078053	84057	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.988002	4802750.0	0	43.0382	12	0.0308838	717.56	1	temp/spectra_filtered.mgf84057	1	SM(d18:1/17:0); [M+H]+ C40H82N2O6P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	717.591	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	717.591	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010078053	OE11-3-POS
CCMSLIB00010056731	73600	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.987929	20891800.0	0	78.3052	9	0.0612793	782.509	1	temp/spectra_filtered.mgf73600	1	PC(18:2/18:2); [M+H]+ C44H81N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	782.57	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	782.57	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010056731	OE11-3-POS
CCMSLIB00010068182	93985	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.98785	23156400.0	0	81.9868	8	0.0667114	813.618	1	temp/spectra_filtered.mgf93985	1	SM(d18:2/24:0); [M+H]+ C47H94N2O6P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	813.685	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	813.685	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010068182	OE11-3-POS
CCMSLIB00010078053	84588	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.987098	7103030.0	0	43.7186	15	0.0313721	717.56	1	temp/spectra_filtered.mgf84588	1	SM(d18:1/17:0); [M+H]+ C40H82N2O6P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	717.591	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	717.591	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010078053	OE11-3-POS
CCMSLIB00010079721	77485	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.985627	52840300.0	0	61.7661	11	0.0436401	706.583	1	temp/spectra_filtered.mgf77485	1	PC(14:0/16:0); [M+H]+ C38H77N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	706.539	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	706.539	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010079721	OE11-3-POS
CCMSLIB00010057503	98464	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.984702	141878000.0	0	70.8429	9	0.0557251	786.657	1	temp/spectra_filtered.mgf98464	1	PC(18:0/18:2); [M+H]+ C44H85N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	786.601	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	786.601	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010057503	OE11-3-POS
CCMSLIB00010081827	98112	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.984048	36999000.0	0	70.4573	11	0.0535889	760.64	1	temp/spectra_filtered.mgf98112	1	PC(16:0/18:1); [M+H]+ C42H83N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	760.586	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	760.586	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010081827	OE11-3-POS
CCMSLIB00010090395	46401	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.983773	30911400.0	0	73.6594	11	0.0574951	780.497	1	temp/spectra_filtered.mgf46401	1	PC(18:2/18:3); [M+H]+ C44H79N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	780.554	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	780.554	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010090395	OE11-3-POS
CCMSLIB00010090397	66534	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.98375	7198110.0	0	63.5888	11	0.0447998	704.568	1	temp/spectra_filtered.mgf66534	1	PC(14:0/16:1); [M+H]+ C38H75N1O8P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	704.523	0.0	1						1	Positive	PNNL-LIPIDS-POSITIVE	704.523	UPDATE-SINGLE-ANNOTATED-GOLD	Gold											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010090397	OE11-3-POS
CCMSLIB00003138547	40845	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.983124	18215200.0	0	42.1927	8	0.01651	391.283	1	temp/spectra_filtered.mgf40845	1	Spectral Match to Dioctyl phthalate from NIST14	ESI	QqQ	Isolated	Data from Maria Maansson	Data deposited by marjo	M+H	391.3	0.0	1	117840					3	Positive	GNPS-NIST14-MATCHES	391.3	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138547	OE11-3-POS
