filename,batch,reason
OE11-E4-A5NEG.mzML Peak area,batch_01_OE11-3_NEG,Unknown organism - no taxonomy recoverable
OE11-E4-B1NEG.mzML Peak area,batch_01_OE11-3_NEG,Unknown organism - no taxonomy recoverable
OE11-E4-B6NEG.mzML Peak area,batch_01_OE11-3_NEG,Unknown organism - no taxonomy recoverable
OE21-2-C44NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-2-C5NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-2-E8F55NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-19_B9NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-A11NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-C16NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-C18NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-C44NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-C5NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
OE21-4-E8F16NEG.mzML Peak area,batch_02_OE21-4_NEG,Unknown organism - no taxonomy recoverable
22NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
BIGD-4BFL26NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
BIGDo-4BFL26NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
HPNEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
M303NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
MCP28NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
NEH18NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Unknown organism - no taxonomy recoverable
OE11-3-E4-BLK-2-NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=BLANK)
OE11-3-E4-P27NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=Unknown)
OE11-3-E4-SRM1NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=STANDARD)
OE11-3-E4-SRM2NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=STANDARD)
OE11-3-E5-SRM2NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=STANDARD)
OE11-3POOL-QC2NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=QC)
OE11-3POOL-QC3NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=QC)
OE11-3POOL-QC4NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=QC)
OE11-3POOL-QC5NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=QC)
OE11-3POOL-QC6NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=QC)
OE11-E4-EBLK3NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=BLANK)
OE11-E4-ISTD-2NEG.mzML Peak area,batch_01_OE11-3_NEG,Non-biological sample (type=STANDARD)
OE21-2-19-B9NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-2-BLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-E8SBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-EBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-F14NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-2-F16NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-2-F3NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-2-QC1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QC2NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QC3NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QC5NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QCPOOL1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QCPOOL2NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QCPOOL3NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-QCPOOL4NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-2-SBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SBLK2NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SBLK5NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SBLK6NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SBLK7NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SBLK9NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-2-SRM6NEG1.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
OE21-4-E8BLK2NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-E8ISTDNEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
OE21-4-E8SBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-E8SRM7NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
