original_header,sample_name,organism,kingdom,phylum,class,order,family,genus,species,sample_type,batch,ion_mode,include_in_analysis,exclusion_reason
OE11-3-E4-A1NEG.mzML Peak area,OE11-3-E4-A1NEG,Rhodococcus_unclassified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nocardiaceae,Rhodococcus,unclassified,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-3-E4-A4NEG.mzML Peak area,OE11-3-E4-A4NEG,Haloferax _Haloferax volcanii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax ,Haloferax volcanii,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-3-E4-B5NEG.mzML Peak area,OE11-3-E4-B5NEG,Arthrobacter_unclassified,Bacteria,Actinomycetota,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,unclassified,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-3-E4-F6NEG.mzML Peak area,OE11-3-E4-F6NEG,Rhizopus_Rhizopus Oligosporus,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus Oligosporus,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-3-E4-P18NEG.mzML Peak area,OE11-3-E4-P18NEG,Petroelinum_Petroselinum crispum (leaves),Plantae,Trachaeophyta,Magnoliopsida,Apiales,Apiaceae,Petroelinum,Petroselinum crispum (leaves),Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-A7NEG.mzML Peak area,OE11-E4-A7NEG,Methanosarcina_Methanosarcina spelaei,Archaea,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-B3NEG.mzML Peak area,OE11-E4-B3NEG,Methanopyrus_Methanopyrus kandleri,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-B4NEG.mzML Peak area,OE11-E4-B4NEG,Streptosporangium_Streptosporangium roseum,Bacteria,Actinomycetota,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-F15NEG.mzML Peak area,OE11-E4-F15NEG,Amanita_Amanita caserea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita caserea,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-F2NEG.mzML Peak area,OE11-E4-F2NEG,Gliocladium_Gliocladium flavofuscum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Gliocladium,Gliocladium flavofuscum,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-F47NEG.mzML Peak area,OE11-E4-F47NEG,Mucor_Mucor hiemalis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor hiemalis,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-P11NEG.mzML Peak area,OE11-E4-P11NEG,Equisetum_Equisetum arvense,Plantae,Trachaeophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-P14NEG.mzML Peak area,OE11-E4-P14NEG,Allium_Allium ursinum,Plantae,Trachaeophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium ursinum,Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE11-E4-P26NEG.mzML Peak area,OE11-E4-P26NEG,Taraxcum_Taraxacum officinale (roots),Plantae,Trachaeophyta,Magnoliopsida,Asterales,Asteraceae,Taraxcum,Taraxacum officinale (roots),Biological,batch_01_OE11-3-NEG,Negative,Yes,
OE21-2-11NEG.mzML Peak area,OE21-2-11NEG,Priestia_Priestia aryabhattai,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Priestia,Priestia aryabhattai,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-28NEG.mzML Peak area,OE21-2-28NEG,Bacillus_Bacillus proteolyticus,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus proteolyticus,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-31NEG.mzML Peak area,OE21-2-31NEG,Peribacillus_Peribacillus frigoritolerans,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Peribacillus,Peribacillus frigoritolerans,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-34NEG.mzML Peak area,OE21-2-34NEG,Priestia_Priestia megaterium,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Priestia,Priestia megaterium,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-A10NEG.mzML Peak area,OE21-2-A10NEG,Methanocaldococcus_Methanocaldococcus jannaschii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-A1NEG.mzML Peak area,OE21-2-A1NEG,Sulfolobus_Sulfolobus islandicus,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-A3NEG.mzML Peak area,OE21-2-A3NEG,Sulfolobus_Sulfolobus acidocaldarius,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-E6C13NEG.mzML Peak area,OE21-2-E6C13NEG,Stretomyces_unclassified,Bacteria,Actinomycetota,Actinobacteridae,Actinomycetales,Streptomycataceae,Stretomyces,unclassified,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-E6C4NEG.mzML Peak area,OE21-2-E6C4NEG,Rhodococcus_unclassified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nocardiaceae,Rhodococcus,unclassified,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-E8F40NEG.mzML Peak area,OE21-2-E8F40NEG,Alternaria_Alternata_D_D49,Fungi,Ascomycota,,,,Alternaria,Alternaria alternata,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-E8F48NEG.mzML Peak area,OE21-2-E8F48NEG,Schwanniomyces_Capriottii_NG_p11,Fungi,Ascomycota,,,,Schwanniomyces,Schwanniomyces capriottii,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-F10NEG.mzML Peak area,OE21-2-F10NEG,Lentinula_Lentinula Edodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula Edodes,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-P1NEG.mzML Peak area,OE21-2-P1NEG,Tortella_Tortella Tortuosa,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortella,Tortella Tortuosa,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-2-P6NEG.mzML Peak area,OE21-2-P6NEG,Bazzania_Bazzania trilobata,Plantae,Marchantiophyta,Jungermanniopsida,Lepidoziales,Lepidoziaceae,Bazzania,Bazzania trilobata,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-11NEG.mzML Peak area,OE21-4-11NEG,Priestia_Priestia aryabhattai,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Priestia,Priestia aryabhattai,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-19NEG.mzML Peak area,OE21-4-19NEG,Exiguobacterium _Exiguobacterium aestuarii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Exiguobacterium ,Exiguobacterium aestuarii,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-28NEG.mzML Peak area,OE21-4-28NEG,Bacillus_Bacillus proteolyticus,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus proteolyticus,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-31NEG.mzML Peak area,OE21-4-31NEG,Peribacillus_Peribacillus frigoritolerans,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Peribacillus,Peribacillus frigoritolerans,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-34NEG.mzML Peak area,OE21-4-34NEG,Priestia_Priestia megaterium,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Priestia,Priestia megaterium,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-A10NEG.mzML Peak area,OE21-4-A10NEG,Methanocaldococcus_Methanocaldococcus jannaschii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-A12NEG.mzML Peak area,OE21-4-A12NEG,Methanospirillum_Methanospirillum stamsii,Archaea,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum stamsii,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-A1NEG.mzML Peak area,OE21-4-A1NEG,Sulfolobus_Sulfolobus islandicus,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-A3NEG.mzML Peak area,OE21-4-A3NEG,Sulfolobus_Sulfolobus acidocaldarius,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius,Biological,batch_02_OE21-4-NEG,Negative,Yes,
OE21-4-A5NEG.mzML Peak area,OE21-4-A5NEG,Methanothermococcus_Methanothermococcus okinawensis,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae�,Methanothermococcus,Methanothermococcus okinawensis,Biological,batch_02_OE21-4-NEG,Negative,Yes,
