feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier,discovery_method
NEG_42195,661.5421155513131,5.5700326,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,10.093,1091363.2,0.0,1,1.0,98.86,22,1,Platinum,Diamond,composite
NEG_26047,552.4636359339753,12.292119,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,10.338,1292952.1,0.0,1,1.0,98.86,22,1,Platinum,Diamond,composite
NEG_36941,628.5313928574346,4.6079025,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,10.034,1047628.6,0.0,1,1.0,98.86,22,1,Platinum,Diamond,composite
NEG_28221,569.4536402590246,12.297425,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,9.97,1002124.1,0.0,1,1.0,98.8,22,1,Platinum,Diamond,composite
NEG_36623,626.5289077812536,17.40817967718791,2,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,9.668,812476.1,0.0,1,1.0,98.2,22,1,Platinum,Diamond,composite
NEG_22420,521.2990681416977,2.8124657,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,9.254,609563.6,0.0,1,1.0,97.37,22,1,Platinum,Diamond,composite
NEG_36224,623.5261027377678,5.5180726,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,8.334,321581.0,0.0,1,1.0,96.67,22,1,Platinum,Diamond,composite
NEG_5599,355.3048586689303,3.4879014,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,9.455,701062.7,0.0,1,1.0,96.64,22,1,Platinum,Diamond,composite
NEG_10579,417.3204362645589,3.5212429,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,11.396,2694052.8,0.0,1,1.0,96.59,22,1,Platinum,Diamond,composite
NEG_9180,402.30154122760223,3.053824,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,10.388,1338640.8,0.0,1,1.0,96.59,22,1,Platinum,Diamond,composite
NEG_21253,509.3352542983181,4.9007726,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,10.333,1289224.0,0.0,1,1.0,96.59,22,1,Platinum,Diamond,composite
NEG_14096,450.3016735765568,3.143509,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,10.455,1402317.9,0.0,1,1.0,96.59,22,1,Platinum,Diamond,composite
NEG_36625,626.5290468524946,17.135237,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,10.002,1024287.7,0.0,1,1.0,96.59,22,1,Platinum,Diamond,composite
NEG_5738,358.2389494800441,2.0372612,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,9.897,952433.5,0.0,1,1.0,96.38,22,1,Platinum,Diamond,composite
NEG_12052,431.3363641638895,6.3779297,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,8.653,401486.9,0.0,1,1.0,96.17,22,1,Platinum,Diamond,composite
NEG_51552,716.5367400732076,4.0599017,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,9.144,564784.6,0.0,1,1.0,96.02,22,1,Platinum,Diamond,composite
NEG_69844,804.633587566921,17.945265,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,8.51,363524.6,0.0,1,1.0,95.88,22,1,Platinum,Diamond,composite
NEG_42328,662.5454537830145,5.5683274,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,8.837,456321.5,0.0,1,1.0,95.4,22,1,Platinum,Diamond,composite
NEG_37900,634.5421453225483,15.969691,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,9.316,636265.0,0.0,1,1.0,95.22,22,1,Platinum,Diamond,composite
NEG_14942,456.3481814245307,6.55741,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,7.959,247883.9,0.0,1,1.0,94.78,22,1,Platinum,Diamond,composite
NEG_32665,600.5134487386946,17.202707,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,7.811,223616.5,0.0,1,1.0,94.49,22,1,Platinum,Diamond,composite
NEG_72056,814.5969630142392,4.8669577,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,7.809,223319.0,0.0,1,1.0,94.48,22,1,Platinum,Diamond,composite
NEG_8366,394.2623329280883,5.5604906,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,7.23,149103.6,0.0,1,1.0,94.46,22,1,Platinum,Diamond,composite
NEG_31369,591.4750543744082,12.286267,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,8.911,480490.4,0.0,1,1.0,94.41,22,1,Platinum,Diamond,composite
NEG_23587,531.3171226783925,4.50125,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,7.674,203255.4,0.0,1,1.0,94.21,22,1,Platinum,Diamond,composite
NEG_7203,380.3172876125054,3.7685792,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,7.61,194365.9,0.0,1,1.0,94.08,22,1,Platinum,Diamond,composite
NEG_37136,629.5349755998117,4.61683,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,8.657,402524.8,0.0,1,1.0,93.9,22,1,Platinum,Diamond,composite
NEG_50978,713.5177563639137,3.7410328,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,9.193,584281.3,0.0,1,1.0,93.84,22,1,Platinum,Diamond,composite
NEG_51178,714.5371904038277,4.0525126,1,Arthropoda,Animalia,19,0,0.8636,1.0,1.0,8.535,369933.1,0.0,1,1.0,93.66,22,1,Platinum,Diamond,composite
NEG_25651,549.295145512755,4.567733,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,9.094,545329.6,0.0,1,1.0,93.64,22,1,Platinum,Diamond,composite
NEG_44034,672.5577634496702,4.5889373,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,9.058,532121.0,0.0,1,1.0,93.57,22,1,Platinum,Diamond,composite
NEG_36845,628.3839686764456,5.680984,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,7.877,234117.6,0.0,1,1.0,93.48,22,1,Platinum,Diamond,composite
NEG_14883,456.2135380512063,5.5662045,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,6.683,101759.8,0.0,1,1.0,93.37,22,1,Platinum,Diamond,composite
NEG_5806,360.221367264156,2.0564294,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,8.959,496666.8,0.0,1,1.0,93.37,22,1,Platinum,Diamond,composite
NEG_52117,719.5354691739406,12.320633,1,Arthropoda,Animalia,16,0,0.7273,1.0,1.0,10.891,1898599.7,0.0,1,1.0,93.18,22,1,Platinum,Platinum,composite
NEG_45501,682.2999244267422,3.716846,1,Arthropoda,Animalia,16,0,0.7273,1.0,1.0,10.905,1916164.7,0.0,1,1.0,93.18,22,1,Platinum,Platinum,composite
NEG_10084,412.2892247703901,3.713885,1,Arthropoda,Animalia,16,0,0.7273,1.0,1.0,11.418,2735308.5,0.0,1,1.0,93.18,22,1,Platinum,Platinum,composite
NEG_8027,390.2501807802258,4.0603766,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,7.666,202145.5,0.0,1,1.0,93.06,22,1,Platinum,Diamond,composite
NEG_30544,586.4899472043511,6.697571,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,6.486,88607.4,0.0,1,1.0,92.97,22,1,Platinum,Diamond,composite
NEG_69775,804.5424680106854,5.587463,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,6.45,86406.2,0.0,1,1.0,92.9,22,1,Platinum,Diamond,composite
NEG_9415,405.278180118664,6.403875,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,6.995,126558.1,0.0,1,1.0,92.85,22,1,Platinum,Diamond,composite
NEG_6295,368.1607165121863,5.818889,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,6.951,122757.8,0.0,1,1.0,92.77,22,1,Platinum,Diamond,composite
NEG_30141,583.4696625305882,12.939742,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,8.648,400266.1,0.0,1,1.0,92.75,22,1,Platinum,Diamond,composite
NEG_36947,628.5445808306876,18.57004,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,6.904,118775.7,0.0,1,1.0,92.67,22,1,Platinum,Diamond,composite
NEG_84725,875.6521802748978,5.0424848,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,6.828,112597.5,0.0,1,1.0,92.52,22,1,Platinum,Diamond,composite
NEG_9261,403.3049315355502,3.0504012,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,8.513,364269.2,0.0,1,1.0,92.48,22,1,Platinum,Diamond,composite
NEG_4868,342.1447311905972,4.8425293,1,Arthropoda,Animalia,22,0,1.0,1.0,1.0,6.233,74203.0,0.0,1,1.0,92.47,22,1,Platinum,Diamond,composite
NEG_42184,661.5229551650644,4.202901,1,Arthropoda,Animalia,18,0,0.8182,1.0,1.0,8.491,358845.9,0.0,1,1.0,92.44,22,1,Platinum,Diamond,composite
NEG_103834,1075.8574933384675,5.560782,1,Arthropoda,Animalia,20,0,0.9091,1.0,1.0,7.34,160986.5,0.0,1,1.0,92.41,22,1,Platinum,Diamond,composite
NEG_8365,394.2621591683458,5.2537436,1,Arthropoda,Animalia,21,0,0.9545,1.0,1.0,6.711,103796.4,0.0,1,1.0,92.29,22,1,Platinum,Diamond,composite
