feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
NEG_72174,815.5123769966706,14.495798564979752,2,Actinomycetota,Bacteria,9,1,0.4737,0.9,0.9942,5.586,165659.6,2470.6,2,0.5,67.46,19,4,Silver,Silver
NEG_63497,776.5621801457748,16.011327144577617,2,Actinomycetota,Bacteria,8,4,0.4211,0.6667,0.9769,9.736,8183552.5,8600.8,2,0.5,67.27,19,4,Silver,Silver
NEG_84995,877.5073661538468,13.674592912901693,2,Actinomycetota,Bacteria,8,1,0.4211,0.8889,0.9942,5.686,378126.5,6363.3,2,0.5,66.01,19,4,Silver,Silver
NEG_114499,1480.0315623268705,13.521766013887309,3,Basidiomycota,Fungi,5,2,0.4545,0.7143,0.989,4.517,208925.0,8169.8,3,1.0,66.72,11,3,Silver,Silver
NEG_118667,1576.1178808295438,15.392664288554352,2,Discosea,Protozoa,6,5,1.0,0.5455,0.9731,4.301,126867.8,5486.5,2,1.0,74.7,6,2,Silver,Silver
NEG_83881,871.6169536991407,17.14568688575456,3,Discosea,Protozoa,6,5,1.0,0.5455,0.9731,2.44,114632.0,20307.1,2,1.0,70.98,6,2,Silver,Silver
NEG_76125,832.6228060245596,15.128450529024324,2,Discosea,Protozoa,5,8,0.8333,0.3846,0.957,3.143,924381.7,103748.0,2,1.0,63.23,6,2,Silver,Silver
NEG_70966,809.6249422438094,15.4299951525006,4,Discosea,Protozoa,6,21,1.0,0.2222,0.8871,2.974,9386075.8,1194019.9,2,1.0,61.48,6,2,Silver,Silver
NEG_78101,842.5457930362072,14.798801779813822,3,Discosea,Protozoa,6,27,1.0,0.1818,0.8548,3.07,235297.3,27144.6,2,1.0,60.14,6,2,Silver,Silver
NEG_84918,876.7054146801365,18.976439360558608,3,Methanobacteriota,Archaea,7,0,0.4118,1.0,1.0,7.02,128791.2,0.0,3,1.0,79.33,17,3,Silver,Silver
NEG_49103,703.4377504441466,10.108886154497856,2,Mucoromycota,Fungi,3,0,0.4286,1.0,1.0,6.122,68666.6,0.0,2,1.0,77.96,7,2,Silver,Silver
NEG_115670,1508.035488252511,13.712260822710231,3,Mucoromycota,Fungi,7,5,1.0,0.5833,0.973,4.157,306891.5,16262.2,2,1.0,75.54,7,2,Silver,Silver
NEG_21609,513.3015300782813,2.367035749178384,2,Mucoromycota,Fungi,5,8,0.7143,0.3846,0.9568,3.319,828921.3,82186.3,2,1.0,60.6,7,2,Silver,Silver
