feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier,ls_LipidMolec,ls_ClassKey,ls_Grade,annot_tier,h_mol_species,h_species,h_class,best_annotation,annotation_level,hs_mol_species,hs_class,ms2_class,ms2_subclass,ms2_confidence,ms2_hits,propagated_classes,unified_annotation,unified_class,annotation_source,has_ms2,rt_class_used,rt_valid,rt_status,expected_rt_range,rt_deviation_min,rt_predicted_species,rt_prediction_confidence,rt_prediction_error_min,annot_confidence,archlips_annotation,archlips_source,archlips_confidence,clean_annotation,annotation_depth,clean_annotation_source,sanity_flag,exclusivity_flag,max_leakage_pct,leakage_to,n_phyla_detected,sirius_formula,sirius_adduct,has_formula,sirius_lipidClass,canopus_formula,canopus_adduct,npc_pathway,npc_pathway_prob,npc_superclass,npc_superclass_prob,npc_class,npc_class_prob,cf_superclass,cf_superclass_prob,cf_class,cf_class_prob,cf_subclass,cf_subclass_prob,has_canopus,csi_name,csi_smiles,csi_inchikey,csi_confidence,csi_score,msnovelist_smiles,msnovelist_name,has_denovo,discovery_method,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches,annotation_tier
A15_159222,1432.111819,15.0599,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,11.262,2454056.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_118643,581.399251,11.4562,1.0,Chlorophyta,Viridiplantae,5.0,0.0,1.0,1.0,1.0,10.286,1247634.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Bronze
A15_169807,1487.160394,16.0483,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.017,1035437.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_169039,1498.158883,15.9482,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.297,1257008.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_169881,1486.151855,16.0284,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.177,1156860.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_173935,1488.17394,16.3788,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,11.853,3697783.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_174993,1538.182884,16.4644,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,11.015,2068374.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_162745,1526.148419,15.3816,2.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.319,1276440.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_151398,1469.117904,14.3411,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.047,1056948.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_58181,393.336109,6.1238,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,12.319,5108029.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Bronze
