feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_46792,492.344647,5.1236,1,Arthropoda,Animalia,11,0,1.0,1.0,1.0,8.138,280743.7,0.0,1,1.0,96.28,11,1,Platinum,Diamond
A15_18762,524.315508,2.9028,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,11.191,2336382.7,0.0,1,1.0,95.45,11,1,Platinum,Diamond
A15_70604,482.324538,7.0129,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,11.937,3919595.4,0.0,1,1.0,95.45,11,1,Platinum,Diamond
A15_2199,281.101692,1.6462,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,9.156,569424.3,0.0,1,1.0,93.77,11,1,Platinum,Diamond
A15_1644,390.188387,1.6518,1,Arthropoda,Animalia,10,0,0.9091,1.0,1.0,7.83,226584.4,0.0,1,1.0,93.39,11,1,Platinum,Diamond
A15_166606,743.605916,15.7127,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,8.898,475957.6,0.0,1,1.0,93.25,11,1,Platinum,Diamond
A15_53225,654.33418,5.5154,2,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,13.543,11931213.5,0.0,1,1.0,93.18,11,1,Platinum,Platinum
A15_187098,575.559757,17.5288,1,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,10.525,1472571.0,0.0,1,1.0,93.18,11,1,Platinum,Platinum
A15_39957,527.286402,4.6591,1,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,9.988,1014640.2,0.0,1,1.0,93.16,11,1,Platinum,Platinum
A15_1273,588.39113,1.6585,1,Arthropoda,Animalia,11,0,1.0,1.0,1.0,6.512,90251.6,0.0,1,1.0,93.02,11,1,Platinum,Diamond
A15_49501,568.301586,5.366,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,8.646,399532.0,0.0,1,1.0,92.75,11,1,Platinum,Diamond
A15_130084,590.428809,12.5186,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,8.625,393673.8,0.0,1,1.0,92.7,11,1,Platinum,Diamond
A15_200666,574.555647,18.5563,2,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,8.501,361257.3,0.0,1,1.0,92.46,11,1,Platinum,Diamond
A15_7375,388.224242,2.0424,1,Arthropoda,Animalia,10,0,0.9091,1.0,1.0,7.295,156025.2,0.0,1,1.0,92.32,11,1,Platinum,Diamond
A15_42497,502.292435,4.8239,1,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,9.431,689404.8,0.0,1,1.0,92.04,11,1,Platinum,Platinum
A15_30595,484.280057,3.9279,1,Arthropoda,Animalia,9,0,0.8182,1.0,1.0,8.216,296401.9,0.0,1,1.0,91.89,11,1,Platinum,Diamond
A15_7422,401.158493,1.8203,2,Arthropoda,Animalia,10,0,0.9091,1.0,1.0,6.79,109657.3,0.0,1,1.0,91.31,11,1,Platinum,Diamond
A15_174434,715.574909,16.3754,1,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,9.001,511271.4,0.0,1,1.0,91.18,11,1,Platinum,Platinum
A15_32816,525.330788,4.1282,1,Arthropoda,Animalia,8,0,0.7273,1.0,1.0,8.987,506532.0,0.0,1,1.0,91.16,11,1,Platinum,Platinum
A15_154155,690.564171,14.5534,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,13.885,15129145.9,0.0,1,1.0,90.91,11,1,Platinum,Platinum
A15_160429,787.559026,15.1234,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,10.473,1420268.9,0.0,1,1.0,90.91,11,1,Platinum,Platinum
A15_56292,504.346088,5.9591,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,15.13,35855786.9,0.0,1,1.0,90.91,11,1,Platinum,Platinum
A15_56879,654.333864,6.0193,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,13.612,12517554.7,0.0,1,1.0,90.91,11,1,Platinum,Platinum
A15_154723,687.579909,14.5867,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,10.542,1489535.1,0.0,1,1.0,90.91,11,1,Platinum,Platinum
A15_52820,504.345448,5.6346,1,Arthropoda,Animalia,7,0,0.6364,1.0,1.0,13.645,12804996.0,0.0,1,1.0,90.91,11,1,Platinum,Platinum
