feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_174307,705.484811,16.4376,4,Bacillota,Bacteria,24,8,0.96,0.75,0.9424,6.854,1302057.6,10260.6,3,1.0,84.63,25,3,Silver,Silver
A15_169647,683.521907,16.07,4,Bacillota,Bacteria,23,9,0.92,0.7188,0.9353,7.548,3644008.2,18482.9,3,1.0,84.01,25,3,Silver,Silver
A15_175683,705.484608,16.5183,4,Bacillota,Bacteria,24,8,0.96,0.75,0.9424,4.896,1422075.0,46782.4,3,1.0,80.72,25,3,Silver,Silver
A15_221875,1305.882247,21.5456,4,Bacillota,Bacteria,23,4,0.92,0.8519,0.9712,3.699,1201703.3,91619.2,3,1.0,80.67,25,3,Silver,Silver
A15_171736,705.484769,16.3427,4,Bacillota,Bacteria,24,8,0.96,0.75,0.9424,4.858,1267171.4,42715.2,3,1.0,80.64,25,3,Silver,Silver
A15_222603,523.471833,21.7972,4,Bacillota,Bacteria,25,9,1.0,0.7353,0.9353,4.078,5867203.4,346340.7,3,1.0,79.57,25,3,Silver,Silver
A15_219320,1272.895591,20.9483,4,Bacillota,Bacteria,18,1,0.72,0.9474,0.9928,3.833,2333062.4,162834.0,3,1.0,79.01,25,3,Silver,Silver
A15_130390,1402.960536,12.5727,4,Bacillota,Bacteria,18,2,0.72,0.9,0.9856,4.514,431064.0,17915.0,3,1.0,78.88,25,3,Silver,Silver
A15_222606,1297.916849,21.8008,4,Bacillota,Bacteria,24,9,0.96,0.7273,0.9353,3.647,6126607.4,488238.7,3,1.0,77.46,25,3,Silver,Silver
A15_97120,467.409269,9.4724,4,Bacillota,Bacteria,15,5,0.6,0.75,0.964,7.648,817824.2,3081.2,3,1.0,77.44,25,3,Silver,Silver
A15_222607,1317.95271,21.8156,4,Bacillota,Bacteria,23,7,0.92,0.7667,0.9496,3.379,2530184.1,242376.9,3,1.0,77.25,25,3,Silver,Silver
A15_180203,1129.954709,17.0415,4,Bacillota,Bacteria,23,8,0.92,0.7419,0.9424,3.107,563246.9,64485.5,3,1.0,75.9,25,3,Silver,Silver
A15_223789,1323.930973,22.0741,4,Bacillota,Bacteria,18,3,0.72,0.8571,0.9784,3.691,2304428.4,177491.0,3,1.0,75.88,25,3,Silver,Silver
A15_220914,1286.912433,21.2545,3,Bacillota,Bacteria,20,5,0.8,0.8,0.964,6.067,5775774.8,85166.0,2,0.6667,75.77,25,3,Silver,Silver
A15_222708,1314.943862,21.8082,4,Bacillota,Bacteria,24,13,0.96,0.6486,0.9065,3.878,18392057.9,1249848.0,3,1.0,75.28,25,3,Silver,Silver
A15_190091,1090.728616,17.6809,4,Bacillota,Bacteria,21,11,0.84,0.6562,0.9209,5.004,2833634.3,87339.0,3,1.0,74.9,25,3,Silver,Silver
A15_147167,664.489608,14.1845,4,Bacillota,Bacteria,24,25,0.96,0.4898,0.8201,8.918,101937799.2,209779.5,2,0.6667,74.73,25,3,Silver,Silver
A15_130384,681.469324,12.5336,4,Bacillota,Bacteria,25,14,1.0,0.641,0.8993,3.096,6258908.6,731278.4,3,1.0,74.41,25,3,Silver,Silver
A15_222264,1309.916083,21.6881,4,Bacillota,Bacteria,16,2,0.64,0.8889,0.9856,3.4,3526012.3,333051.0,3,1.0,74.32,25,3,Silver,Silver
A15_219945,1272.895448,21.0247,4,Bacillota,Bacteria,17,1,0.68,0.9444,0.9928,2.021,725630.3,178091.0,3,1.0,74.3,25,3,Silver,Silver
A15_221678,1314.943277,21.7346,4,Bacillota,Bacteria,23,15,0.92,0.6053,0.8921,4.548,19057823.7,813751.3,3,1.0,74.17,25,3,Silver,Silver
A15_189083,577.481291,17.6832,4,Bacillota,Bacteria,24,16,0.96,0.6,0.8849,4.0,5640933.7,351530.1,3,1.0,73.85,25,3,Silver,Silver
A15_120082,679.452304,11.5387,4,Bacillota,Bacteria,18,5,0.72,0.7826,0.964,3.661,148863.4,10844.8,3,1.0,73.44,25,3,Silver,Silver
A15_143305,650.475264,13.7417,4,Bacillota,Bacteria,25,32,1.0,0.4386,0.7698,6.137,25517859.2,361704.6,3,1.0,73.13,25,3,Silver,Silver
A15_118782,495.440337,11.504,5,Bacillota,Bacteria,23,17,0.92,0.575,0.8777,4.506,9583302.2,420887.1,3,1.0,73.04,25,3,Silver,Silver
A15_219512,1298.912559,21.1247,4,Bacillota,Bacteria,13,2,0.52,0.8667,0.9856,4.483,3099055.5,137632.0,3,1.0,72.82,25,3,Silver,Silver
A15_221974,535.471461,21.601,4,Bacillota,Bacteria,19,2,0.76,0.9048,0.9856,3.364,1420503.1,137051.5,2,0.6667,72.73,25,3,Silver,Silver
A15_174444,698.512322,16.4354,4,Bacillota,Bacteria,23,12,0.92,0.6571,0.9137,2.864,871079.3,118758.0,3,1.0,72.58,25,3,Silver,Silver
