feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
NEG_100008,Streptophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.6941644,MSV000083320,Homo sapiens,99325,,True,dreams_neighbour_only,unidentified
NEG_100061,Chlorophyta,Plantae,,PS,PS,Glycerophospholipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.72367793,MSV000089869,Pseudomonas aeruginosa (NCBITaxon:287),ESP058,,True,dreams_neighbour_only,eligible
NEG_100085,Arthropoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.67309386,MSV000087612,Homo sapiens (NCBITaxon:9606),28,,True,dreams_neighbour_only,unidentified
NEG_100100,Chlorophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.81983036,MSV000087048,Camellia sinensis (green tea),20200319_GreenTea38_R1,,True,dreams_neighbour_only,unidentified
NEG_100116,Chlorophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.8618416,MSV000081171,Homo sapiens,Plate3_67478_GF8_01_11034,,True,dreams_neighbour_only,unidentified
NEG_100117,Chlorophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.71957046,MSV000085120,animalia,BAX639_2x_BC1_01_24031,,True,dreams_neighbour_only,unidentified
NEG_100121,Streptophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.65221876,MSV000083462,Homo sapiens,11712.SUBJECT30.SKIN.673.A,,True,dreams_neighbour_only,unidentified
NEG_100126,Streptophyta,Plantae,DGDG(18:2_20:5),DGDG,DGDG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.6708274,MSV000085071,Several mushrooms species,P2_A12_BA12_01_52950,,True,dreams_neighbour_only,eligible
NEG_10013,Streptophyta,Plantae,FA(25:0)+COOH:(s),FA,FA,Fatty acyls,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C25H48O4,[M - H]-,1.0,True,fresh_new_or_changed,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids,Long-chain fatty acids,True,True,True,fresh_new_or_changed,0.7337873,MSV000083302,Mus musculus,S89_RA4_01_40260,,True,csi_fingerid_structure_candidate,eligible
NEG_100157,Actinomycetota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.69701976,MSV000088741,Homo sapiens (NCBITaxon:9606),QLTMS2_2,,True,dreams_neighbour_only,unidentified
NEG_100167,Streptophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7035296,MSV000082085,environmental samples <Bacillariophyta>,pos_Haweii_2016_DOM_1,,True,dreams_neighbour_only,unidentified
NEG_100189,Nematoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.6834847,MSV000082650,C57BL/6N,M104_62,,True,dreams_neighbour_only,unidentified
NEG_10019,Streptophyta,Plantae,FA(25:0)+COOH:(s),FA,FA,Fatty acyls,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C25H48O4,[M - H]-,1.0,True,fresh_new_or_changed,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids,Long-chain fatty acids,True,True,True,fresh_new_or_changed,0.79465085,MSV000089350,Heteropterys umbellata,HU5Bark_3_POS_MRM,,True,csi_fingerid_structure_candidate,eligible
NEG_100190,Arthropoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.691041,MSV000083388,Homo sapiens,1_p_StdMix_500ppb_02,,True,dreams_neighbour_only,unidentified
NEG_10020,Streptophyta,Plantae,FA(25:0)+COOH:(s),FA,FA,Fatty acyls,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C25H48O4,[M - H]-,1.0,True,fresh_new_or_changed,Fatty acids,Fatty esters,Wax monoesters,Fatty acid esters,True,True,True,fresh_new_or_changed,0.639885,MSV000080299,Zea mays,Bsub_P4_E06,,True,csi_fingerid_structure_candidate,eligible
NEG_100212,Mollusca,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.69530886,MSV000086876,,EP-ESIpos-S045,,True,dreams_neighbour_only,unidentified
