feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
A15_1000,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C27H44O9,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Glycosyldiacylglycerols,Glycosylglycerols,True,True,True,fresh_new_or_changed,0.83324254,MSV000086208,Bacteria (NCBITaxon:2),20180126_vjw839_Metabolomics_XBridge1_WS-09_soak,,True,csi_fingerid_structure_candidate,unidentified
A15_100018,Streptophyta,Viridiplantae,,Ceramide,Ceramide,Sphingolipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C45H70N2O7,[M + H]+,0.963,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Diacylglycerols,Amino acids and derivatives,True,True,True,fresh_new_or_changed,0.8320492,MSV000082674,Homo sapiens,RB7_V20_S8-019_arm_psoriasis_RB7_01_14666,,True,csi_fingerid_structure_candidate,eligible
A15_100036,Streptophyta,Viridiplantae,DGDG(16:3_18:3),DGDG,DGDG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.68604726,MSV000082741,Mus musculus,20161103_S00024330_P,,True,dreams_neighbour_only,eligible
A15_100073,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.62504256,MSV000088734,environmental samples <Bacillariophyta> (NCBITaxon:33858),E3R1_C9,,True,dreams_neighbour_only,unidentified
A15_100079,Streptophyta,Viridiplantae,TG(26:8_13:1),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C44H60O6,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Diacylglycerols,Steroid esters,True,True,True,fresh_new_or_changed,0.7265263,MSV000083065,Homo sapiens,CIR4-002_RF6_01_35027,,True,csi_fingerid_structure_candidate,eligible
A15_10008,Pseudomonadota,Bacteria,LPE(14:0),LPE,LPE,Glycerophospholipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100112,Arthropoda,Animalia,TG(29:7_6:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,composite,new_or_changed,True,True,fresh_new_or_changed,C36H60O7,[M + Na]+,0.958,True,fresh_new_or_changed,Polyketides,Linear polyketides,Open-chain polyketides,Diterpene glycosides,True,True,True,fresh_new_or_changed,0.75655985,MSV000086876,,EP-ESIpos-S053,,True,csi_fingerid_structure_candidate,eligible
A15_100118,Basidiomycota,Fungi,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,False,False,none,,,,False,none,,,,,False,False,False,none,,,,,,False,no_current_evidence,unidentified
A15_100154,Streptophyta,Viridiplantae,DG(O-31:5),DG,DG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C34H58O4,[M + H]+,0.998,True,fresh_new_or_changed,Terpenoids,Steroids,Cholestane steroids,Steroid esters,True,True,True,fresh_new_or_changed,0.76264834,MSV000088003,Homo sapiens (NCBITaxon:9606),2005014-SWATH-POS-NASH-NASH-104,,True,csi_fingerid_structure_candidate,eligible
A15_100186,Streptophyta,Viridiplantae,TG(16:2_18:2),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C35H67NO6,[M + Na]+,0.649,True,fresh_new_or_changed,Fatty acids,Spingolipids,Neutral glycosphingolipids,Alpha amino acids,True,True,True,fresh_new_or_changed,0.8158172,MSV000081486,Homo sapiens,blk_plate10_null_RA1_01_15534,,True,csi_fingerid_structure_candidate,eligible
A15_100210,Bacillota,Bacteria,,,Glycerophospholipids,Glycerophospholipids,none,Unidentified,0,Bronze,Network_propagation,1,True,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100211,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7197122,MSV000079447,Solanum lycopersicum,2_4_1_1_pet-dead_tube-52_RE4_01_11391,,True,dreams_neighbour_only,unidentified
A15_100221,Mollusca,Animalia,,,Prenol lipids,Prenol lipids,none,Unidentified,0,Bronze,Network_propagation,1,True,False,False,,composite,retained_exact,True,True,exact_retained_cache,C17H35N,[M + H]+,1.0,True,exact_retained_cache,Fatty acids,Pseudoalkaloids (transamidation),Acetate-derived alkaloids,Monoalkylamines,True,True,True,exact_retained_cache,0.78599644,MSV000088759,unknow,5ugmL_Opti_NCE_stepped20-30-40_3,,True,csi_fingerid_structure_candidate,eligible
A15_100228,Basidiomycota,Fungi,PG(O-15:1_21:5),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100229,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C42H75NO9,[M + H]+,0.885,True,fresh_new_or_changed,Polyketides,Macrolides,Open-chain polyketides,Macrolides and analogues,True,True,True,fresh_new_or_changed,0.79419225,MSV000081067,Zea mays,WT_T4_SEED_C02,,True,csi_fingerid_structure_candidate,eligible
A15_100266,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C44H79NO10,[M + H]+,0.882,True,fresh_new_or_changed,Fatty acids,Spingolipids,Neutral glycosphingolipids,Glycosyl-N-acylsphingosines,True,True,True,fresh_new_or_changed,0.7419819,MSV000085852,environmental samples <Bacillariophyta> (NCBITaxon:33858),CCE2019_58,,True,csi_fingerid_structure_candidate,unidentified
A15_100283,Streptophyta,Viridiplantae,,Sterol,Sterol,Sterol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C43H75NO11,[M + H]+,0.95,True,fresh_new_or_changed,Fatty acids,Spingolipids,Neutral glycosphingolipids,Glycosyl-N-acylsphingosines,True,True,True,fresh_new_or_changed,0.72848666,MSV000085018,"Pseudomonas, Nocardia and streptomycetes spp.",Noc_IFM0406_SN_MM9_GA7_01_31071,,True,csi_fingerid_structure_candidate,eligible
A15_100286,Streptophyta,Viridiplantae,TG(18:1_18:4),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C39H64O6,[M + H3N + H]+,1.0,True,fresh_new_or_changed,Polyketides,Linear polyketides,Open-chain polyketides,Diterpenoids,True,True,True,fresh_new_or_changed,0.6846578,MSV000081045,Homo sapiens,OMICS_MCL002_MOCK_24HRS_A_LIPID_095_POS_05Apr16_Legolas_Mclass,,True,csi_fingerid_structure_candidate,eligible
A15_100316,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,False,False,none,,,,False,none,,,,,False,False,False,none,,,,,,False,no_current_evidence,unidentified
A15_100391,Streptophyta,Viridiplantae,DG(13:0_16:0),DG,DG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C32H62O5,[M + Na]+,1.0,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Diacylglycerols,"1,2-diacylglycerols",True,True,True,fresh_new_or_changed,0.757115,MSV000087739,chemicals,Car_S_Bench_10080_100_1_Car1w100uMB1_H7_142,,True,csi_fingerid_structure_candidate,eligible
A15_100402,Arthropoda,Animalia,PC(O-5:0_13:1),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,composite,new_or_changed,True,True,fresh_new_or_changed,C26H52NO7P,[M + H]+,0.844,True,fresh_new_or_changed,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,Glycerophospholipids,True,True,True,fresh_new_or_changed,0.6247961,MSV000084475,multiple bacteria species,HM_81_GB1_01_47001,,True,csi_fingerid_structure_candidate,eligible
A15_100418,Bacillota,Bacteria,PG(18:1_16:3),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100437,Streptophyta,Viridiplantae,DG(O-5:0_21:5),DG,DG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C29H51NO4,[M + H]+,0.998,True,fresh_new_or_changed,Fatty acids,Fatty esters,N-acyl ethanolamines (endocannabinoids),Fatty Acyls,True,True,True,fresh_new_or_changed,0.7830765,MSV000085852,environmental samples <Bacillariophyta> (NCBITaxon:33858),CCE2019_124,,True,csi_fingerid_structure_candidate,eligible
A15_100477,Bacillota,Bacteria,SM(d33:5),SM,SM,Sphingolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100508,Streptophyta,Viridiplantae,PS(18:2_18:3),PS,PS,Glycerophospholipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C49H67NO7,[M + H]+,0.996,True,fresh_new_or_changed,Fatty acids,Glycerophospholipids,Glycerophosphoinositols,Glycerophospholipids,True,True,True,fresh_new_or_changed,0.6550894,MSV000083002,Alternaria,Vicky2-g12-149-A5B,,True,csi_fingerid_structure_candidate,eligible
A15_100526,Ascomycota,Fungi,PG(P-18:4_19:0),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_100578,Streptophyta,Viridiplantae,TG(18:1_18:2)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C39H71NO7,[M + H]+,0.603,True,fresh_new_or_changed,Fatty acids,Spingolipids,Neutral glycosphingolipids,Fatty Acyls,True,True,True,fresh_new_or_changed,0.63304764,MSV000088735,Homo sapiens (NCBITaxon:9606),IFXI17-D3-AV-STWK6,,True,csi_fingerid_structure_candidate,eligible
A15_100580,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,False,False,none,,,,False,none,,,,,False,False,False,none,,,,,,False,no_current_evidence,unidentified
