feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
NEG_42195,Arthropoda,False,,,,,,,,,,,,,
NEG_26047,Arthropoda,True,Cer(d16:1_16:1),Cer(d16:1_16:1)+HCOO,Cer,acylsphingosines,M+HCOO,A,1.2313669818605875,gold,0.06879615837185346,0.04343122220880069,10.0,6.0,C33 H62 N1 O5
NEG_36941,Arthropoda,False,,,,,,,,,,,,,
NEG_28221,Arthropoda,False,,,,,,,,,,,,,
NEG_36623,Arthropoda,False,,,,,,,,,,,,,
NEG_22420,Arthropoda,True,MGMG(15:1),MGMG(15:1)+HCOO,MGMG,Monogalactosylmonoacylglycerol,M+HCOO,A,0.06657444716051113,bronze,3.0936195014258083,0.22362740000000025,1.0,1.0,C25 H45 O11
NEG_36224,Arthropoda,False,,,,,,,,,,,,,
NEG_5599,Arthropoda,False,,,,,,,,,,,,,
NEG_10579,Arthropoda,False,,,,,,,,,,,,,
NEG_9180,Arthropoda,False,,,,,,,,,,,,,
NEG_21253,Arthropoda,False,,,,,,,,,,,,,
NEG_14096,Arthropoda,False,,,,,,,,,,,,,
NEG_36625,Arthropoda,False,,,,,,,,,,,,,
NEG_5738,Arthropoda,False,,,,,,,,,,,,,
NEG_12052,Arthropoda,False,,,,,,,,,,,,,
NEG_51552,Arthropoda,False,,,,,,,,,,,,,
NEG_69844,Arthropoda,False,,,,,,,,,,,,,
NEG_42328,Arthropoda,False,,,,,,,,,,,,,
NEG_37900,Arthropoda,True,Cer(d16:1_22:2),Cer(d16:1_22:2)+HCOO,Cer,acylsphingosines,M+HCOO,A,1.1742493067755555,gold,0.2201460071875674,0.09765946331311781,3.0,8.0,C39 H72 N1 O5
NEG_14942,Arthropoda,False,,,,,,,,,,,,,
NEG_32665,Arthropoda,False,,,,,,,,,,,,,
NEG_72056,Arthropoda,False,,,,,,,,,,,,,
