phylum,features,annotated,grade_AB,annotation_pct,grade_AB_pct
Streptophyta,1457,332,165,22.79,11.32
Ascomycota,937,304,172,32.44,18.36
Arthropoda,753,103,50,13.68,6.64
Heterolobosea,561,3,0,0.53,0.0
Evosea,440,20,4,4.55,0.91
Mollusca,327,17,8,5.2,2.45
Chlorophyta,316,8,3,2.53,0.95
Nematoda,249,17,6,6.83,2.41
Bacillota,246,42,35,17.07,14.23
Pseudomonadota,165,50,35,30.3,21.21
Basidiomycota,154,46,20,29.87,12.99
Actinomycetota,46,13,11,28.26,23.91
Methanobacteriota,18,1,0,5.56,0.0
Mucoromycota,17,5,3,29.41,17.65
Discosea,8,0,0,0.0,0.0
Thermoproteota,3,0,0,0.0,0.0
