feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_175776,Actinomycetota,False,,,,,,,,,,,,,
A15_181498,Actinomycetota,False,,,,,,,,,,,,,
A15_197838,Actinomycetota,True,PC(42:4),PC(42:4)+H,PC,diacyl,M+H,C,1.2719759181839414,silver,3.7449454286997255,0.2309229879841439,7.0,1.0,C50 H93 N1 O8 P1
A15_199136,Actinomycetota,True,PC(42:4),PC(42:4)+H,PC,diacyl,M+H,C,1.2719759181839414,silver,3.552251089082589,0.2039229879841464,7.0,1.0,C50 H93 N1 O8 P1
A15_199642,Actinomycetota,True,Hex1Cer(d43:3)+O:(s),Hex1Cer(d43:3)+H+O:(s),Hex1Cer,Ceramide monosaccharides,M+H,C,0.1422376214403163,bronze,2.970789062702064,0.0005699999999997,1.0,1.0,C49 H92 N1 O9
A15_204874,Actinomycetota,False,,,,,,,,,,,,,
A15_210196,Actinomycetota,True,TG(34:3_16:1)+OO:(s),TG(34:3_16:1)+Na+OO:(s),TG,triacyl,M+Na,C,0.0517089398575899,bronze,2.532917453973837,0.0475680000000018,1.0,1.0,C53 H94 Na1 O8
A15_100112,Arthropoda,True,TG(29:7_6:0)+O:(s),TG(29:7_6:0)+H+O:(s),TG,triacyl,M+H,C,0.2526151503716798,bronze,1.4572732749537218,0.0328917999999998,1.0,1.0,C38 H59 O7
A15_100402,Arthropoda,True,PC(O-5:0_13:1),PC(O-5:0_13:1)+H,PC,alkyl-acyl,M+H,C,1.187166506446589,bronze,0.9114017595998788,0.2437146000000005,1.0,1.0,C26 H53 N1 O7 P1
A15_10102,Arthropoda,False,,,,,,,,,,,,,
A15_101392,Arthropoda,False,,,,,,,,,,,,,
A15_10231,Arthropoda,False,,,,,,,,,,,,,
A15_10752,Arthropoda,False,,,,,,,,,,,,,
A15_109602,Arthropoda,True,PG(P-13:1_15:2),PG(P-13:1_15:2)+H,PG,alkenyl-acyl,M+H,C,0.073237854876806,bronze,0.2738640924519027,0.2536879443356028,1.0,2.0,C34 H62 O9 P1
A15_110861,Arthropoda,False,,,,,,,,,,,,,
A15_113727,Arthropoda,False,,,,,,,,,,,,,
A15_11738,Arthropoda,False,,,,,,,,,,,,,
A15_117447,Arthropoda,True,MG(O-30:7),MG(O-30:7)+H,MG,monoalkyl,M+H,C,0.4167633869827674,silver,1.0705707943619662,0.1092977345071517,2.0,1.0,C33 H55 O3
A15_11786,Arthropoda,False,,,,,,,,,,,,,
A15_117972,Arthropoda,True,PEt(10:0_16:0),PEt(10:0_16:0)+H,PEt,diacyl,M+H,C,0.2248820859257518,bronze,2.163419534047611,0.2077345992509371,1.0,1.0,C31 H62 O8 P1
A15_11806,Arthropoda,False,,,,,,,,,,,,,
A15_118264,Arthropoda,False,,,,,,,,,,,,,
A15_119199,Arthropoda,True,DG(P-15:2_18:3),DG(P-15:2_18:3)+Na,DG,alkenyl-acyl,M+Na,C,0.5782639245471101,bronze,3.9398084261074087,0.071377,1.0,2.0,C36 H60 Na1 O4
A15_12052,Arthropoda,False,,,,,,,,,,,,,
A15_120616,Arthropoda,False,,,,,,,,,,,,,
A15_122193,Arthropoda,False,,,,,,,,,,,,,
