phylum,features,annotated,grade_AB,annotation_pct,grade_AB_pct
Streptophyta,5139,2004,820,39.0,15.96
Evosea,650,131,27,20.15,4.15
Nematoda,274,15,4,5.47,1.46
Arthropoda,138,28,2,20.29,1.45
Chlorophyta,123,12,3,9.76,2.44
Thermoproteota,99,1,1,1.01,1.01
Mollusca,44,1,0,2.27,0.0
Ascomycota,41,18,1,43.9,2.44
Basidiomycota,41,27,5,65.85,12.2
Bacillota,25,12,4,48.0,16.0
Heterolobosea,23,3,0,13.04,0.0
Discosea,15,15,12,100.0,80.0
Methanobacteriota,13,3,1,23.08,7.69
Actinomycetota,7,4,0,57.14,0.0
Mucoromycota,4,1,0,25.0,0.0
