feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_159222,Mollusca,False,,,,,,,,,,,,,
A15_118643,Chlorophyta,False,,,,,,,,,,,,,
A15_169807,Mollusca,False,,,,,,,,,,,,,
A15_169039,Mollusca,False,,,,,,,,,,,,,
A15_169881,Mollusca,False,,,,,,,,,,,,,
A15_173935,Mollusca,False,,,,,,,,,,,,,
A15_174993,Mollusca,False,,,,,,,,,,,,,
A15_162745,Mollusca,False,,,,,,,,,,,,,
A15_151398,Mollusca,False,,,,,,,,,,,,,
A15_58181,Mollusca,False,,,,,,,,,,,,,
A15_193292,Mollusca,False,,,,,,,,,,,,,
A15_52682,Mollusca,False,,,,,,,,,,,,,
A15_59570,Mollusca,False,,,,,,,,,,,,,
A15_158870,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17426,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32087,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_19474,Evosea,True,PG(17:2_18:2),PG(17:2_18:2)+H,PG,diacyl,M+H,A,1.5010866920948245,gold,0.3562931433591191,0.120954646684515,4.0,2.0,C41 H74 O10 P1
A15_OE25-1-ALL_21144,Evosea,True,PG(18:2_18:2),PG(18:2_18:2)+H,PG,diacyl,M+H,A,0.2868647354955081,gold,2.638264916260908,0.1656700000000004,3.0,1.0,C42 H76 O10 P1
A15_OE25-1-ALL_20766,Evosea,True,PC(17:3_16:1),PC(17:3_16:1)+Na,PC,diacyl,M+Na,C,0.3513085704225274,bronze,2.0400356430935536,0.115774,1.0,2.0,C41 H74 N1 Na1 O8 P1
A15_170067,Mollusca,False,,,,,,,,,,,,,
A15_163874,Mollusca,False,,,,,,,,,,,,,
A15_161620,Mollusca,False,,,,,,,,,,,,,
A15_161621,Mollusca,False,,,,,,,,,,,,,
A15_169048,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34345,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34225,Evosea,True,TG(25:7_28:7),TG(25:7_28:7)+NH4,TG,triacyl,M+NH4,C,0.0282175763380703,bronze,0.5312538049141874,0.0971827390945598,1.0,1.0,C56 H84 N1 O6
A15_OE25-1-ALL_34359,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34349,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33626,Evosea,True,TG(36:2_5:0)+O:(s),TG(36:2_5:0)+Na+O:(s),TG,triacyl,M+Na,C,0.3514122142925369,bronze,1.480377546967079,0.186205000000001,1.0,1.0,C44 H80 Na1 O7
A15_OE25-1-ALL_37236,Evosea,True,PC(O-34:5),PC(O-34:5)+H,PC,alkyl-acyl,M+H,C,0.029151181140098,bronze,0.6127746631177438,0.0620577010513052,2.0,2.0,C42 H77 N1 O7 P1
A15_OE25-1-ALL_31449,Evosea,True,PEt(18:1_18:1),PEt(18:1_18:1)+Li,PEt,diacyl,M+Li,C,0.0459205002193312,bronze,0.1602023584800472,0.0509795302661935,1.0,1.0,C41 H77 Li1 O8 P1
A15_OE25-1-ALL_28556,Evosea,True,PC(O-14:1_18:2),PC(O-14:1_18:2)+H,PC,alkyl-acyl,M+H,C,1.0476104422526369,silver,0.4431276922221838,0.1595886896551714,3.0,2.0,C40 H77 N1 O7 P1
A15_OE25-1-ALL_29490,Evosea,True,PE(P-16:0_17:2),PE(P-16:0_17:2)+H,PE,alkenyl-acyl,M+H,B,1.1171785438361768,gold,0.3749914597467715,0.2763432547647113,2.0,2.0,C38 H73 N1 O7 P1
A15_OE25-1-ALL_31075,Evosea,True,PE(P-16:0_17:2),PE(P-16:0_17:2)+H,PE,alkenyl-acyl,M+H,B,1.1171785438361768,gold,0.267387192924209,0.14075674523529,2.0,3.0,C38 H73 N1 O7 P1
A15_OE25-1-ALL_21169,Evosea,True,PEt(20:5_18:2),PEt(20:5_18:2)+Li,PEt,diacyl,M+Li,C,0.0126970284506248,bronze,0.8291286244788483,0.1288390147492624,1.0,1.0,C43 H71 Li1 O8 P1
A15_OE25-1-ALL_31348,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31408,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_3818,Evosea,True,PEt(P-4:0_13:0),PEt(P-4:0_13:0)+Na,PEt,alkenyl-acyl,M+Na,C,0.1752074140216698,silver,0.5818304715390994,0.0180885672644688,3.0,2.0,C22 H43 Na1 O7 P1
A15_OE25-1-ALL_34595,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37122,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17109,Evosea,True,PI(39:3),PI(39:3)+H,PI,diacyl,M+H,C,1.4054651081081644,silver,0.4283089994392997,0.1916459327974564,5.0,1.0,C48 H88 O13 P1
A15_OE25-1-ALL_33178,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31963,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_39630,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33199,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22671,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34350,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33516,Evosea,False,,,,,,,,,,,,,
A15_OE21-4-POS_227658,Thermoproteota,True,TG(12:0_12:0_18:1),TG(12:0_12:0_18:1)+NH4,TG,triacyl,M+NH4,A,0.5615158851372544,silver,4.190607436392373,0.1064248481737237,1.0,1.0,C45 H88 N1 O6
A15_OE25-1-ALL_33129,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32181,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22753,Evosea,True,PG(17:1_18:2),PG(17:1_18:2)+H,PG,diacyl,M+H,A,0.3410974447321907,gold,3.1860376392035867,0.1369595503113618,2.0,1.0,C41 H76 O10 P1
A15_OE25-1-ALL_21007,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_24960,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17419,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32146,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_28665,Evosea,True,PI(35:0),PI(35:0)+NH4,PI,diacyl,M+NH4,C,1.5573256608706385,silver,0.1372767330781085,0.1995904655172395,3.0,1.0,C44 H89 N1 O13 P1
A15_OE25-1-ALL_32204,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34259,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33292,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33286,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_23940,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34343,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34202,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31979,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_16594,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33067,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_3802,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_11341,Evosea,True,PG(21:4_18:2),PG(21:4_18:2)+NH4,PG,diacyl,M+NH4,C,0.124930087772911,silver,0.1989876890370088,0.2924333351779484,3.0,1.0,C45 H81 N1 O10 P1
A15_161819,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_39767,Evosea,False,,,,,,,,,,,,,
A15_161623,Mollusca,False,,,,,,,,,,,,,
A15_130517,Chlorophyta,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30417,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37011,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30420,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32767,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33281,Evosea,False,,,,,,,,,,,,,
A15_223183,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29279,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34347,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_35488,Evosea,False,,,,,,,,,,,,,
A15_167077,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_3803,Evosea,False,,,,,,,,,,,,,
A15_54315,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_19374,Evosea,True,TG(2:0_17:2_24:8),TG(2:0_17:2_24:8)+Na,TG,triacyl,M+Na,C,0.1848319447890298,bronze,2.726597937798455,0.1486799999999988,1.0,1.0,C46 H68 Na1 O6
A15_OE25-1-ALL_27149,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_23716,Evosea,True,PI(33:0),PI(33:0)+NH4,PI,diacyl,M+NH4,C,2.390293707606138,silver,0.8270740042767015,0.1894287734877728,9.0,2.0,C42 H85 N1 O13 P1
A15_OE25-1-ALL_34344,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34371,Evosea,False,,,,,,,,,,,,,
A15_165738,Mollusca,False,,,,,,,,,,,,,
A15_156836,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33096,Evosea,False,,,,,,,,,,,,,
A15_149998,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22355,Evosea,False,,,,,,,,,,,,,
A15_54175,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_5381,Evosea,True,LPC(16:2),LPC(16:2)+H,LPC,monoacyl,M+H,C,1.63516708107375,bronze,0.727381451196517,0.0022818851320915,1.0,2.0,C24 H47 N1 O7 P1
A15_165942,Mollusca,False,,,,,,,,,,,,,
A15_149997,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_26333,Evosea,True,PI(34:0),PI(34:0)+NH4,PI,diacyl,M+NH4,C,1.3652590686169648,silver,0.3428728011832339,0.1245389615384624,3.0,2.0,C43 H87 N1 O13 P1
A15_OE25-1-ALL_34387,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21884,Evosea,True,PG(17:1_18:2),PG(17:1_18:2)+NH4,PG,diacyl,M+NH4,A,1.2352836321787397,gold,1.4445032443782786,0.0488539999999986,5.0,1.0,C41 H79 N1 O10 P1
A15_OE25-1-ALL_28081,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_11472,Evosea,True,PG(21:4_18:2),PG(21:4_18:2)+NH4,PG,diacyl,M+NH4,C,0.124930087772911,silver,0.1844696589731251,0.0849333351779488,3.0,1.0,C45 H81 N1 O10 P1
A15_OE25-1-ALL_8780,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_25626,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33245,Evosea,False,,,,,,,,,,,,,
A15_158672,Mollusca,False,,,,,,,,,,,,,
A15_292,Chlorophyta,False,,,,,,,,,,,,,
A15_170805,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33277,Evosea,False,,,,,,,,,,,,,
A15_193295,Mollusca,False,,,,,,,,,,,,,
A15_171255,Mollusca,False,,,,,,,,,,,,,
A15_164577,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33118,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33225,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22715,Evosea,True,PEt(18:2_18:3),PEt(18:2_18:3)+H,PEt,diacyl,M+H,A,1.5761524140919208,gold,1.6678491060318816,0.0395199999999995,6.0,4.0,C41 H72 O8 P1
A15_OE25-1-ALL_21257,Evosea,False,,,,,,,,,,,,,
A15_167530,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32136,Evosea,False,,,,,,,,,,,,,
A15_176179,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_27519,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37110,Evosea,False,,,,,,,,,,,,,
A15_163718,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32803,Evosea,False,,,,,,,,,,,,,
A15_193293,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_10571,Evosea,True,PE(27:0),PE(27:0)+H,PE,diacyl,M+H,C,0.1456586513540642,silver,0.2249952880256447,0.0723534339853113,3.0,2.0,C32 H65 N1 O8 P1
A15_OE25-1-ALL_23477,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_19292,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_6570,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_20748,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33062,Evosea,False,,,,,,,,,,,,,
A15_222479,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_42199,Evosea,True,DG(20:2_19:0),DG(20:2_19:0)+H,DG,diacyl,M+H,B,0.057605287022351,bronze,0.2263640821722879,0.0353954584192415,4.0,2.0,C42 H79 O5
A15_OE25-1-ALL_34289,Evosea,False,,,,,,,,,,,,,
A15_161404,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_41137,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32201,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37184,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29908,Evosea,False,,,,,,,,,,,,,
A15_46806,Mollusca,False,,,,,,,,,,,,,
A15_24675,Mollusca,False,,,,,,,,,,,,,
A15_161931,Nematoda,False,,,,,,,,,,,,,
A15_148002,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_11471,Evosea,True,PS(18:2_18:2),PS(18:2_18:2)+H,PS,diacyl,M+H,A,0.2273115657997393,gold,0.4178647041527489,0.1099384567574333,3.0,5.0,C42 H75 N1 O10 P1
A15_OE25-1-ALL_2989,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29928,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31039,Evosea,True,PI(36:0),PI(36:0)+NH4,PI,diacyl,M+NH4,C,2.6782837129573185,silver,0.7446712883060973,0.0931490000000003,3.0,2.0,C45 H91 N1 O13 P1
A15_OE25-1-ALL_34431,Evosea,False,,,,,,,,,,,,,
