phylum,features,annotated,grade_AB,annotation_pct,grade_AB_pct
Streptophyta,5168,2032,827,39.32,16.0
Bacillota,1021,427,169,41.82,16.55
Methanobacteriota,1017,58,14,5.7,1.38
Evosea,650,131,27,20.15,4.15
Mollusca,455,16,0,3.52,0.0
Chlorophyta,453,34,10,7.51,2.21
Basidiomycota,441,244,54,55.33,12.24
Nematoda,422,19,4,4.5,0.95
Pseudomonadota,413,233,103,56.42,24.94
Arthropoda,382,74,5,19.37,1.31
Thermoproteota,316,22,1,6.96,0.32
Actinomycetota,274,177,63,64.6,22.99
Ascomycota,261,114,13,43.68,4.98
Discosea,35,21,13,60.0,37.14
Mucoromycota,32,13,1,40.62,3.12
Heterolobosea,31,4,0,12.9,0.0
