feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
NEG_42195,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_26047,Arthropoda,Animalia,Cer(d16:1_16:1),Cer,Cer,Sphingolipids,LipidSearch,Gold,4
NEG_36941,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_28221,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_36623,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_22420,Arthropoda,Animalia,MGMG(15:1),MGMG,MGMG,Glycerolipids,LipidSearch,Gold,4
NEG_36224,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_5599,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_10579,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_9180,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_21253,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_14096,Arthropoda,Animalia,,PE,PE,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_36625,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_5738,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_12052,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_51552,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_69844,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_42328,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_37900,Arthropoda,Animalia,Cer(d16:1_22:2),Cer,Cer,Sphingolipids,LipidSearch,Gold,4
NEG_14942,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_32665,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_72056,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_8366,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_31369,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_23587,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_7203,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_37136,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_50978,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_51178,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_25651,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_44034,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_36845,Arthropoda,Animalia,,MGDG,MGDG,Glycerolipids,MS2_diagnostic,Bronze,2
NEG_14883,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_5806,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_52117,Arthropoda,Animalia,SM(d32:1),SM,SM,Sphingolipids,LipidSearch,Bronze,3
NEG_45501,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_10084,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_8027,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_30544,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_69775,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_9415,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_6295,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_30141,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_36947,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_84725,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_9261,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_4868,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_42184,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_103834,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_8365,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_63520,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_11724,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_8566,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_14365,Arthropoda,Animalia,,PE,PE,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_65855,Arthropoda,Animalia,SM(d37:2),SM,SM,Sphingolipids,LipidSearch,Bronze,3
NEG_35685,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_39702,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_40416,Arthropoda,Animalia,Cer(d16:1_23:1),Cer,Cer,Sphingolipids,LipidSearch,Gold,4
NEG_86900,Arthropoda,Animalia,,MGDG,MGDG,Glycerolipids,MS2_diagnostic,Bronze,2
NEG_3435,Arthropoda,Animalia,FA(21:4),FA,FA,Fatty acyls,LipidSearch,Bronze,3
NEG_32538,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_10371,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_2286,Arthropoda,Animalia,,,,,none,Unidentified,0
NEG_31967,Arthropoda,Animalia,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2
NEG_36341,Arthropoda,Animalia,Cer(d14:1_23:0),Cer,Cer,Sphingolipids,LipidSearch,Gold,4
NEG_89550,Arthropoda,Animalia,,,,,none,Unidentified,0
