feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_159222,Mollusca,Animalia,,,,,none,Unidentified,0
A15_118643,Chlorophyta,Viridiplantae,,,,,none,Unidentified,0
A15_169807,Mollusca,Animalia,,,,,none,Unidentified,0
A15_169039,Mollusca,Animalia,,,,,none,Unidentified,0
A15_169881,Mollusca,Animalia,,,,,none,Unidentified,0
A15_173935,Mollusca,Animalia,,,,,none,Unidentified,0
A15_174993,Mollusca,Animalia,,,,,none,Unidentified,0
A15_162745,Mollusca,Animalia,,,,,none,Unidentified,0
A15_151398,Mollusca,Animalia,,,,,none,Unidentified,0
A15_58181,Mollusca,Animalia,,,,,none,Unidentified,0
A15_193292,Mollusca,Animalia,,,,,none,Unidentified,0
A15_52682,Mollusca,Animalia,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_59570,Mollusca,Animalia,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_158870,Mollusca,Animalia,,,,,none,Unidentified,0
A15_OE25-1-ALL_17426,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_32087,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_19474,Evosea,Protists,PG(17:2_18:2),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
A15_OE25-1-ALL_21144,Evosea,Protists,PG(18:2_18:2),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
A15_OE25-1-ALL_20766,Evosea,Protists,PC(17:3_16:1),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_170067,Mollusca,Animalia,,,,,none,Unidentified,0
A15_163874,Mollusca,Animalia,,,,,none,Unidentified,0
A15_161620,Mollusca,Animalia,,,,,none,Unidentified,0
A15_161621,Mollusca,Animalia,,,,,none,Unidentified,0
A15_169048,Mollusca,Animalia,,,,,none,Unidentified,0
A15_OE25-1-ALL_34345,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_34225,Evosea,Protists,TG(25:7_28:7),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_34359,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_34349,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_33626,Evosea,Protists,TG(36:2_5:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_37236,Evosea,Protists,PC(O-34:5),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_31449,Evosea,Protists,PEt(18:1_18:1),PEt,PEt,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_28556,Evosea,Protists,PC(O-14:1_18:2),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_29490,Evosea,Protists,PE(P-16:0_17:2),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_OE25-1-ALL_31075,Evosea,Protists,PE(P-16:0_17:2),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_OE25-1-ALL_21169,Evosea,Protists,PEt(20:5_18:2),PEt,PEt,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_31348,Evosea,Protists,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_OE25-1-ALL_31408,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_3818,Evosea,Protists,PEt(P-4:0_13:0),PEt,PEt,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_34595,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_37122,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_17109,Evosea,Protists,PI(39:3),PI,PI,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_33178,Evosea,Protists,,PG,PG,Glycerophospholipids,MS2_diagnostic,Bronze,2
A15_OE25-1-ALL_31963,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_39630,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_33199,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_22671,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_34350,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_33516,Evosea,Protists,,,,,none,Unidentified,0
A15_OE21-4-POS_227658,Thermoproteota,Archaea,TG(12:0_12:0_18:1),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_OE25-1-ALL_33129,Evosea,Protists,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_OE25-1-ALL_32181,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_22753,Evosea,Protists,PG(17:1_18:2),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
A15_OE25-1-ALL_21007,Evosea,Protists,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_OE25-1-ALL_24960,Evosea,Protists,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_OE25-1-ALL_17419,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_32146,Evosea,Protists,,,,,none,Unidentified,0
A15_OE25-1-ALL_28665,Evosea,Protists,PI(35:0),PI,PI,Glycerophospholipids,LipidSearch,Bronze,3
A15_OE25-1-ALL_32204,Evosea,Protists,,,,,none,Unidentified,0
