release_id,feature_id,phylum,discovery_method,consensus_mz,consensus_rt,source_batch,source_scan,has_usable_ms2,source_spectrum_sha256,n_peaks,n_peaks_above_noise,n_diagnostic_ions,n_neutral_losses,n_fa_carboxylates,diagnostic_ions,neutral_losses,fa_carboxylates,ms2_class,ms2_confidence,ms2_rule
ncbi-phylum-2026-08-04-v1,NEG_100008,Streptophyta,indval_consensus,1005.715510425182,18.506851075707782,OE23-NEG,99331,True,bfbbfdf336b1def54a2b9cbbc69f5eb56b966dcedfcc07d86018f41536f82991,148,4,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100061,Chlorophyta,composite,1006.6377515009364,15.749569,OE23-NEG,88071,True,855cff5a7e09e3cda8834457f62b220ae17b05d4ca664451919d9a260f085ecf,64,13,0,1,0,,NL_serine_87 (5.7%),,PS,high,Serine neutral loss is diagnostic for PS
ncbi-phylum-2026-08-04-v1,NEG_100085,Arthropoda,composite,1006.7861145370072,20.44331,OE23-NEG,102449,True,23dcf3770c9f19bea43709ddd645385560c0d078c3cfb1bd37f3c6b9713b1803,272,3,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100100,Chlorophyta,composite,1007.5367309955448,11.120844,OE23-NEG,62169,True,62a51f63f03c3b7d373c306b387a6fc26913c304a5d11030c787da6ea1d45730,50,8,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100116,Chlorophyta,composite,1007.5656495676718,12.809165,OE23-NEG,70629,True,38b4cb971c004379666ce6371926c6e5aa463b3182903d0af21bea6e2f434c51,66,8,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100117,Chlorophyta,composite,1007.5664725741764,12.067825,OE23-NEG,67018,True,41e98b7a7d38a3cf805e8a4afbedd3e240b04ebf4b5719ec463f2068ef9fcba3,78,5,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100121,Streptophyta,indval_consensus,1007.5789560542904,5.648727399086431,OE23-NEG,36751,True,744473ef44765e5835998bc901d9fd3630238b99a2c00f1c8eb639a5990fc188,104,35,0,2,2,,NL_CO2_44 (37.6%); NL_CH2O2_46 (100.0%),FA_16:0 (14.6%); FA_18:3 (5.5%),Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100126,Streptophyta,indval_consensus,1007.5939365854484,12.013397483872716,OE23-NEG,66136,True,660ce224dfe798304761d6decf0d93c53ddeebf758c0d6482d20c6a419fc75bc,481,45,0,2,4,,NL_CO2_44 (12.2%); NL_CH2O2_46 (100.0%),FA_18:2 (32.9%); FA_18:3 (26.2%); FA_20:4 (55.6%); FA_20:5 (62.0%),Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_10013,Streptophyta,indval_consensus,411.34788925379416,10.67288196876225,OE23-NEG,60288,True,6bd47fab6fa024d2377837dcc93231f09350c47427be045c217b1e87af7e9b24,71,6,1,1,1,terp_sterol_dehydro (22.5%),NL_CO2_44 (22.5%),FA_24:0 (22.5%),Terpenoid,medium,Sterol dehydration fragment
ncbi-phylum-2026-08-04-v1,NEG_100157,Actinomycetota,indval_consensus,1007.7124280740788,17.86942793275995,OE23-NEG,97128,True,15db56c47d7e3df5e03862e48a866d8547c0cceb8ed78510fa5e4d6af980dd67,48,8,0,1,0,,NL_CH2O2_46 (14.1%),,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100167,Streptophyta,indval_consensus,1007.733224793992,19.086280562321555,OE23-NEG,100888,True,f9855b27382bf9f4ff12a0b7aca7473da997f9f2dc33e636b55b9ef99a6e0137,64,5,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_100189,Nematoda,composite,1008.5196232226668,11.645369,OE23-NEG,64742,True,f0f2cd2bda8888de36bee1470cc73ce9ecda0dceafd27ae85d24d2df73caf292,21,4,0,0,0,,,,Unknown,low,
ncbi-phylum-2026-08-04-v1,NEG_10019,Streptophyta,indval_consensus,411.3479828091253,7.959574123553082,OE23-NEG,48263,True,9fcad81b4500cf268d4377cfb3d71425b16abbf3e0702844ba6e8d4ede88dc63,45,12,0,1,1,,NL_H2O_18 (26.7%),FA_18:1 (5.5%),Unknown,low,
