lipid_class,type,ion_name,m_z_or_neutral_loss
Phospholipid,fragment,Phosphocholine_C5H13NO4P,184.0733
PE,fragment,Glycerophosphoethanolamine,196.038
PG,fragment,Glycerophosphoglycerol,171.0058
PG,fragment,Glycerophosphoglycerol-H2O,152.9953
PI,fragment,Glycerophosphoinositol,241.0119
Sphingolipid,fragment,Sphingoid_d18:1,264.2686
Sphingolipid,fragment,Sphingoid_d18:1+H2O,282.2791
Sphingolipid,fragment,Sphingoid_d18:0,252.2686
Betaine_Lipid,fragment,DGTS_headgroup,236.1492
Sterol,fragment,Cholesterol_-H2O,369.3516
Sterol,fragment,Campesterol_-H2O,383.3672
Sterol,fragment,Stigmasterol_-H2O,395.3672
Sterol,fragment,Sitosterol_-H2O,397.3829
Archaeal_Lipid,fragment,GDGT_core,653.5727
Archaeal_Lipid,fragment,GDGT_fragment,743.6196
Archaeal_Lipid,fragment,Archaeol_fragment,373.3672
Archaeal_Lipid,fragment,Archaeol_core,595.531
Archaeal_Lipid,fragment,GDGT_variant,669.5676
Quinone,fragment,Ubiquinone_headgroup,197.0808
Glycolipid,fragment,Hexose_fragment,243.0863
Glycolipid,fragment,Hexose-H2O,225.0757
Hopanoid,fragment,Hopane_skeleton,191.1794
Hopanoid,fragment,Hopanol,369.3516
Hopanoid,fragment,Diplopterol,395.3672
PE,neutral_loss,Ethanolamine_phosphate,141.0191
PS,neutral_loss,Serine,87.032
Glycolipid,neutral_loss,Hexose_loss,162.0528
Glycolipid,neutral_loss,Hexose+H2O_loss,180.0634
Sphingolipid,neutral_loss,Hexose_ceramide,180.0634
Terpenoid,terpenoid_fragment,Isoprene_unit,69.0699
Terpenoid,terpenoid_fragment,Monoterpene_frag,81.0699
Terpenoid,terpenoid_fragment,Toluenium,93.0699
Terpenoid,terpenoid_fragment,Methylcyclohexenyl,95.0855
Terpenoid,terpenoid_fragment,Xylene_cation,105.0699
Terpenoid,terpenoid_fragment,Dimethylcyclohexenyl,107.0855
Terpenoid,terpenoid_fragment,Sesquiterpene_frag,109.1012
Terpenoid,terpenoid_fragment,C9H11+,119.0855
Terpenoid,terpenoid_fragment,Sesquiterpene_frag2,121.1012
Terpenoid,terpenoid_fragment,Sesquiterpene_frag3,123.1168
Terpenoid,terpenoid_fragment,Diterpene_frag,133.1012
Terpenoid,terpenoid_fragment,Diterpene_frag2,135.1168
Terpenoid,terpenoid_fragment,C11H15+,147.1168
Terpenoid,terpenoid_fragment,Sesterterpene_frag,149.1325
Terpenoid,terpenoid_fragment,C12H17+,161.1325
Terpenoid,terpenoid_fragment,C13H19+,175.1481
Terpenoid,terpenoid_fragment,Hopane_C14,189.1638
Terpenoid,terpenoid_fragment,Hopane_skeleton,191.1794
Terpenoid,terpenoid_fragment,Triterpene_C15,203.1794
Terpenoid,terpenoid_fragment,Steroid_C15,205.1951
Terpenoid,terpenoid_fragment,RDA_triterpene,218.2035
