feature_id,batch,component,propagated_label,family_size,annotated_members,agreement,round,phylum,kingdom
NEG_101,ALL-25-2-NEG,1142,FA,2,1,1.0,1,Ascomycota,Fungi
NEG_1716,ALL-25-2-NEG,38,GlcCer,2,1,1.0,1,Streptophyta,Plantae
NEG_2054,ALL-25-2-NEG,4630,PG,2,1,1.0,1,Streptophyta,Plantae
NEG_4263,OE26-1-NEG,483,Glycerophospholipid,6,1,1.0,1,Heterolobosea,Protozoa
NEG_4384,OE26-1-NEG,483,Glycerophospholipid,6,1,1.0,1,Heterolobosea,Protozoa
NEG_4452,OE26-1-NEG,483,Glycerophospholipid,6,1,1.0,1,Heterolobosea,Protozoa
NEG_5162,OE26-1-NEG,483,Glycerophospholipid,6,1,1.0,1,Heterolobosea,Protozoa
NEG_5244,OE26-1-NEG,483,Glycerophospholipid,6,1,1.0,1,Heterolobosea,Protozoa
NEG_6229,OE26-1-NEG,611,Glycerophospholipid,4,2,1.0,1,Heterolobosea,Protozoa
NEG_6264,OE26-1-NEG,611,Glycerophospholipid,4,2,1.0,1,Heterolobosea,Protozoa
NEG_6599,OE23-NEG,4964,Glycerophospholipid,2,1,1.0,1,Arthropoda,Animalia
NEG_6872,OE26-1-NEG,3685,Glycerophospholipid,2,1,1.0,1,Heterolobosea,Protozoa
NEG_10738,ALL-25-2-NEG,299,cPA,4,1,1.0,1,Actinomycetota,Bacteria
NEG_81893,ALL-25-2-NEG,299,cPA,4,1,1.0,1,Streptophyta,Plantae
NEG_88476,ALL-25-2-NEG,299,cPA,4,1,1.0,1,Ascomycota,Fungi
NEG_8484,OE26-1-NEG,5288,Glycerophospholipid,2,1,1.0,1,Heterolobosea,Protozoa
NEG_8758,ALL-25-2-NEG,275,Glycerophospholipid,3,1,1.0,1,Streptophyta,Plantae
NEG_15049,ALL-25-2-NEG,275,Glycerophospholipid,3,1,1.0,1,Ascomycota,Fungi
NEG_12894,ALL-25-2-NEG,1336,LPI,3,1,1.0,1,Ascomycota,Fungi
NEG_25661,ALL-25-2-NEG,1336,LPI,3,1,1.0,1,Pseudomonadota,Bacteria
NEG_55201,OE25-1-NEG,322,Glycerophospholipid,2,1,1.0,1,Evosea,Protozoa
NEG_15238,OE23-NEG,11130,FA,2,1,1.0,1,Arthropoda,Animalia
NEG_33683,ALL-25-2-NEG,6019,GlcCer,2,1,1.0,1,Ascomycota,Fungi
NEG_25675,ALL-25-2-NEG,461,Glycerophospholipid,4,2,0.5,1,Ascomycota,Fungi
NEG_81977,ALL-25-2-NEG,461,Glycerophospholipid,4,2,0.5,1,Actinomycetota,Bacteria
