feature_id,query_mz,archlips_name,archlips_mz,archlips_formula,archlips_adduct,archlips_smiles,archlips_confidence,mass_error_ppm,cosine,matched_peaks,query_n_peaks,ref_n_peaks,archlips_tier,phylum,kingdom
A15_217526,833.753589,PME-Archaeol(20:0(Me)_20:1(Me)),833.747,C48H98NO6P,[M+NH4]+,CNCCOP(O)(=O)OC[C@@H](COCCC(C)CC(C)CC(C)CCCC(C)CCCC(C)C)OC\C=C(/C)CC(C)CC(C)CCCC(C)CCCC(C)C,3,7.902877011942879,0.6659248951452804,9,136,45,Silver,Methanobacteriota,Archaea
A15_27302,565.405987,"e,e-carotene-3,3'-dione",565.40401,C40H52O2,[M+H]+,CC1=CC(=O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1C(C)=CC(=O)CC1(C)C,4,3.4966147481175023,0.8670560668260492,7,84,21,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100054,915.67831,Sulfo-PG-Archaeol(20:0(Me)_20:0(Me)),915.67185,C48H99O11PS,[M+H]+,CC(C)CCCC(C)CCCC(C)CC(C)CC(C)CCOC[C@H](COP(O)(=O)OCC(O)COS(O)(=O)=O)OCCC(C)CC(C)CC(C)CCCC(C)CCCC(C)C,3,7.054929121235924,0.9294607734981704,8,33,35,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100061,1751.44987,2Gly-(PA-)Homo-2Me-GDGT-0,1751.45249,C100H197O19P,[M+NH4]+,CC1CCCC(C)CCCC(C)CCC(C)CC(C)CC(C)CCCC(C)CCCC(C)CCO[C@@H](COP(=O)(O)O)COCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC(C)CC(C)CC(C)CCCC(C)CCCC(C)CCO[C@@H](COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)COCCC(C)CCC1,5,-1.4959012676267187,0.9029313068678566,2,49,83,Bronze,Methanobacteriota,Archaea
A15_OE11-3-POS_100246,813.71259,Calditol-Archaeol(20:0_20:1),813.7178,C49H96O8,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COC1C(O)C(O)C(O)C1(O)CO)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,3,-6.402711111928101,0.8781023497830951,10,37,44,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100313,990.78434,2Gly-Archaeol(20:1_20:1),990.78151,C55H104O13,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,3,2.856331059324278,0.8283785701376563,13,43,41,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100427,817.69971,DeoxyGly-Archaeol(20:1(Me)_20:4(Me)),817.69158,C51H92O7,[M+H]+,CC(C)CCCC(C)CCCC(C)CC(C)C\C(C)=C\COC[C@H](COC1CC(O)C(O)C(CO)O1)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,9.9426240880912,0.9870195715031368,5,38,47,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100429,1053.73947,SQ-Gly-Archaeol(20:0(Me)_20:1),1053.74817,C56H108O15S,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO[C@H](COCCC(C)CC(C)CC(C)CCCC(C)CCCC(C)C)COC1OC(COC2OC(CS(O)(=O)=O)C(O)C(O)C2O)C(O)C(O)C1O,5,-8.256242096334894,0.8867304085699782,9,47,42,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100430,1054.80863,Gly-Calditol-Archaeol(20:4_25:1),1054.81281,C60H108O13,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO[C@H](COC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)COC1C(O)C(O)C(O)C1(O)COC1OC(CO)C(O)C(O)C1O,5,-3.962788430589598,0.8448314499162713,13,43,64,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100606,853.71451,PC-Archaeol(20:1(Me)_20:4(Me)),853.7157,C50H94NO6P,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CC(C)C\C(C)=C\COC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,5,-1.3939066599705225,0.9101449246588462,2,12,52,Bronze,Methanobacteriota,Archaea
A15_OE11-3-POS_100755,876.70246,APT-Archaeol(20:0(Me)_20:2),876.7052,C49H98NO9P,[M+H]+,CC(C)CCCC(C)CCCC(C)CC(C)CC(C)CCOC[C@H](COP([O-])(=O)OC(C[NH3+])C(O)C(O)CO)OC\C=C(/C)CC\C=C(/C)CCCC(C)CCCC(C)C,4,-3.1253379129233663,0.8384948243725378,5,20,52,Gold,Methanobacteriota,Archaea
A15_OE11-3-POS_100821,543.4321,MP(5:2),543.43089,C37H54N2O,[M+H]+,C/C(=C\COc1ccc2nc3ccccc3nc2c1)CC/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C,3,2.226594075310272,0.974245094025187,2,75,3,Bronze,Methanobacteriota,Archaea
