formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C31H39N3O5	[M - H]-	C31H38N3O5-	Alkaloids	0.317	Ornithine alkaloids	0.043	Aminoacids	0.025	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.937	Amino acids and derivatives	0.938	Amino acids and derivatives	0.938	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Phenylmethylamines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Benzylamines; Phenylpropanes; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	532.285	119	1.991	875355523207137245	875355500742444478	875355500738250173	NEG_23677	
1	C24H35N3O6	[M - H]-	C24H34N3O6-	Fatty acids	0.875	Fatty amides	0.078	Fatty alcohols	0.066	Lipids and lipid-like molecules	0.901	Fatty Acyls	0.824					Fatty Acyls	0.824	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.241	164	2.732	875355523806922783	875355500067161486	875355500058772877	NEG_15432	
1	C22H49N9O2	[M - H]-	C22H48N9O2-	Alkaloids	0.976	Pseudoalkaloids (transamidation)	0.062	Purine alkaloids	0.031	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.973	Amino acids and derivatives	0.972	Alpha amino acid amides	0.547	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Alpha amino acid amides; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	470.390	192	3.199	875355518996055821	875355500130076050	875355500125881745	NEG_16589	
1	C18H42F3N5Si	[M - H]-	C18H41F3N5Si-	Alkaloids	0.997	Pseudoalkaloids (transamidation)	0.135	Polyamines	0.244	Organoheterocyclic compounds	0.996	Diazines	0.672	Pyrimidines and pyrimidine derivatives	0.655	Aminopyrimidines and derivatives	0.562	Aminopyrimidines and derivatives	0.562	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Aminopyrimidines and derivatives; Diazines; Organofluorides; Amines; Secondary amines; Alkyl halides; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	412.313	231	3.845	875355521483278227	875355499521901942	875355499505124725	NEG_10096	
1	C44H69N5O3	[M - H]-	C44H68N5O3-	Fatty acids	0.788	Spingolipids	0.470	Ceramides	0.041	Lipids and lipid-like molecules	0.820	Fatty Acyls	0.841	Fatty amides	0.821	N-acyl amines	0.625	N-acyl amines	0.625	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyridines and derivatives; Alkyl aryl ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	714.537	243	4.053	875355520237569855	875355502118176346	875355502118176345	NEG_51178	
1	C25H51N5O11	[M - H]-	C25H50N5O11-	Carbohydrates	0.794	Oligopeptides	0.261	Amino cyclitols	0.092	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.869	Amino acids and derivatives	0.858	Amino acids and derivatives	0.858	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Polyols; Amines; Alkanolamines; Cyclohexylamines; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	596.357	272	4.535	875355522401830837	875355501174457834	875355501174457833	NEG_32020	
1	C21H44N4	[M - H]-	C21H43N4-	Alkaloids	0.995	Pseudoalkaloids (transamidation)	0.724	Tricyclic guanidine alkaloids	0.286	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.955	Tertiary amines	0.544	Trialkylamines	0.556	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	351.346	297	4.943	875355519138662169	875355502248199786	875355502248199785	NEG_5356	
1	C35H69N9O3	[M - H]-	C35H68N9O3-	Alkaloids	0.776	Ornithine alkaloids	0.150	Polyamines	0.048	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.977	Amino acids, peptides, and analogues	0.893	Amino acids and derivatives	0.891	Amino acids and derivatives	0.891	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	662.545	334	5.568	875355519759419189	875355501556139542	875355501551945237	NEG_42328	
1	C23H49N5O5	[M - H]-	C23H48N5O5-	Amino acids and Peptides	0.797	Oligopeptides	0.209	Cyclic peptides	0.181	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.997	Alpha amino acids and derivatives	0.988	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Trialkylamines; Diazinanes; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	474.367	408	6.793	875355519281268510	875355500251710874	875355500251710873	NEG_17070	
1	C16H35FN8O3	[M - H]-	C16H34FN8O3-	Alkaloids	0.648	Nucleosides	0.691	Pyrimidine nucleosides	0.228	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.990	Amino acids, peptides, and analogues	0.907	Amino acids and derivatives	0.904	Amino acids and derivatives	0.904	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Tertiary amines; Alkyl halides; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	405.278	422	7.038	875355519298045731	875355502789265070	875355502789265069	NEG_9416	
