formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C31H39N3O5	[M - H]-	C31H38N3O5-	Alkaloids	0.317	Ornithine alkaloids	0.043	Aminoacids	0.025	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.937	Amino acids and derivatives	0.938	Amino acids and derivatives	0.938	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Phenylmethylamines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Benzylamines; Phenylpropanes; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	532.285	119	1.991	875355523207137245	875355500742444478	875355500738250173	NEG_23677	
2	C19H35N5O8	[M - H]-	C19H34N5O8-	Carbohydrates	0.330	Ornithine alkaloids	0.778	Polyamines	0.848	Lipids and lipid-like molecules	0.561	Fatty Acyls	0.546	Fatty amides	0.681	N-acyl amines	0.683	N-acyl amines	0.683	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.241	164	2.732	875355523806922784	875355500067161486	875355500058772877	NEG_15432	
10	C32H42F3N5O5S	[M - H]-	C32H41F3N5O5S-	Alkaloids	0.771	Tryptophan alkaloids	0.007	Carboline alkaloids	0.015	Organoheterocyclic compounds	0.996	Piperidines	0.732	N-acylpiperidines	0.553			N-acylpiperidines	0.553	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; N-acylpiperidines; Carboxylic acid amides; Alkyl fluorides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Sulfonyls; Organofluorides; Organosulfonamides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic sulfonamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	664.285	190	3.161	875355522762540994	875355501694551590	875355501690357285	NEG_42557	
2	C42H73N3O6	[M - H]-	C42H72N3O6-	Fatty acids	0.994	Spingolipids	0.950	Neutral glycosphingolipids	0.039	Lipids and lipid-like molecules	0.977	Sphingolipids	0.561					Sphingolipids	0.561	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	714.537	243	4.053	875355520237569856	875355502118176346	875355502118176345	NEG_51178	
1	C25H51N5O11	[M - H]-	C25H50N5O11-	Carbohydrates	0.794	Oligopeptides	0.261	Amino cyclitols	0.092	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.869	Amino acids and derivatives	0.858	Amino acids and derivatives	0.858	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Polyols; Amines; Alkanolamines; Cyclohexylamines; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	596.357	272	4.535	875355522401830837	875355501174457834	875355501174457833	NEG_32020	
1	C21H44N4	[M - H]-	C21H43N4-	Alkaloids	0.995	Pseudoalkaloids (transamidation)	0.724	Tricyclic guanidine alkaloids	0.286	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.955	Tertiary amines	0.544	Trialkylamines	0.556	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	351.346	297	4.943	875355519138662169	875355502248199786	875355502248199785	NEG_5356	
2	C39H73N3O5	[M - H]-	C39H72N3O5-	Fatty acids	1.000	Spingolipids	0.871	N-acyl amines	0.119	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.944	Amino acids and derivatives	0.943	Alpha amino acids	0.712	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	662.545	334	5.568	875355519759419190	875355501556139542	875355501551945237	NEG_42328	
1	C23H49N5O5	[M - H]-	C23H48N5O5-	Amino acids and Peptides	0.797	Oligopeptides	0.209	Cyclic peptides	0.181	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.997	Alpha amino acids and derivatives	0.988	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Trialkylamines; Diazinanes; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	474.367	408	6.793	875355519281268510	875355500251710874	875355500251710873	NEG_17070	
1	C19H38N6	[M - H]-	C19H37N6-	Alkaloids	0.993	Pseudoalkaloids (transamidation)	0.517	Purine alkaloids	0.310	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.997	Tertiary amines	0.966	Dialkylarylamines	0.622	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	349.307	475	7.921	875355521135150971	875355502181090914	875355502181090913	NEG_5246	
1	C17H35N3O	[M - H]-	C17H34N3O-	Fatty acids	0.909	Fatty amides	0.427	Primary amides	0.104	Organic acids and derivatives	0.318	Carboxylic acids and derivatives	0.405	Carboxylic acid derivatives	0.513			Carboxylic acid derivatives	0.513	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	296.268	502	8.372	875355521659438996	875355500658558390	875355500654364085	NEG_2177	
2	C29H59N7O4	[M - H]-	C29H58N7O4-	Amino acids and Peptides	0.836	Oligopeptides	0.839	Cyclic peptides	0.142	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.991	Amino acids and derivatives	0.988	N-acyl-alpha amino acids and derivatives	0.751	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Alpha amino acid amides; Benzenoids; Amines; Secondary amines; Alkanolamines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	568.451	542	9.025	875355520652805993	875355500914410958	875355500910216653	NEG_28054	
1	C25H37N3O6	[M - H]-	C25H36N3O6-	Alkaloids	0.725	Ornithine alkaloids	0.090	Pyridine alkaloids	0.004	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.918	Amino acids and derivatives	0.919	Amino acids and derivatives	0.919	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid imides; N-substituted carboxylic acid imides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Dicarboximides; N-alkylpyrrolidines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	474.256	638	10.639	875355523387492354	875355500192990614	875355500188796309	NEG_16997	
