formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C31H39N3O5	[M - H]-	C31H38N3O5-		1.000	25.093	25.093	0.000	21	0.774	-2.199	2.292	5.668		532.285	119	1.991	875355523207137245	875355500742444478	875355500738250173	NEG_23677	
1	C24H35N3O6	[M - H]-	C24H34N3O6-		0.916	53.695	53.695	0.000	14	0.647	-12.531	12.531	-8.438		460.241	164	2.732	875355523806922783	875355500067161486	875355500058772877	NEG_15432	
1	C34H40FN5O8	[M - H]-	C34H39FN5O8-		0.363	7.869	7.869	0.000	1	0.241	-8.262	8.262	9.081		664.285	190	3.161	875355522762540985	875355501694551590	875355501690357285	NEG_42557	
1	C22H49N9O2	[M - H]-	C22H48N9O2-		0.915	2.701	2.701	0.000	3	0.105	-13.698	13.698	-6.744		470.390	192	3.199	875355518996055821	875355500130076050	875355500125881745	NEG_16589	
1	C18H42F3N5Si	[M - H]-	C18H41F3N5Si-		1.000	1.171	1.171	0.000	4	0.347	-0.535	8.766	9.357		412.313	231	3.845	875355521483278227	875355499521901942	875355499505124725	NEG_10096	
1	C44H69N5O3	[M - H]-	C44H68N5O3-		0.485	8.463	8.463	0.000	2	0.758	-0.264	0.782	6.194		714.537	243	4.053	875355520237569855	875355502118176346	875355502118176345	NEG_51178	
1	C25H51N5O11	[M - H]-	C25H50N5O11-		0.983	31.495	31.495	0.000	19	0.712	-3.792	4.294	9.300		596.357	272	4.535	875355522401830837	875355501174457834	875355501174457833	NEG_32020	
1	C21H44N4	[M - H]-	C21H43N4-		1.000	26.571	26.571	0.000	10	0.177	-2.404	3.689	-8.670		351.346	297	4.943	875355519138662169	875355502248199786	875355502248199785	NEG_5356	
1	C35H69N9O3	[M - H]-	C35H68N9O3-		0.578	11.474	11.474	0.000	12	0.727	0.902	1.796	0.593		662.545	334	5.568	875355519759419189	875355501556139542	875355501551945237	NEG_42328	
1	C23H49N5O5	[M - H]-	C23H48N5O5-		0.775	18.707	18.707	0.000	4	0.601	0.759	5.256	1.953		474.367	408	6.793	875355519281268510	875355500251710874	875355500251710873	NEG_17070	
1	C16H35FN8O3	[M - H]-	C16H34FN8O3-		1.000	21.726	21.726	0.000	13	0.067	-6.030	6.349	9.741		405.278	422	7.038	875355519298045731	875355502789265070	875355502789265069	NEG_9416	
1	C19H45N5O5	[M - H]-	C19H44N5O5-		1.000	17.963	17.963	0.000	1	0.394	-1.131	1.131	-2.417		422.334	468	7.792	875355519126079250	875355499744200062	875355499744200061	NEG_11036	
1	C19H38N6	[M - H]-	C19H37N6-		0.948	9.563	9.563	0.000	5	0.046	-12.755	12.755	-4.263		349.307	475	7.921	875355521135150971	875355502181090914	875355502181090913	NEG_5246	
1	C17H35N3O	[M - H]-	C17H34N3O-		1.000	114.513	114.513	0.000	26	0.597	0.118	2.298	-9.852		296.268	502	8.372	875355521659438996	875355500658558390	875355500654364085	NEG_2177	
1	C28H61N3O7	[M - H]-	C28H60N3O7-		0.693	0.614	0.614	0.000	0	0.000	-3.346	3.346	-4.466		550.441	533	8.877	875355519390320431	875355500834719174	875355500834719173	NEG_25815	
1	C34H59BN2O4	[M - H]-	C34H58BN2O4-		0.466	5.589	5.589	0.000	4	0.089	-2.011	2.999	-3.057		568.451	542	9.025	875355520652805992	875355500914410958	875355500910216653	NEG_28054	
1	C38H75N3O3	[M - H]-	C38H74N3O3-		1.000	2.000	2.000	0.000	0	0.000			-4.713		620.571	558	9.293	875355521244202881	875355501312869882	875355501312869881	NEG_35730	
1	C25H37N3O6	[M - H]-	C25H36N3O6-		0.926	45.329	45.329	0.000	15	0.403	-0.156	4.512	-10.001		474.256	638	10.639	875355523387492354	875355500192990614	875355500188796309	NEG_16997	
1	C52H87N3O5	[M - H]-	C52H86N3O5-		0.849	0.934	0.934	0.000	0	0.000	-0.804	0.804	0.428		832.658	670	11.172	875355520464062288	875355502575355538	875355502575355537	NEG_76150	
1	C41H84N4O13	[M - H]-	C41H83N4O13-		1.000	48.688	48.688	0.000	37	0.672	-0.611	4.196	-9.221		839.588	671	11.191	875355518706648837	875355502634075802	875355502634075801	NEG_77547	
1	C33H55N3O6	[M - H]-	C33H54N3O6-		1.000	35.715	35.715	0.000	12	0.845	-8.887	8.887	-8.878		588.397	719	11.982	875355520594085715	875355501061211614	875355501057017309	NEG_30817	
1	C31H73N11O4	[M - H]-	C31H72N11O4-		0.895	21.267	21.267	0.000	8	0.288	-4.271	4.271	-1.394		662.577	722	12.036	875355521042876275	875355501627442718	875355501627442717	NEG_42340	
1	C31H60N8O3	[M - H]-	C31H59N8O3-		0.999	10.123	10.123	0.000	11	0.886	0.896	4.924	5.906		591.475	737	12.286	875355518933141258	875355501098960354	875355501094766049	NEG_31369	
1	C34H57N3O6	[M - H]-	C34H56N3O6-		0.989	27.389	27.389	0.000	9	0.826	-7.961	7.961	-9.392		602.412	754	12.560	875355521823016854	875355501212206574	875355501208012269	NEG_32911	
1	C24H50N6O2	[M - H]-	C24H49N6O2-		0.989	11.236	11.236	0.000	5	0.286	-7.593	7.593	-6.141		453.389	765	12.743	875355520086574907	875355499903583622	875355499899389317	NEG_14579	
1	C35H65N9O6	[M - H]-	C35H64N9O6-		1.000	34.925	34.925	0.000	16	0.334	-2.199	2.199	-7.678		706.493	785	13.078	875355522905147342	875355502088816214	875355502084621909	NEG_49659	
1	C26H55N3O5	[M - H]-	C26H54N3O5-		0.744	3.247	3.247	0.000	1	0.056	-1.328	1.492	-3.796		488.405	798	13.299	875355519134467862	875355500369151394	875355500369151393	NEG_18751	
1	C31H61N7O3	[M - H]-	C31H60N7O3-		0.309	18.126	18.126	0.000	2	0.339	-5.338	5.338	-7.594		578.472	811	13.510	875355521260980098	875355500952159698	875355500952159697	NEG_29434	
1	C32H55F2NO	[M - H]-	C32H54F2NO-		0.674	-0.609	-0.609	0.000	0	0.000			-5.902		506.415	815	13.589	875355519742641971	875355500545312174	875355500545312173	NEG_20874	
1	C36H61N3O2	[M - H]-	C36H60N3O2-		1.000	10.807	10.807	0.000	2	0.629	-2.129	5.686	4.798		566.472	824	13.735	875355520627640167	875355500876662218	875355500872467913	NEG_27789	
1	C40H72F3N3O3	[M - H]-	C40H71F3N3O3-		0.659	20.200	20.200	0.000	10	0.920	-2.436	4.096	4.974		698.549	830	13.833	875355519365154598	875355502055261778	875355502051067473	NEG_48342	
1	C39H67N9O10	[M - H]-	C39H66N9O10-		1.000	2.000	2.000	0.000	0	0.000			7.953		820.500	855	14.257	875355519180605211	875355502545995406	875355502545995405	NEG_73335	
1	C26H53N5O4	[M - H]-	C26H52N5O4-		0.551	6.292	6.292	0.000	2	0.478	-12.360	12.360	-0.643		498.402	875	14.578	875355521290340233	875355500427871654	875355500423677349	NEG_19862	
1	C29H62N8O4	[M - H]-	C29H61N8O4-		1.000	11.385	11.385	0.000	5	0.716	-2.014	4.027	5.046		585.485	897	14.955	875355520778635121	875355501023462874	875355501023462873	NEG_30421	
1	C41H80N6O9	[M - H]-	C41H79N6O9-		1.000	28.691	28.691	0.000	13	0.785	-2.901	3.235	8.247		799.598	905	15.075	875355520539559762	875355502487275142	875355502483080837	NEG_68624	
1	C51H75N3O7	[M - H]-	C51H74N3O7-		0.638	0.541	0.541	0.000	0	0.000	4.789	4.789	-8.215		840.546	920	15.332	875355520422119245	875355502676018846	875355502663435933	NEG_77711	
1	C34H69N7O3	[M - H]-	C34H68N7O3-		0.791	20.930	20.930	0.000	3	0.340	-6.972	6.972	-8.001		622.534	925	15.410	875355520338233155	875355501346424318	875355501342230013	NEG_36035	
1	C33H64FN3O4	[M - H]-	C33H63FN3O4-		0.471	30.691	30.691	0.000	17	0.648	0.027	1.886	-5.069		584.478	943	15.723	875355522007566249	875355500989908438	875355500989908437	NEG_30237	
1	C25H50N6	[M - H]-	C25H49N6-		0.972	1.363	1.363	0.000	0	0.000	-5.808	5.808	-6.082		433.400	992	16.537	875355519239325468	875355499823891842	875355499819697537	NEG_12280	
1	C40H71N3O2	[M - H]-	C40H70N3O2-		0.830	13.116	13.116	0.000	2	0.384	2.751	2.751	6.275		624.551	1009	16.825	875355518874420998	875355501375784450	875355501375784449	NEG_36334	
1	C39H69N3O3	[M - H]-	C39H68N3O3-		0.754	4.596	4.596	0.000	1	0.768	-11.087	14.442	3.879		626.529	1028	17.135	875355519885248313	875355501413533190	875355501409338885	NEG_36625	
1	C50H88ClN3O5	[M - H]-	C50H87ClN3O5-		0.983	18.393	18.393	0.000	2	0.538	1.117	1.117	0.799		844.635	1039	17.315	875355520388564805	875355502717961890	875355502717961889	NEG_78590	
1	C37H73N7O3	[M - H]-	C37H72N7O3-		0.583	12.074	12.074	0.000	6	0.374	-1.272	7.246	5.784		662.574	1043	17.376	875355520103352125	875355501589693978	875355501589693977	NEG_42338	
1	C37H66N8O3	[M - H]-	C37H65N8O3-		0.997	37.089	37.089	0.000	14	0.700	-0.713	3.938	-7.333		669.514	1047	17.444	875355522276001712	875355501791020594	875355501791020593	NEG_43534	
1	C24H50N6	[M - H]-	C24H49N6-		1.000	2.977	2.977	0.000	1	0.074	-3.864	3.864	-2.517		421.401	1047	17.451	875355519142856474	875355499664508282	875355499660313977	NEG_10978	
1	C46H78FNO	[M - H]-	C46H77FNO-		1.000	8.182	8.182	0.000	2	0.543	-4.444	4.444	-6.287		678.595	1061	17.691	875355519629395762	875355501887489598	875355501887489597	NEG_44967	
1	C40H73N3O3	[M - H]-	C40H72N3O3-		1.000	1.214	1.214	0.000	0	0.000	-7.460	7.460	-8.763		642.552	1068	17.799	875355520401147724	875355501518390802	875355501514196497	NEG_39206	
1	C45H79N3O2	[M - H]-	C45H78N3O2-		0.766	20.780	20.780	0.000	3	0.586	1.589	2.768	2.976		692.612	1085	18.079	875355521365837710	875355502021707342	875355502021707341	NEG_47276	
1	C44H86N4O3S	[M - H]-	C44H85N4O3S-		1.000	-0.028	-0.028	0.000	0	0.000	-4.425	4.425	-2.629		749.633	1127	18.783	875355520833161074	875355502357251702	875355502357251701	NEG_57959	
1	C3HF3I4O4	[M - H]-	C3F3I4O4-		0.678	-2.138	-2.138	0.000	1	0.022	6.378	6.378	-5.108		664.590	1152	19.203	875355522838038476	875355501723911722	875355501723911721	NEG_42668	
1	C40H76FN5O2	[M - H]-	C40H75FN5O2-		0.955	14.363	14.363	0.000	10	0.286	6.819	6.819	-2.797		676.589	1161	19.356	875355523362326521	875355501858129466	875355501853935161	NEG_44654	
1	C41H79N7O3	[M - H]-	C41H78N7O3-		0.889	0.026	0.026	0.000	0	0.000	-8.823	8.823	5.793		716.621	1173	19.554	875355521114179449	875355502151730782	875355502147536477	NEG_51588	
