structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.099	0.099	-485.540		1.000	25.093	C31H39N3O5	[M - H]-	C31H38N3O5-	HRGJBLHDOZMBIU	InChI=1S/C31H39N3O5/c1-31(2,3)39-30(36)32-18-11-19-34(29(35)33-21-24-12-7-5-8-13-24)22-26-16-17-27(28(20-26)37-4)38-23-25-14-9-6-10-15-25/h5-10,12-17,20H,11,18-19,21-23H2,1-4H3,(H,32,36)(H,33,35)	tert-butyl N-[3-[benzylcarbamoyl-[(3-methoxy-4-phenylmethoxyphenyl)methyl]amino]propyl]carbamate	CC(C)(C)OC(=O)NCCCN(CC1=CC(=C(C=C1)OCC2=CC=CC=C2)OC)C(=O)NCC3=CC=CC=C3	5.000	24752133	PUBCHEM:(24752133)	2	532.285	119	1.991	875355523207137245	875355500742444478	875355500738250173	NEG_23677	
1	2	0.026	0.026	-338.120		0.084	51.305	C19H35N5O8	[M - H]-	C19H34N5O8-	SOVDKAVGEHDAAJ	InChI=1S/C19H35N5O8/c1-4-20-18(27)30-12-15(13-31-19(28)21-5-2)29-11-7-8-16(25)22-9-10-23-17(26)14-32-24-6-3/h6,15H,4-5,7-14H2,1-3H3,(H,20,27)(H,21,28)(H,22,25)(H,23,26)	[3-(ethylcarbamoyloxy)-2-[4-[2-[[2-(ethylideneamino)oxyacetyl]amino]ethylamino]-4-oxobutoxy]propyl] N-ethylcarbamate	CCNC(=O)OCC(COC(=O)NCC)OCCCC(=O)NCCNC(=O)CON=CC	-0.700	163930717	PUBCHEM:(163930717)	2	460.241	164	2.732	875355523806922784	875355500067161486	875355500058772877	NEG_15432	
1	10	0.170	0.170	-378.893		0.010	4.287	C32H42F3N5O5S	[M - H]-	C32H41F3N5O5S-	JJUHNVPKUZYGHL	InChI=1S/C32H42F3N5O5S/c1-20-17-23(19-40-28(42)30(3,4)38-29(40)43)18-21(2)25(20)10-16-46(44,45)39-14-12-31(13-15-39)27(41)36-26(37-31)24-7-5-22(6-8-24)9-11-32(33,34)35/h10,16-18,22,24H,5-9,11-15,19H2,1-4H3,(H,38,43)(H,36,37,41)	3-[[3,5-dimethyl-4-[(E)-2-[[4-oxo-2-[4-(3,3,3-trifluoropropyl)cyclohexyl]-1,3,8-triazaspiro[4.5]dec-1-en-8-yl]sulfonyl]ethenyl]phenyl]methyl]-5,5-dimethylimidazolidine-2,4-dione	CC1=CC(=CC(=C1C=CS(=O)(=O)N2CCC3(CC2)C(=O)NC(=N3)C4CCC(CC4)CCC(F)(F)F)C)CN5C(=O)C(NC5=O)(C)C	4.500	66816782;66816783	PUBCHEM:(66816782 66816783)	2	664.285	190	3.161	875355522762540994	875355501694551590	875355501690357285	NEG_42557	
1	2	0.753	0.753	-455.233		0.279	7.910	C42H73N3O6	[M - H]-	C42H72N3O6-	OWYAJGNBADOHCS	InChI=1S/C42H73N3O6/c1-4-6-8-10-12-20-26-37-49-40(46)29-22-16-14-18-24-34-45(51-42(48)31-28-33-44-36-32-43-39(44)3)35-25-19-15-17-23-30-41(47)50-38-27-21-13-11-9-7-5-2/h20-21,26-27,32,36H,4-19,22-25,28-31,33-35,37-38H2,1-3H3	[(Z)-non-2-enyl] 8-[4-(2-methylimidazol-1-yl)butanoyloxy-[8-[(Z)-non-2-enoxy]-8-oxooctyl]amino]octanoate	CCCCCCC=CCOC(=O)CCCCCCCN(CCCCCCCC(=O)OCC=CCCCCCC)OC(=O)CCCN1C=CN=C1C	11.700	165381369	PUBCHEM:(165381369)	2	714.537	243	4.053	875355520237569856	875355502118176346	875355502118176345	NEG_51178	
1	1	-Infinity	-Infinity	-307.253		0.983	31.495	C25H51N5O11	[M - H]-	C25H50N5O11-	SGHPRQWETNWBLY	InChI=1S/C25H51N5O11/c26-8-12(33)3-2-11-6-13(27)23(41-24-14(28)7-15(34)16(38-24)9-30-4-1-5-31)21(37)22(11)40-25-20(36)18(29)19(35)17(10-32)39-25/h11-25,30-37H,1-10,26-29H2	(2S,3R,4S,5S,6R)-4-amino-2-[(1S,2R,3R,4S,6R)-4-amino-6-(4-amino-3-hydroxybutyl)-3-[(2R,3R,5S,6R)-3-amino-5-hydroxy-6-[(3-hydroxypropylamino)methyl]oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-6-(hydroxymethyl)oxane-3,5-diol	C1C(C(C(C(C1N)OC2C(CC(C(O2)CNCCCO)O)N)O)OC3C(C(C(C(O3)CO)O)N)O)CCC(CN)O	-5.800	157068602	PUBCHEM:(157068602)	2	596.357	272	4.535	875355522401830837	875355501174457834	875355501174457833	NEG_32020	
1	1	0.013	0.013	-155.614		1.000	26.571	C21H44N4	[M - H]-	C21H43N4-	LPXUTOLVKMJQSF	InChI=1S/C21H44N4/c1-3-5-7-9-11-14-18-22-24-20-16-13-17-21-25-23-19-15-12-10-8-6-4-2/h3-21H2,1-2H3	Octyl-[5-(octyldiazenyl)pentyl]diazene	CCCCCCCCN=NCCCCCN=NCCCCCCCC	8.200	158424788	PUBCHEM:(158424788)	2	351.346	297	4.943	875355519138662169	875355502248199786	875355502248199785	NEG_5356	
1	2	-Infinity	-Infinity	-363.455		0.273	10.722	C39H73N3O5	[M - H]-	C39H72N3O5-	ZMWAPGUNICFSEX	InChI=1S/C39H73N3O5/c1-11-12-13-14-15-16-17-18-19-20-21-22-23-24-35(45)41-36(28(4)5)34(44)26-32(27(2)3)39(47)42-37(29(6)7)33(43)25-31(10)38(46)40-30(8)9/h27-32,36-37H,11-26H2,1-10H3,(H,40,46)(H,41,45)(H,42,47)	N-[(3S,6R)-6-[[(3S,6S)-2,6-dimethyl-4,7-dioxo-7-(propan-2-ylamino)heptan-3-yl]carbamoyl]-2,7-dimethyl-4-oxooctan-3-yl]hexadecanamide	CCCCCCCCCCCCCCCC(=O)NC(C(C)C)C(=O)CC(C(C)C)C(=O)NC(C(C)C)C(=O)CC(C)C(=O)NC(C)C	10.200	157982298	PUBCHEM:(157982298)	2	662.545	334	5.568	875355519759419190	875355501556139542	875355501551945237	NEG_42328	
1	1	0.150	0.150	-423.585		0.775	18.707	C23H49N5O5	[M - H]-	C23H48N5O5-	PUPJDGQOIJKHEO	InChI=1S/C23H49N5O5/c1-8-17(24)14-26-20(29)18(27-15-32-16(3)4)12-10-11-13-19(21(30)25-9-2)28-22(31)33-23(5,6)7/h16-19,21,25,27,30H,8-15,24H2,1-7H3,(H,26,29)(H,28,31)	tert-butyl N-[8-(2-aminobutylamino)-1-(ethylamino)-1-hydroxy-8-oxo-7-(propan-2-yloxymethylamino)octan-2-yl]carbamate	CCC(CNC(=O)C(CCCCC(C(NCC)O)NC(=O)OC(C)(C)C)NCOC(C)C)N	1.600	123446752	PUBCHEM:(123446752)	2	474.367	408	6.793	875355519281268510	875355500251710874	875355500251710873	NEG_17070	
1	1	0.026	0.026	-164.389		0.948	9.563	C19H38N6	[M - H]-	C19H37N6-	ZIGIXVLCKCQDGH	InChI=1S/C19H38N6/c1-7-12-23(6)17-20-18(24(13-8-2)14-9-3)22-19(21-17)25(15-10-4)16-11-5/h7-16H2,1-6H3	6-N-methyl-2-N,2-N,4-N,4-N,6-N-pentapropyl-1,3,5-triazine-2,4,6-triamine	CCCN(C)C1=NC(=NC(=N1)N(CCC)CCC)N(CCC)CCC	5.800	126541143	PUBCHEM:(126541143)	2	349.307	475	7.921	875355521135150971	875355502181090914	875355502181090913	NEG_5246	
1	1	0.041	0.041	-159.878		1.000	114.513	C17H35N3O	[M - H]-	C17H34N3O-	AGCKZLKWCCOPQJ	InChI=1S/C17H35N3O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16(18)19)17(20)21/h15H,2-14H2,1H3,(H3,18,19)(H2,20,21)	2-Carbamimidoylhexadecanamide	CCCCCCCCCCCCCCC(C(=N)N)C(=O)N	5.700	153409809	PUBCHEM:(153409809)	2	296.268	502	8.372	875355521659438996	875355500658558390	875355500654364085	NEG_2177	
