formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C20H28N2O4S2	[M + H]+	C20H29N2O4S2+	Amino acids and Peptides	0.634	Linear polyketides	0.139	Thiodiketopiperazine alkaloids	0.090	Lipids and lipid-like molecules	0.641	Fatty Acyls	0.586					Fatty Acyls	0.586	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	425.157	98	1.628	875367091331771187	875355548346353472	875355548346353471	A15_797	
1	C20H28N2O4S2	[M + H]+	C20H29N2O4S2+	Amino acids and Peptides	0.634	Linear polyketides	0.139	Thiodiketopiperazine alkaloids	0.090	Lipids and lipid-like molecules	0.641	Fatty Acyls	0.586					Fatty Acyls	0.586	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	425.157	98	1.628	875367101100305264	875367013409990253	875367013409990252	A15_797	
1	C18H28O4	[M + H]+	C18H29O4+	Polyketides	0.471	Macrolides	0.179	Macrolide lactones	0.153	Lipids and lipid-like molecules	0.606	Fatty Acyls	0.510					Fatty Acyls	0.510	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	309.205	98	1.631	875367065566161279	875355517434326792	875355517434326791	A15_1513	
1	C18H28O4	[M + H]+	C18H29O4+	Polyketides	0.471	Macrolides	0.179	Macrolide lactones	0.153	Lipids and lipid-like molecules	0.606	Fatty Acyls	0.510					Fatty Acyls	0.510	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	309.205	98	1.631	875367069789825458	875366983009668661	875366983009668660	A15_1513	
1	C18H28O3	[M + H]+	C18H29O3+	Fatty acids	0.985	Octadecanoids	0.775	Other Octadecanoids	0.529	Lipids and lipid-like molecules	0.937	Fatty Acyls	0.902	Fatty acids and conjugates	0.785	Long-chain fatty acids	0.731	Long-chain fatty acids	0.731	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.211	99	1.651	875367111640591509	875355513680423948	875355513680423947	A15_1389	
1	C18H28O3	[M + H]+	C18H29O3+	Fatty acids	0.985	Octadecanoids	0.775	Other Octadecanoids	0.529	Lipids and lipid-like molecules	0.937	Fatty Acyls	0.902	Fatty acids and conjugates	0.785	Long-chain fatty acids	0.731	Long-chain fatty acids	0.731	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.211	99	1.651	875367108243205175	875366979121548089	875366979121548088	A15_1389	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.956	Fatty Acids and Conjugates	0.735	Amino fatty acids	0.706	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.824	Amino acids and derivatives	0.824	Amino acids	0.758	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	99	1.653	875368050124511245	875355532739345036	875355532735150731	A15_1941	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.956	Fatty Acids and Conjugates	0.735	Amino fatty acids	0.706	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.824	Amino acids and derivatives	0.824	Amino acids	0.758	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	99	1.653	875367046498854998	875366997937199545	875366997937199544	A15_1941	
1	C18H30O3	[M + H]+	C18H31O3+	Fatty acids	0.922	Octadecanoids	0.761	Other Octadecanoids	0.725	Lipids and lipid-like molecules	0.963	Fatty Acyls	0.933	Lineolic acids and derivatives	0.589			Lineolic acids and derivatives	0.589	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	295.226	99	1.658	875367054694525176	875355505623164824	875355505623164823	A15_1094	
1	C18H30O3	[M + H]+	C18H31O3+	Fatty acids	0.922	Octadecanoids	0.761	Other Octadecanoids	0.725	Lipids and lipid-like molecules	0.963	Fatty Acyls	0.933	Lineolic acids and derivatives	0.589			Lineolic acids and derivatives	0.589	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	295.226	99	1.658	875367052282800288	875366972200945349	875366972200945348	A15_1094	
