formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
5	C24H24O7	[M + H]+	C24H25O7+	Shikimates and Phenylpropanoids	0.838	Lignans	0.886	Neolignans	0.879	Lipids and lipid-like molecules	0.642	Fatty Acyls	0.656	Fatty acid esters	0.587			Fatty acid esters	0.587	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Furanones; Dihydrofurans; Butenolides; Benzene and substituted derivatives; Benzenoids; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	425.157	98	1.628	875367091331771191	875355548346353472	875355548346353471	A15_797	
5	C24H24O7	[M + H]+	C24H25O7+	Shikimates and Phenylpropanoids	0.838	Lignans	0.886	Neolignans	0.879	Lipids and lipid-like molecules	0.642	Fatty Acyls	0.656	Fatty acid esters	0.587			Fatty acid esters	0.587	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Furanones; Dihydrofurans; Butenolides; Benzene and substituted derivatives; Benzenoids; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	425.157	98	1.628	875367101100305268	875367013409990253	875367013409990252	A15_797	
1	C18H28O4	[M + H]+	C18H29O4+	Polyketides	0.471	Macrolides	0.179	Macrolide lactones	0.153	Lipids and lipid-like molecules	0.606	Fatty Acyls	0.510					Fatty Acyls	0.510	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	309.205	98	1.631	875367065566161279	875355517434326792	875355517434326791	A15_1513	
1	C18H28O4	[M + H]+	C18H29O4+	Polyketides	0.471	Macrolides	0.179	Macrolide lactones	0.153	Lipids and lipid-like molecules	0.606	Fatty Acyls	0.510					Fatty Acyls	0.510	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	309.205	98	1.631	875367069789825458	875366983009668661	875366983009668660	A15_1513	
2	C16H30O3	[M + Na]+	C16H30NaO3+	Fatty acids	0.997	Fatty acyls	0.709	Fatty alcohols	0.871	Lipids and lipid-like molecules	0.953	Fatty Acyls	0.955	Fatty acids and conjugates	0.706	Long-chain fatty acids	0.685	Long-chain fatty acids	0.685	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.211	99	1.651	875367111640591510	875355513680423948	875355513680423947	A15_1389	
2	C16H30O3	[M + Na]+	C16H30NaO3+	Fatty acids	0.997	Fatty acyls	0.709	Fatty alcohols	0.871	Lipids and lipid-like molecules	0.953	Fatty Acyls	0.955	Fatty acids and conjugates	0.706	Long-chain fatty acids	0.685	Long-chain fatty acids	0.685	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.211	99	1.651	875367108243205176	875366979121548089	875366979121548088	A15_1389	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.956	Fatty Acids and Conjugates	0.735	Amino fatty acids	0.706	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.824	Amino acids and derivatives	0.824	Amino acids	0.758	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	99	1.653	875368050124511245	875355532739345036	875355532735150731	A15_1941	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.956	Fatty Acids and Conjugates	0.735	Amino fatty acids	0.706	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.824	Amino acids and derivatives	0.824	Amino acids	0.758	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	99	1.653	875367046498854998	875366997937199545	875366997937199544	A15_1941	
2	C16H32O3	[M + Na]+	C16H32NaO3+	Fatty acids	0.972	Fatty acyls	0.733	Fatty alcohols	0.897	Lipids and lipid-like molecules	0.931	Fatty Acyls	0.897	Fatty acids and conjugates	0.378	Long-chain fatty acids	0.512	Long-chain fatty acids	0.512	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Long-chain fatty alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	295.226	99	1.658	875367054694525177	875355505623164824	875355505623164823	A15_1094	
2	C16H32O3	[M + Na]+	C16H32NaO3+	Fatty acids	0.972	Fatty acyls	0.733	Fatty alcohols	0.897	Lipids and lipid-like molecules	0.931	Fatty Acyls	0.897	Fatty acids and conjugates	0.378	Long-chain fatty acids	0.512	Long-chain fatty acids	0.512	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Long-chain fatty alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	295.226	99	1.658	875367052282800289	875366972200945349	875366972200945348	A15_1094	
