formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C20H28N2O4S2	[M + H]+	C20H29N2O4S2+		0.719	148.932	148.932	0.000	41	0.756	3.006	3.505	1.099		425.157	98	1.628	875367091331771187	875355548346353472	875355548346353471	A15_797	
1	C20H28N2O4S2	[M + H]+	C20H29N2O4S2+		0.719	148.932	148.932	0.000	41	0.756	3.006	3.505	1.099		425.157	98	1.628	875367101100305264	875367013409990253	875367013409990252	A15_797	
1	C18H28O4	[M + H]+	C18H29O4+		1.000	218.303	218.303	0.000	50	0.924	1.222	1.608	-2.516		309.205	98	1.631	875367065566161279	875355517434326792	875355517434326791	A15_1513	
1	C18H28O4	[M + H]+	C18H29O4+		1.000	218.303	218.303	0.000	50	0.924	1.222	1.608	-2.516		309.205	98	1.631	875367069789825458	875366983009668661	875366983009668660	A15_1513	
1	C18H28O3	[M + H]+	C18H29O3+		1.000	340.404	340.404	0.000	55	0.973	2.170	2.344	-1.743		293.211	99	1.651	875367111640591509	875355513680423948	875355513680423947	A15_1389	
1	C18H28O3	[M + H]+	C18H29O3+		1.000	340.404	340.404	0.000	55	0.973	2.170	2.344	-1.743		293.211	99	1.651	875367108243205175	875366979121548089	875366979121548088	A15_1389	
1	C13H25NO2	[M + H]+	C13H26NO2+		1.000	204.669	204.669	0.000	43	0.891	4.177	4.177	-0.830		228.196	99	1.653	875368050124511245	875355532739345036	875355532735150731	A15_1941	
1	C13H25NO2	[M + H]+	C13H26NO2+		1.000	204.669	204.669	0.000	43	0.891	4.177	4.177	-0.830		228.196	99	1.653	875367046498854998	875366997937199545	875366997937199544	A15_1941	
1	C18H30O3	[M + H]+	C18H31O3+		1.000	329.051	329.051	0.000	51	0.933	4.066	4.300	-1.061		295.226	99	1.658	875367054694525176	875355505623164824	875355505623164823	A15_1094	
1	C18H30O3	[M + H]+	C18H31O3+		1.000	329.051	329.051	0.000	51	0.933	4.066	4.300	-1.061		295.226	99	1.658	875367052282800288	875366972200945349	875366972200945348	A15_1094	
1	C19H30O6	[M + Na]+	C19H30NaO6+		0.998	200.342	200.342	0.000	48	0.828	4.722	4.722	1.534		377.194	100	1.662	875367085262613176	875355510589221344	875355510589221343	A15_1286	
1	C19H30O6	[M + Na]+	C19H30NaO6+		0.998	200.342	200.342	0.000	48	0.828	4.722	4.722	1.534		377.194	100	1.662	875367073308846565	875366976118425869	875366976118425868	A15_1286	
1	C22H24N4O2	[M + H]+	C22H25N4O2+		0.814	27.728	27.728	0.000	12	0.876	3.653	3.653	-7.756		377.194	100	1.662	875367052291188925	875355502569711284	875355502569711283	A15_1013	
1	C22H24N4O2	[M + H]+	C22H25N4O2+		0.814	27.728	27.728	0.000	12	0.876	3.653	3.653	-7.756		377.194	100	1.662	875367051804649582	875366969495619041	875366969491424736	A15_1013	
1	C17H24O2	[M + H]+	C17H25O2+		1.000	260.259	260.259	0.000	48	0.888	2.906	2.906	-1.326		261.185	101	1.676	875367122109574437	875355532412189272	875355532412189271	A15_1927	
1	C17H24O2	[M + H]+	C17H25O2+		1.000	260.259	260.259	0.000	48	0.888	2.906	2.906	-1.326		261.185	101	1.676	875367056804260127	875366997693929861	875366997693929860	A15_1927	
1	C27H46N8O6	[M + H]+	C27H47N8O6+		0.925	50.134	50.134	0.000	14	0.949	1.785	4.544	0.389		579.362	101	1.688	875367074260953675	875355522278748900	875355522278748899	A15_1650	
1	C27H46N8O6	[M + H]+	C27H47N8O6+		0.925	50.134	50.134	0.000	14	0.949	1.785	4.544	0.389		579.362	101	1.688	875367063930382668	875366987870867985	875366987870867984	A15_1650	
1	C16H28N2O8	[M + H]+	C16H29N2O8+		0.528	144.562	144.562	0.000	45	0.742	2.638	2.638	6.402		377.194	101	1.692	875367123367865661	875355541778072056	875355541778072055	A15_3787	
1	C16H28N2O8	[M + H]+	C16H29N2O8+		0.528	144.562	144.562	0.000	45	0.742	2.638	2.638	6.402		377.194	101	1.692	875367120142445810	875367006984315173	875367006984315172	A15_3787	
1	C27H48O5	[M + K]+	C27H48KO5+		0.465	82.117	82.117	0.000	37	0.809	1.854	2.977	-8.505		491.309	103	1.711	875367245791212774	875355532848396956	875355532848396955	A15_1944	
1	C27H48O5	[M + K]+	C27H48KO5+		0.465	82.117	82.117	0.000	37	0.809	1.854	2.977	-8.505		491.309	103	1.711	875367239566865587	875366998012697033	875366998012697032	A15_1944	
1	C30H50N4O5S	[M + H]+	C30H51N4O5S+		0.547	42.946	42.946	0.000	15	0.808	1.152	1.556	7.020		579.362	103	1.715	875367132318510550	875355541866152460	875355541866152459	A15_3816	
1	C30H50N4O5S	[M + H]+	C30H51N4O5S+		0.547	42.946	42.946	0.000	15	0.808	1.152	1.556	7.020		579.362	103	1.715	875367117932047551	875367007076589881	875367007076589880	A15_3816	
1	C21H31N7O4	[M + H]+	C21H32N7O4+		0.736	67.454	67.454	0.000	35	0.838	4.398	6.170	4.668		446.253	104	1.728	875375218089474925	875355539055968172	875355539055968171	A15_2467	
1	C21H31N7O4	[M + H]+	C21H32N7O4+		0.736	67.454	67.454	0.000	35	0.838	4.398	6.170	4.668		446.253	104	1.728	875367125708287344	875367004178325209	875367004178325208	A15_2467	
1	C29H46N2O7	[M + H]+	C29H47N2O7+		0.912	49.172	49.172	0.000	22	0.707	1.838	2.623	-3.849		535.336	104	1.729	875367191877628518	875355527169308380	875355527169308379	A15_1778	
1	C29H46N2O7	[M + H]+	C29H47N2O7+		0.912	49.172	49.172	0.000	22	0.707	1.838	2.623	-3.849		535.336	104	1.729	875376554860311004	875366993365407241	875366993361212936	A15_1778	
1	C27H42N2O6	[M + H]+	C27H43N2O6+		0.853	38.220	38.220	0.000	14	0.757	1.786	3.657	-4.748		491.309	105	1.745	875367075804457600	875355543434822508	875355543434822507	A15_4626	
