structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	5	0.733	0.733	-115.490		0.004	143.760	C24H24O7	[M + H]+	C24H25O7+	NGOLMNWQNHWEKU	InChI=1S/C24H24O7/c1-14(2)4-6-17-12-15(5-11-19(17)26)13-24(23(29)30-3)20(21(27)22(28)31-24)16-7-9-18(25)10-8-16/h4-5,7-12,25-27H,6,13H2,1-3H3	Olomoucin	CC(=CCC1=C(C=CC(=C1)CC2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C	4.400	5235506;51340302;123740	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0313113);NORMAN:(NS00097463);CHEBI:(191397);SUPERNATURAL:(SN0244954);MESH:(123740 5235506 51340302);PUBCHEM:(5235506 51340302 123740);LOTUS:(Q104401385 Q77497257 Q105179045);GNPS:(CCMSLIB00000851566);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGOLMNWQNHWEKU-UHFFFAOYSA-N)	322179190	425.157	98	1.628	875367091331771191	875355548346353472	875355548346353471	A15_797	
1	5	0.733	0.733	-115.490		0.004	143.760	C24H24O7	[M + H]+	C24H25O7+	NGOLMNWQNHWEKU	InChI=1S/C24H24O7/c1-14(2)4-6-17-12-15(5-11-19(17)26)13-24(23(29)30-3)20(21(27)22(28)31-24)16-7-9-18(25)10-8-16/h4-5,7-12,25-27H,6,13H2,1-3H3	Olomoucin	CC(=CCC1=C(C=CC(=C1)CC2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C	4.400	5235506;51340302;123740	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0313113);NORMAN:(NS00097463);CHEBI:(191397);SUPERNATURAL:(SN0244954);MESH:(123740 5235506 51340302);PUBCHEM:(5235506 51340302 123740);LOTUS:(Q104401385 Q77497257 Q105179045);GNPS:(CCMSLIB00000851566);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGOLMNWQNHWEKU-UHFFFAOYSA-N)	322179190	425.157	98	1.628	875367101100305268	875367013409990253	875367013409990252	A15_797	
1	1	0.008	0.008	-106.377		1.000	218.303	C18H28O4	[M + H]+	C18H29O4+	XZPSIZBYWVXDAY	InChI=1S/C18H28O4/c1-3-11-19-13-5-7-15-21-17-9-10-18-22-16-8-6-14-20-12-4-2/h3-4,7-9,11-12,15-17H,5-6,10,13-14,18H2,1-2H3		CC=COCCC=COCCC=COC=CCCOC=CC	4.000	101137196	PUBCHEM:(101137196)	2	309.205	98	1.631	875367065566161279	875355517434326792	875355517434326791	A15_1513	
1	1	0.008	0.008	-106.377		1.000	218.303	C18H28O4	[M + H]+	C18H29O4+	XZPSIZBYWVXDAY	InChI=1S/C18H28O4/c1-3-11-19-13-5-7-15-21-17-9-10-18-22-16-8-6-14-20-12-4-2/h3-4,7-9,11-12,15-17H,5-6,10,13-14,18H2,1-2H3		CC=COCCC=COCCC=COC=CCCOC=CC	4.000	101137196	PUBCHEM:(101137196)	2	309.205	98	1.631	875367069789825458	875366983009668661	875366983009668660	A15_1513	
1	2	0.027	0.027	-80.963		0.000	301.364	C16H30O3	[M + Na]+	C16H30NaO3+	PSCIHBMSVWNXTB	InChI=1S/C16H30O3/c1-3-5-7-9-11-15(17)13-19-14-16(18)12-10-8-6-4-2/h13-14,17-18H,3-12H2,1-2H3	(Z)-1-[(Z)-2-hydroxyoct-1-enoxy]oct-1-en-2-ol	CCCCCCC(=COC=C(CCCCCC)O)O	5.500	87118701;154113270	PUBCHEM:(87118701 154113270)	2	293.211	99	1.651	875367111640591510	875355513680423948	875355513680423947	A15_1389	
1	2	0.027	0.027	-80.963		0.000	301.364	C16H30O3	[M + Na]+	C16H30NaO3+	PSCIHBMSVWNXTB	InChI=1S/C16H30O3/c1-3-5-7-9-11-15(17)13-19-14-16(18)12-10-8-6-4-2/h13-14,17-18H,3-12H2,1-2H3	(Z)-1-[(Z)-2-hydroxyoct-1-enoxy]oct-1-en-2-ol	CCCCCCC(=COC=C(CCCCCC)O)O	5.500	87118701;154113270	PUBCHEM:(87118701 154113270)	2	293.211	99	1.651	875367108243205176	875366979121548089	875366979121548088	A15_1389	
1	1	0.053	0.053	-162.635		1.000	204.669	C13H25NO2	[M + H]+	C13H26NO2+	NPDJJVLOHQNUFJ	InChI=1S/C13H25NO2/c1-12(15)9-7-5-3-2-4-6-8-10-13(16)11-14/h11,15-16H,1-10,14H2	(1Z)-1-aminotrideca-1,12-diene-2,12-diol	C=C(CCCCCCCCCC(=CN)O)O	3.700	140518371	PUBCHEM:(140518371)	2	228.196	99	1.653	875368050124511245	875355532739345036	875355532735150731	A15_1941	
1	1	0.053	0.053	-162.635		1.000	204.669	C13H25NO2	[M + H]+	C13H26NO2+	NPDJJVLOHQNUFJ	InChI=1S/C13H25NO2/c1-12(15)9-7-5-3-2-4-6-8-10-13(16)11-14/h11,15-16H,1-10,14H2	(1Z)-1-aminotrideca-1,12-diene-2,12-diol	C=C(CCCCCCCCCC(=CN)O)O	3.700	140518371	PUBCHEM:(140518371)	2	228.196	99	1.653	875367046498854998	875366997937199545	875366997937199544	A15_1941	
1	2	0.381	0.381	-81.887		0.000	286.655	C16H32O3	[M + Na]+	C16H32NaO3+	GPFHCBGZJAAYTP	InChI=1S/C16H32O3/c17-14-10-7-5-3-1-2-4-6-8-12-16(19)13-9-11-15-18/h10,14,16-19H,1-9,11-13,15H2	Hexadec-15-ene-1,5,16-triol	C(CCCCC=CO)CCCCC(CCCCO)O	4.400	153362350	PUBCHEM:(153362350)	2	295.226	99	1.658	875367054694525177	875355505623164824	875355505623164823	A15_1094	
1	2	0.381	0.381	-81.887		0.000	286.655	C16H32O3	[M + Na]+	C16H32NaO3+	GPFHCBGZJAAYTP	InChI=1S/C16H32O3/c17-14-10-7-5-3-1-2-4-6-8-12-16(19)13-9-11-15-18/h10,14,16-19H,1-9,11-13,15H2	Hexadec-15-ene-1,5,16-triol	C(CCCCC=CO)CCCCC(CCCCO)O	4.400	153362350	PUBCHEM:(153362350)	2	295.226	99	1.658	875367052282800289	875366972200945349	875366972200945348	A15_1094	
