feature_id,consensus_mz,phylum,kingdom
NEG_10096,412.3127391651202,Heterolobosea,Protozoa
NEG_10978,421.401358386478,Heterolobosea,Protozoa
NEG_11036,422.333772186565,Heterolobosea,Protozoa
NEG_12280,433.3997831313922,Heterolobosea,Protozoa
NEG_14579,453.3894639566685,Heterolobosea,Protozoa
NEG_15242,458.7819416581436,Nematoda,Animalia
NEG_15432,460.24142609158224,Heterolobosea,Protozoa
NEG_16589,470.39047288974257,Heterolobosea,Protozoa
NEG_16997,474.2562164674171,Chlorophyta,Plantae
NEG_17070,474.3670195727711,Arthropoda,Animalia
NEG_17523,477.561926935513,Nematoda,Animalia
NEG_18751,488.40504136993104,Heterolobosea,Protozoa
NEG_19862,498.4021582420136,Heterolobosea,Protozoa
NEG_20801,506.2883611207433,Arthropoda,Animalia
NEG_20874,506.41490674643313,Heterolobosea,Protozoa
NEG_21395,510.42124049309103,Heterolobosea,Protozoa
NEG_2177,296.26781748761687,Arthropoda,Animalia
NEG_22816,524.3362486354862,Arthropoda,Animalia
NEG_23677,532.2847118124503,Chlorophyta,Plantae
NEG_23929,534.3208517682943,Arthropoda,Animalia
NEG_25815,550.4412165414158,Heterolobosea,Protozoa
NEG_27789,566.4718195006316,Heterolobosea,Protozoa
NEG_28054,568.451406380373,Heterolobosea,Protozoa
NEG_29434,578.4719195917808,Heterolobosea,Protozoa
NEG_30237,584.4778467554073,Arthropoda,Animalia
NEG_30421,585.4850806641185,Arthropoda,Animalia
NEG_30817,588.396586473376,Heterolobosea,Protozoa
NEG_31369,591.4750543744082,Arthropoda,Animalia
NEG_31418,592.3260371348803,Arthropoda,Animalia
NEG_32020,596.3567771586997,Arthropoda,Animalia
NEG_32911,602.4118020227409,Heterolobosea,Protozoa
NEG_34206,610.511894764143,Heterolobosea,Protozoa
NEG_34773,614.5215223417345,Heterolobosea,Protozoa
NEG_35730,620.5706421662826,Arthropoda,Animalia
NEG_36035,622.5339317803273,Heterolobosea,Protozoa
NEG_36334,624.5512709135382,Heterolobosea,Protozoa
NEG_36625,626.5290468524946,Arthropoda,Animalia
NEG_38730,639.5237538745173,Heterolobosea,Protozoa
NEG_39065,641.5403025348745,Heterolobosea,Protozoa
NEG_39206,642.5522859378327,Heterolobosea,Protozoa
NEG_42328,662.5454537830145,Arthropoda,Animalia
NEG_42338,662.5740447978258,Arthropoda,Animalia
NEG_42340,662.5765000076714,Heterolobosea,Protozoa
NEG_42532,663.5703717459384,Arthropoda,Animalia
NEG_42557,664.2848474878726,Mollusca,Animalia
NEG_42668,664.5899141173722,Arthropoda,Animalia
NEG_43217,667.5558104539317,Heterolobosea,Protozoa
NEG_43534,669.5136018414864,Arthropoda,Animalia
NEG_43570,669.5712966506143,Heterolobosea,Protozoa
NEG_44654,676.5891362788282,Nematoda,Animalia
NEG_44967,678.5952017827635,Heterolobosea,Protozoa
NEG_45283,680.5846139794236,Arthropoda,Animalia
NEG_45606,682.5835371387591,Heterolobosea,Protozoa
NEG_45801,683.5867589676517,Heterolobosea,Protozoa
NEG_47276,692.6120134871223,Heterolobosea,Protozoa
NEG_48342,698.5487758294252,Heterolobosea,Protozoa
NEG_49659,706.4930800390975,Heterolobosea,Protozoa
NEG_51178,714.5371904038277,Arthropoda,Animalia
NEG_51588,716.6213142986603,Nematoda,Animalia
NEG_5246,349.30702957050795,Heterolobosea,Protozoa
NEG_52671,722.5376582682813,Nematoda,Animalia
NEG_5356,351.346274896172,Arthropoda,Animalia
NEG_54949,734.5256547989658,Heterolobosea,Protozoa
NEG_56942,744.5556801936796,Arthropoda,Animalia
NEG_57959,749.6328166556013,Heterolobosea,Protozoa
NEG_58432,752.5512871525937,Arthropoda,Animalia
NEG_63346,776.4232466087957,Chlorophyta,Plantae
NEG_64251,780.518941813937,Arthropoda,Animalia
NEG_68624,799.5979957703578,Arthropoda,Animalia
NEG_72316,815.6505858862296,Heterolobosea,Protozoa
NEG_73335,820.5003382954922,Chlorophyta,Plantae
NEG_76150,832.6576529886823,Heterolobosea,Protozoa
NEG_77223,837.6801022362988,Heterolobosea,Protozoa
NEG_77547,839.5884706627401,Mollusca,Animalia
NEG_77711,840.5463199850223,Chlorophyta,Plantae
NEG_78590,844.6346485943836,Heterolobosea,Protozoa
NEG_79011,846.5857711853404,Mollusca,Animalia
NEG_79540,848.7119796392255,Heterolobosea,Protozoa
NEG_9416,405.27828647255313,Arthropoda,Animalia
NEG_9627,407.3847176163215,Heterolobosea,Protozoa
