feature_id,consensus_mz,phylum,kingdom
A15_10008,426.261239,Pseudomonadota,Bacteria
A15_100210,527.403251,Bacillota,Bacteria
A15_100228,770.531298,Basidiomycota,Fungi
A15_100418,760.511479,Bacillota,Bacteria
A15_100477,681.493409,Bacillota,Bacteria
A15_100526,786.563988,Ascomycota,Fungi
A15_100966,659.48484,Basidiomycota,Fungi
A15_100976,497.360607,Bacillota,Bacteria
A15_100999,694.502045,Pseudomonadota,Bacteria
A15_101197,678.468423,Bacillota,Bacteria
A15_1013,377.194277,Pseudomonadota,Bacteria
A15_101384,692.539713,Mucoromycota,Fungi
A15_101400,700.534984,Basidiomycota,Fungi
A15_101517,608.431332,Pseudomonadota,Bacteria
A15_101815,441.372255,Bacillota,Bacteria
A15_101827,613.38634,Pseudomonadota,Bacteria
A15_101972,798.562666,Basidiomycota,Fungi
A15_10209,365.135469,Bacillota,Bacteria
A15_10218,752.513983,Methanobacteriota,Archaea
A15_102231,786.566299,Ascomycota,Fungi
A15_102532,663.478443,Bacillota,Bacteria
A15_102568,723.498897,Bacillota,Bacteria
A15_102749,500.445932,Bacillota,Bacteria
A15_102766,750.525678,Basidiomycota,Fungi
A15_102943,659.484757,Basidiomycota,Fungi
A15_103027,718.500579,Pseudomonadota,Bacteria
A15_103061,728.485131,Bacillota,Bacteria
A15_10327,230.247565,Bacillota,Bacteria
A15_103477,577.481618,Basidiomycota,Fungi
A15_103592,539.407283,Bacillota,Bacteria
A15_103918,692.539878,Mucoromycota,Fungi
A15_104104,637.466913,Pseudomonadota,Bacteria
A15_104329,575.466426,Basidiomycota,Fungi
A15_10440,437.373229,Bacillota,Bacteria
A15_104405,748.511345,Pseudomonadota,Bacteria
A15_104598,678.469399,Bacillota,Bacteria
A15_105034,766.525636,Bacillota,Bacteria
A15_105118,595.414892,Bacillota,Bacteria
A15_105296,577.48168,Basidiomycota,Fungi
A15_10568,672.409337,Basidiomycota,Fungi
A15_105800,617.474792,Basidiomycota,Fungi
A15_105895,728.587918,Bacillota,Bacteria
A15_106019,582.416302,Pseudomonadota,Bacteria
A15_106349,613.424231,Pseudomonadota,Bacteria
A15_106352,539.407103,Bacillota,Bacteria
A15_106354,748.512175,Pseudomonadota,Bacteria
A15_106388,771.534921,Bacillota,Bacteria
A15_106401,465.408981,Bacillota,Bacteria
A15_106482,338.341228,Bacillota,Bacteria
A15_106592,577.481751,Basidiomycota,Fungi
A15_107062,617.474739,Basidiomycota,Fungi
A15_107389,666.471859,Pseudomonadota,Bacteria
A15_107466,786.564295,Ascomycota,Fungi
A15_107529,728.588395,Bacillota,Bacteria
A15_107730,770.531262,Streptophyta,Viridiplantae
A15_107734,830.589431,Ascomycota,Fungi
A15_10782,499.314354,Bacillota,Bacteria
A15_107972,338.341181,Bacillota,Bacteria
A15_108060,728.588429,Bacillota,Bacteria
A15_108179,673.500851,Basidiomycota,Fungi
A15_108468,617.474618,Basidiomycota,Fungi
A15_108479,748.512086,Pseudomonadota,Bacteria
A15_108589,467.263761,Chlorophyta,Viridiplantae
A15_108788,663.478234,Bacillota,Bacteria
A15_109084,760.550516,Basidiomycota,Fungi
A15_109090,728.485321,Bacillota,Bacteria
