mode,phylum,kingdom,annotation_superclass,n_features,phylum_annotated_total,fraction
NEG,Actinomycetota,Bacteria,Glycerolipids,2,15,0.13333333333333333
NEG,Actinomycetota,Bacteria,Glycerophospholipids,13,15,0.8666666666666667
NEG,Arthropoda,Animalia,Archaeal lipids,1,241,0.004149377593360996
NEG,Arthropoda,Animalia,Fatty acyls,27,241,0.11203319502074689
NEG,Arthropoda,Animalia,Glycerolipids,16,241,0.06639004149377593
NEG,Arthropoda,Animalia,Glycerophospholipids,145,241,0.6016597510373444
NEG,Arthropoda,Animalia,Sphingolipids,52,241,0.2157676348547718
NEG,Ascomycota,Fungi,Fatty acyls,71,500,0.142
NEG,Ascomycota,Fungi,Glycerolipids,24,500,0.048
NEG,Ascomycota,Fungi,Glycerophospholipids,389,500,0.778
NEG,Ascomycota,Fungi,Sphingolipids,16,500,0.032
NEG,Bacillota,Bacteria,Glycerophospholipids,76,78,0.9743589743589743
NEG,Bacillota,Bacteria,Prenol lipids,1,78,0.01282051282051282
NEG,Bacillota,Bacteria,Sphingolipids,1,78,0.01282051282051282
NEG,Basidiomycota,Fungi,Fatty acyls,10,82,0.12195121951219512
NEG,Basidiomycota,Fungi,Glycerolipids,6,82,0.07317073170731707
NEG,Basidiomycota,Fungi,Glycerophospholipids,58,82,0.7073170731707317
NEG,Basidiomycota,Fungi,Sphingolipids,8,82,0.0975609756097561
NEG,Chlorophyta,Plantae,Glycerolipids,18,36,0.5
NEG,Chlorophyta,Plantae,Glycerophospholipids,16,36,0.4444444444444444
NEG,Chlorophyta,Plantae,Prenol lipids,1,36,0.027777777777777776
NEG,Chlorophyta,Plantae,Sphingolipids,1,36,0.027777777777777776
NEG,Discosea,Protozoa,Glycerophospholipids,1,1,1.0
NEG,Evosea,Protozoa,Fatty acyls,2,71,0.028169014084507043
NEG,Evosea,Protozoa,Glycerolipids,1,71,0.014084507042253521
NEG,Evosea,Protozoa,Glycerophospholipids,67,71,0.9436619718309859
NEG,Evosea,Protozoa,Sphingolipids,1,71,0.014084507042253521
NEG,Heterolobosea,Protozoa,Glycerolipids,2,99,0.020202020202020204
NEG,Heterolobosea,Protozoa,Glycerophospholipids,88,99,0.8888888888888888
NEG,Heterolobosea,Protozoa,Prenol lipids,1,99,0.010101010101010102
NEG,Heterolobosea,Protozoa,Sphingolipids,8,99,0.08080808080808081
NEG,Methanobacteriota,Archaea,Archaeal lipids,8,10,0.8
NEG,Methanobacteriota,Archaea,Sphingolipids,2,10,0.2
NEG,Mollusca,Animalia,Fatty acyls,1,65,0.015384615384615385
NEG,Mollusca,Animalia,Glycerolipids,4,65,0.06153846153846154
NEG,Mollusca,Animalia,Glycerophospholipids,56,65,0.8615384615384616
NEG,Mollusca,Animalia,Sphingolipids,4,65,0.06153846153846154
NEG,Mucoromycota,Fungi,Glycerophospholipids,8,8,1.0
NEG,Nematoda,Animalia,Fatty acyls,1,64,0.015625
NEG,Nematoda,Animalia,Glycerolipids,3,64,0.046875
NEG,Nematoda,Animalia,Glycerophospholipids,49,64,0.765625
NEG,Nematoda,Animalia,Sphingolipids,11,64,0.171875
NEG,Pseudomonadota,Bacteria,Fatty acyls,2,65,0.03076923076923077
NEG,Pseudomonadota,Bacteria,Glycerophospholipids,63,65,0.9692307692307692
NEG,Streptophyta,Plantae,Fatty acyls,36,552,0.06521739130434782
NEG,Streptophyta,Plantae,Glycerolipids,178,552,0.322463768115942
NEG,Streptophyta,Plantae,Glycerophospholipids,314,552,0.5688405797101449
NEG,Streptophyta,Plantae,Prenol lipids,4,552,0.007246376811594203
NEG,Streptophyta,Plantae,Sphingolipids,20,552,0.036231884057971016
NEG,Thermoproteota,Archaea,Archaeal lipids,2,2,1.0
POS,Actinomycetota,Bacteria,Glycerolipids,99,180,0.55
POS,Actinomycetota,Bacteria,Glycerophospholipids,73,180,0.40555555555555556
POS,Actinomycetota,Bacteria,Glycerophospholipids|Sphingolipids,1,180,0.005555555555555556
POS,Actinomycetota,Bacteria,Prenol lipids,1,180,0.005555555555555556
POS,Actinomycetota,Bacteria,Sphingolipids,6,180,0.03333333333333333
POS,Arthropoda,Animalia,Fatty acyls,1,145,0.006896551724137931
POS,Arthropoda,Animalia,Glycerolipids,13,145,0.0896551724137931
POS,Arthropoda,Animalia,Glycerophospholipids,49,145,0.33793103448275863
POS,Arthropoda,Animalia,Glycerophospholipids|Sphingolipids,31,145,0.21379310344827587
POS,Arthropoda,Animalia,Prenol lipids,31,145,0.21379310344827587
POS,Arthropoda,Animalia,Sphingolipids,19,145,0.1310344827586207
POS,Arthropoda,Animalia,Sterol lipids,1,145,0.006896551724137931
POS,Ascomycota,Fungi,Fatty acyls,11,131,0.08396946564885496
POS,Ascomycota,Fungi,Glycerolipids,57,131,0.4351145038167939
POS,Ascomycota,Fungi,Glycerophospholipids,37,131,0.2824427480916031
POS,Ascomycota,Fungi,Glycerophospholipids|Sphingolipids,10,131,0.07633587786259542
POS,Ascomycota,Fungi,Prenol lipids,5,131,0.03816793893129771
POS,Ascomycota,Fungi,Sphingolipids,11,131,0.08396946564885496
