method,K,n_features,mantel_r_vs_full,cophenetic_r,full_cophenetic_r
simper,100,809,0.9837219063331388,0.901260079985535,0.8800371415222945
simper,250,1683,0.9907787695466646,0.8875784322793738,0.8800371415222945
simper,500,2867,0.9947680259722154,0.886275341601036,0.8800371415222945
simper,1000,4921,0.9977697447808078,0.8815326334517628,0.8800371415222945
simper,2500,10363,0.9993239174753431,0.8794597199526486,0.8800371415222945
scbd,100,1158,0.9856955672829892,0.8854880464247,0.8800371415222945
scbd,250,2718,0.9935940416609871,0.8827703326697,0.8800371415222945
scbd,500,5049,0.9973735245531314,0.8789430661446036,0.8800371415222945
scbd,1000,9053,0.9988753345780573,0.8786464831572861,0.8800371415222945
scbd,2500,18258,0.9996626402691698,0.8780955139859767,0.8800371415222945
cap,100,1074,0.8978281012759881,0.9531016300493691,0.8800371415222945
cap,250,2474,0.8962627851008428,0.9369528761901187,0.8800371415222945
cap,500,4384,0.9179399846994847,0.9280111202293936,0.8800371415222945
cap,1000,7956,0.9544154132044325,0.9032166719932133,0.8800371415222945
cap,2500,15999,0.9717163664916324,0.9011767472775221,0.8800371415222945
stability_l1,100,1582,0.702203377993362,0.9195062096766032,0.8800371415222945
stability_l1,250,3822,0.7413232702621944,0.9203477640759808,0.8800371415222945
stability_l1,500,7209,0.792059919751187,0.9425403470465591,0.8800371415222945
stability_l1,1000,13047,0.8112798816224995,0.9220350701265024,0.8800371415222945
stability_l1,2500,28179,0.9817224108964909,0.8768178801138367,0.8800371415222945
