method,K,n_features,n_climgrass_features,n_overlap,frac_of_climgrass_in_topK,frac_of_topK_in_climgrass
simper,100,809,696,42,0.0603448275862069,0.0519159456118665
simper,250,1683,696,99,0.14224137931034483,0.058823529411764705
simper,500,2867,696,166,0.23850574712643677,0.057900244157656086
simper,1000,4921,696,272,0.39080459770114945,0.05527331843121317
simper,2500,10363,696,560,0.8045977011494253,0.05403840586702692
scbd,100,1158,696,63,0.09051724137931035,0.054404145077720206
scbd,250,2718,696,148,0.21264367816091953,0.054451802796173655
scbd,500,5049,696,250,0.35919540229885055,0.04951475539710834
scbd,1000,9053,696,423,0.6077586206896551,0.046724842593615375
scbd,2500,18258,696,669,0.9612068965517241,0.03664147223135064
cap,100,1074,696,23,0.033045977011494254,0.021415270018621976
cap,250,2474,696,39,0.05603448275862069,0.01576394502829426
cap,500,4384,696,88,0.12643678160919541,0.020072992700729927
cap,1000,7956,696,152,0.21839080459770116,0.019105077928607342
cap,2500,15999,696,290,0.4166666666666667,0.018126132883305206
stability_l1,100,1582,696,21,0.03017241379310345,0.01327433628318584
stability_l1,250,3822,696,60,0.08620689655172414,0.015698587127158554
stability_l1,500,7209,696,103,0.14798850574712644,0.014287695935636011
stability_l1,1000,13047,696,167,0.23994252873563218,0.012799877366444393
stability_l1,2500,28179,696,441,0.6336206896551724,0.01564995209198339
