phylum,kingdom,total,all4,geq3,geq2,only_1
Actinomycetota,Bacteria,1628,0,60,312,1316
Arthropoda,Animalia,1522,0,55,423,1099
Ascomycota,Fungi,1522,4,74,400,1122
Bacillota,Bacteria,1499,3,107,391,1108
Basidiomycota,Fungi,1541,0,81,378,1163
Chlorophyta,Plantae,1522,0,47,431,1091
Discosea,Protozoa,1415,25,99,461,954
Evosea,Protozoa,1271,36,212,481,790
Heterolobosea,Protozoa,1443,1,145,411,1032
Methanobacteriota,Archaea,1671,4,50,275,1396
Mollusca,Animalia,1518,0,55,427,1091
Mucoromycota,Fungi,1497,5,95,403,1094
Nematoda,Animalia,1601,0,25,374,1227
Pseudomonadota,Bacteria,1583,0,52,365,1218
Streptophyta,Plantae,1523,2,40,435,1088
Thermoproteota,Archaea,1574,0,110,316,1258
