phylum,ecological_group,n_samples,n_features,n_50pct,n_80pct,n_90pct,n_95pct,max_single_pct,gini
Actinomycetota,Bacteria,15,57586,570,3492,8416,15650,0.6887345731389067,0.8962390869817098
Arthropoda,Animalia,11,57586,497,3190,7744,14450,0.7783109650142548,0.90445907149651
Ascomycota,Fungi,27,57586,411,2741,6912,13413,1.327807806154265,0.9121184586138245
Bacillota,Bacteria,25,57586,439,2959,7494,14487,0.7294500579248038,0.9062286968678361
Basidiomycota,Fungi,10,57586,408,2895,7028,13022,1.8185568099926677,0.913263015817078
Chlorophyta,Viridiplantae,5,57586,270,2208,5739,10837,1.2623277965809483,0.9290295091717045
Discosea,Protists,7,57586,156,1050,3133,7268,1.6743006757303367,0.9501611828755436
Evosea,Protists,5,57586,82,840,2681,6439,3.9579224601809257,0.9556323724935807
Heterolobosea,Protists,5,57586,82,902,2870,6683,2.208255828726273,0.9544090966515859
Methanobacteriota,Archaea,16,57586,554,3633,8835,16297,0.7103779532638987,0.893176696553968
Mollusca,Animalia,2,57586,307,2043,5346,10916,0.9089309800107805,0.9276851581308647
Mucoromycota,Fungi,7,57586,271,2181,5907,12079,1.4982577634511562,0.9228777085408313
Nematoda,Animalia,4,57586,482,3138,7569,14284,1.4510633895020668,0.9052078289785817
Pseudomonadota,Bacteria,8,57586,440,2825,7188,14136,1.4894946021895683,0.9083146395357722
Streptophyta,Viridiplantae,14,57586,384,2840,7120,13110,1.6478894046505062,0.9142124152632221
Thermoproteota,Archaea,3,57586,553,3445,8306,15482,0.6267779930412797,0.8974943377880447
