sample,true_phylum,true_group,Bacteria,Archaea,Fungi,Plantae,Animalia,Protozoa,correct_group_pct,dominant_group,dominant_correct
sample:24A1-A2-A3POS,Evosea,Protozoa,20.07,0.0,17.37,0.6,7.24,54.71,54.71,Protozoa,1
sample:24S3POS,Evosea,Protozoa,37.42,0.0,8.92,0.2,1.48,51.98,51.98,Protozoa,1
sample:25S1-S2POS,Evosea,Protozoa,18.98,0.0,12.73,0.52,2.51,65.27,65.27,Protozoa,1
sample:68A1-A2-A3POS,Evosea,Protozoa,27.31,0.0,10.02,0.47,4.7,57.49,57.49,Protozoa,1
sample:68S1-S2-S3POS,Evosea,Protozoa,18.15,0.0,17.54,0.81,3.04,60.46,60.46,Protozoa,1
sample:ACNeff1POS,Discosea,Protozoa,1.32,0.0,44.52,3.76,4.06,46.33,46.33,Protozoa,1
sample:ACNeff234POS,Discosea,Protozoa,1.24,0.0,34.54,2.11,9.73,52.37,52.37,Protozoa,1
sample:ACNeffE25-123POS,Discosea,Protozoa,4.03,0.0,21.22,5.37,12.45,56.93,56.93,Protozoa,1
sample:I5POS_20240925024318,Arthropoda,Animalia,3.9,0.0,45.18,5.1,40.9,4.93,40.9,Fungi,0
sample:I8POS,Mollusca,Animalia,3.42,0.0,19.96,1.71,68.38,6.53,68.38,Animalia,1
sample:I8POS_20240925010944,Mollusca,Animalia,3.58,0.0,27.01,1.77,62.55,5.09,62.55,Animalia,1
sample:I9POS,Arthropoda,Animalia,1.55,0.0,22.85,2.95,40.23,32.42,40.23,Animalia,1
sample:LHKa1POS,Pseudomonadota,Bacteria,89.81,0.0,0.85,0.03,0.4,8.91,89.81,Bacteria,1
sample:LHKa2POS,Pseudomonadota,Bacteria,92.14,0.0,0.85,0.02,0.25,6.73,92.14,Bacteria,1
sample:LHKa3POS,Pseudomonadota,Bacteria,88.72,0.0,0.4,0.03,0.35,10.5,88.72,Bacteria,1
sample:Lu03POS_20240924172144,Arthropoda,Animalia,4.96,0.0,46.74,0.96,42.45,4.89,42.45,Fungi,0
sample:Lu04POS_20240924110720,Arthropoda,Animalia,6.28,0.0,26.24,1.14,43.07,23.26,43.07,Animalia,1
sample:Lu05POS,Arthropoda,Animalia,0.42,0.0,0.57,0.03,62.24,36.74,62.24,Animalia,1
sample:Lu07POS_20240924182408,Arthropoda,Animalia,10.18,0.0,25.92,2.29,45.62,15.99,45.62,Animalia,1
sample:Lu08POS,Arthropoda,Animalia,2.49,0.0,2.42,0.28,3.3,91.51,3.3,Protozoa,0
sample:Lu11POS,Arthropoda,Animalia,21.25,0.0,37.05,1.9,34.79,5.01,34.79,Fungi,0
sample:Lu12POS,Arthropoda,Animalia,30.28,0.0,19.39,3.17,42.78,4.38,42.78,Animalia,1
sample:Lu13POS,Arthropoda,Animalia,7.82,0.0,33.03,2.78,46.07,10.29,46.07,Animalia,1
sample:Lu16POS,Arthropoda,Animalia,10.47,0.0,42.26,0.72,34.26,12.3,34.26,Fungi,0
sample:Lu18POS,Streptophyta,Plantae,6.15,0.0,54.98,17.29,20.39,1.19,17.29,Fungi,0
sample:N-clarki-1POS,Heterolobosea,Protozoa,22.43,0.0,3.52,0.17,5.3,68.57,68.57,Protozoa,1
sample:N1POS,Nematoda,Animalia,66.44,0.0,9.81,0.67,13.17,9.91,13.17,Bacteria,0
sample:N2POS,Nematoda,Animalia,28.26,0.0,43.07,1.78,16.32,10.56,16.32,Fungi,0
sample:N2POS_20240925051918,Nematoda,Animalia,21.57,0.0,52.0,0.56,22.34,3.53,22.34,Fungi,0
sample:N3POS,Nematoda,Animalia,54.39,0.0,18.85,0.28,11.34,15.14,11.34,Bacteria,0
sample:NClarki2POS,Heterolobosea,Protozoa,40.46,0.0,10.0,0.41,4.91,44.22,44.22,Protozoa,1
sample:Nkorea-1POS,Heterolobosea,Protozoa,18.36,0.0,6.47,0.1,2.89,72.19,72.19,Protozoa,1
sample:Nkorea2POS,Heterolobosea,Protozoa,33.02,0.0,6.78,0.78,2.55,56.88,56.88,Protozoa,1
sample:OE11-3-E4-A1POS,Actinomycetota,Bacteria,66.0,0.0,24.35,1.76,6.88,1.01,66.0,Bacteria,1
sample:OE11-3-E4-A4POS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE11-3-E4-B5POS,Actinomycetota,Bacteria,91.76,0.0,3.37,1.77,2.8,0.31,91.76,Bacteria,1
sample:OE11-3-E4-F6POS,Mucoromycota,Fungi,7.17,0.0,67.9,8.83,8.03,8.07,67.9,Fungi,1
sample:OE11-3-E4-P18POS,Streptophyta,Plantae,1.88,10.87,29.26,51.53,4.09,2.37,51.53,Plantae,1
sample:OE11-3-E4-P27POS,Streptophyta,Plantae,6.97,0.19,19.76,61.4,10.44,1.24,61.4,Plantae,1
sample:OE11-E4-A7POS,Methanobacteriota,Archaea,0.0,0.02,62.01,37.97,0.0,0.0,0.02,Fungi,0
sample:OE11-E4-B3POS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE11-E4-B4POS,Actinomycetota,Bacteria,68.48,0.0,6.23,1.59,18.66,5.04,68.48,Bacteria,1
sample:OE11-E4-F15POS,Basidiomycota,Fungi,6.05,0.0,84.12,1.12,3.63,5.09,84.12,Fungi,1
sample:OE11-E4-F2POS,Ascomycota,Fungi,12.83,2.63,66.36,4.51,10.36,3.31,66.36,Fungi,1
sample:OE11-E4-F47POS,Mucoromycota,Fungi,6.86,0.0,69.61,6.46,10.28,6.79,69.61,Fungi,1
sample:OE11-E4-P11POS,Streptophyta,Plantae,3.93,0.0,33.84,54.21,7.13,0.89,54.21,Plantae,1
sample:OE11-E4-P14POS,Streptophyta,Plantae,4.59,0.0,49.31,41.16,3.78,1.15,41.16,Fungi,0
sample:OE11-E4-P26POS,Streptophyta,Plantae,13.42,0.0,49.18,23.34,13.96,0.11,23.34,Fungi,0
sample:OE21-4-11POS,Bacillota,Bacteria,94.75,0.0,4.19,0.35,0.6,0.12,94.75,Bacteria,1
sample:OE21-4-19POS,Bacillota,Bacteria,90.96,0.0,6.5,0.43,2.07,0.04,90.96,Bacteria,1
sample:OE21-4-28POS,Bacillota,Bacteria,89.91,0.0,7.93,0.29,1.69,0.18,89.91,Bacteria,1
sample:OE21-4-31POS,Bacillota,Bacteria,97.11,0.0,0.36,0.79,1.45,0.29,97.11,Bacteria,1
sample:OE21-4-34POS,Bacillota,Bacteria,94.51,0.0,3.31,0.68,1.18,0.32,94.51,Bacteria,1
sample:OE21-4-A10POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A12POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A1POS,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A1POS_20240618215255,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A3POS,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A5POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A6POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A9POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-B9POS,Actinomycetota,Bacteria,31.71,7.29,24.69,1.2,32.21,2.89,31.71,Animalia,0
sample:OE21-4-E6C13POS,Actinomycetota,Bacteria,16.58,0.0,82.0,0.04,0.14,1.24,16.58,Fungi,0
sample:OE21-4-E6C21POS,Actinomycetota,Bacteria,0.06,0.0,98.26,0.06,1.56,0.05,0.06,Fungi,0
sample:OE21-4-E6C4POS,Actinomycetota,Bacteria,25.49,0.0,68.33,0.02,0.09,6.06,25.49,Fungi,0
sample:OE21-4-E6C6POS,Actinomycetota,Bacteria,1.03,0.0,98.3,0.22,0.04,0.42,1.03,Fungi,0
sample:OE21-4-E8F38POS,Ascomycota,Fungi,8.14,0.13,69.44,6.12,10.29,5.87,69.44,Fungi,1
sample:OE21-4-E8F41POS,Ascomycota,Fungi,5.96,0.4,75.29,9.48,5.7,3.18,75.29,Fungi,1
sample:OE21-4-E8F42POS,Ascomycota,Fungi,15.06,0.1,74.84,1.99,3.45,4.56,74.84,Fungi,1
sample:OE21-4-E8F44POS,Ascomycota,Fungi,13.6,0.08,79.59,1.65,3.51,1.57,79.59,Fungi,1
sample:OE21-4-E8F45POS,Ascomycota,Fungi,8.98,0.17,65.45,2.73,16.3,6.37,65.45,Fungi,1
sample:OE21-4-E8F51POS,Ascomycota,Fungi,16.73,0.1,66.4,1.23,9.92,5.62,66.4,Fungi,1
sample:OE21-4-E8F56POS,Ascomycota,Fungi,11.97,0.1,62.68,2.15,11.99,11.12,62.68,Fungi,1
sample:OE21-4-F10POS,Basidiomycota,Fungi,0.41,0.0,98.31,0.18,0.67,0.43,98.31,Fungi,1
sample:OE21-4-F12POS,Basidiomycota,Fungi,12.67,0.32,70.03,4.72,7.57,4.68,70.03,Fungi,1
sample:OE21-4-F29POS,Ascomycota,Fungi,15.39,0.0,80.87,1.07,2.39,0.28,80.87,Fungi,1
sample:OE21-4-F3POS,Ascomycota,Fungi,9.72,0.26,40.0,30.84,15.51,3.67,40.0,Fungi,1
sample:OE21-4-F5POS,Basidiomycota,Fungi,18.31,0.49,58.47,3.61,17.29,1.84,58.47,Fungi,1
sample:OE21-4-F7POS,Basidiomycota,Fungi,7.01,0.74,81.34,1.86,5.33,3.72,81.34,Fungi,1
sample:OE21-4-F8POS,Basidiomycota,Fungi,13.15,0.21,75.52,0.81,3.42,6.89,75.52,Fungi,1
sample:OE21-4-F9POS,Basidiomycota,Fungi,20.6,0.04,63.72,3.41,8.89,3.34,63.72,Fungi,1
sample:OE21-4-P1POS,Streptophyta,Plantae,6.75,0.03,29.08,51.67,9.85,2.61,51.67,Plantae,1
sample:OE21-4-P2POS,Streptophyta,Plantae,7.08,0.11,47.19,30.62,7.78,7.22,30.62,Fungi,0
sample:OE21-4-P4POS,Streptophyta,Plantae,7.89,0.36,39.35,29.69,17.66,5.04,29.69,Fungi,0
sample:OE21-4-P5POS,Streptophyta,Plantae,9.26,0.13,49.02,26.57,9.12,5.9,26.57,Fungi,0
sample:OE21-4-P6POS,Streptophyta,Plantae,12.15,0.01,35.46,38.22,11.54,2.61,38.22,Plantae,1
sample:OE21-4-P7POS,Streptophyta,Plantae,12.65,0.12,42.66,34.75,4.96,4.87,34.75,Fungi,0
sample:OE21-4-P9POS,Streptophyta,Plantae,23.09,0.01,41.22,30.89,2.19,2.6,30.89,Fungi,0
sample:OE25102891POS,Actinomycetota,Bacteria,16.82,0.0,76.62,2.99,1.95,1.61,16.82,Fungi,0
sample:OE25AC1BU-2POS,Discosea,Protozoa,8.97,0.0,5.67,0.0,5.4,79.96,79.96,Protozoa,1
sample:OE25AC1BU1POS,Discosea,Protozoa,1.76,0.0,0.49,0.0,0.08,97.66,97.66,Protozoa,1
sample:OE25AC1BU3POS,Discosea,Protozoa,3.41,0.0,20.86,0.0,9.61,66.11,66.11,Protozoa,1
sample:OE25AGS-3POS,Discosea,Protozoa,23.06,0.0,2.39,0.09,3.38,71.08,71.08,Protozoa,1
sample:OE25DSM1988POS,Ascomycota,Fungi,14.93,0.0,80.96,2.76,0.33,1.01,80.96,Fungi,1
sample:OE25ECOLI1POS,Pseudomonadota,Bacteria,99.59,0.0,0.0,0.11,0.0,0.3,99.59,Bacteria,1
sample:OE25ECOLI2POS,Pseudomonadota,Bacteria,99.75,0.0,0.0,0.11,0.0,0.14,99.75,Bacteria,1
sample:OE25ECOLI3POS,Pseudomonadota,Bacteria,99.66,0.0,0.0,0.07,0.0,0.27,99.66,Bacteria,1
sample:OE25F11POS,Basidiomycota,Fungi,0.01,0.0,60.67,8.09,30.52,0.7,60.67,Fungi,1
sample:OE25F13POS,Ascomycota,Fungi,82.71,0.0,13.85,2.44,0.98,0.03,13.85,Bacteria,0
sample:OE25F15POS,Basidiomycota,Fungi,2.62,0.0,77.98,7.91,11.18,0.32,77.98,Fungi,1
sample:OE25F1POS,Ascomycota,Fungi,0.08,0.0,96.43,2.74,0.72,0.04,96.43,Fungi,1
sample:OE25F2POS,Ascomycota,Fungi,51.47,0.0,38.37,1.75,3.62,4.8,38.37,Bacteria,0
sample:OE25F30POS,Ascomycota,Fungi,0.01,0.0,78.93,21.05,0.0,0.01,78.93,Fungi,1
sample:OE25F32POS,Mucoromycota,Fungi,48.65,0.0,29.89,2.34,19.08,0.04,29.89,Bacteria,0
sample:OE25F34POS,Ascomycota,Fungi,14.88,0.0,82.04,2.09,0.53,0.45,82.04,Fungi,1
sample:OE25F36POS,Ascomycota,Fungi,0.06,0.0,81.52,11.02,5.97,1.44,81.52,Fungi,1
sample:OE25F37POS,Ascomycota,Fungi,0.38,0.0,61.08,37.21,1.18,0.16,61.08,Fungi,1
sample:OE25F3POS,Ascomycota,Fungi,45.97,0.0,44.26,8.64,0.9,0.23,44.26,Bacteria,0
sample:OE25F40POS,Ascomycota,Fungi,0.07,0.0,97.35,1.02,0.07,1.49,97.35,Fungi,1
sample:OE25F41POS,Ascomycota,Fungi,5.51,0.0,86.95,2.54,3.1,1.89,86.95,Fungi,1
sample:OE25F42POS,Ascomycota,Fungi,0.04,0.0,87.05,2.74,5.58,4.59,87.05,Fungi,1
sample:OE25F45POS,Ascomycota,Fungi,1.03,0.0,91.44,3.31,3.6,0.62,91.44,Fungi,1
sample:OE25F47POS,Mucoromycota,Fungi,18.48,0.0,73.23,2.43,5.47,0.38,73.23,Fungi,1
sample:OE25F48POS,Ascomycota,Fungi,2.02,0.0,75.94,0.49,1.88,19.66,75.94,Fungi,1
sample:OE25F4POS,Basidiomycota,Fungi,0.02,0.0,90.19,2.51,7.28,0.0,90.19,Fungi,1
sample:OE25F52POS,Ascomycota,Fungi,92.6,0.0,7.13,0.14,0.13,0.0,7.13,Bacteria,0
sample:OE25F53POS,Ascomycota,Fungi,12.5,0.0,79.97,2.34,4.18,1.01,79.97,Fungi,1
sample:OE25F55POS,Mucoromycota,Fungi,22.7,0.0,64.27,1.75,7.17,4.11,64.27,Fungi,1
sample:OE25F57POS,Mucoromycota,Fungi,76.09,0.0,19.07,0.58,3.08,1.19,19.07,Bacteria,0
sample:OE25F61POS,Ascomycota,Fungi,0.04,0.0,88.58,2.27,6.63,2.49,88.58,Fungi,1
sample:OE25F6POS,Mucoromycota,Fungi,1.84,29.54,61.4,1.99,5.07,0.16,61.4,Fungi,1
sample:OE25FSNELMIPOS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE25HVOLCANIPOS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE25MFERIDUSPOS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE25MJAMPOS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE25MKANDELERIPOS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE25MMURBA-POS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE25MOKINAWAPOS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE25MSTAMSIIPOS,Methanobacteriota,Archaea,1.59,95.51,1.16,0.39,1.03,0.34,95.51,Archaea,1
sample:OE25NG1POS,Heterolobosea,Protozoa,90.15,0.0,0.01,2.64,0.01,7.19,7.19,Bacteria,0
sample:P-ALGOPOS,Bacillota,Bacteria,80.78,0.0,9.92,1.75,3.98,3.57,80.78,Bacteria,1
sample:P12075-1POS,Bacillota,Bacteria,97.89,0.0,1.48,0.2,0.21,0.22,97.89,Bacteria,1
sample:P12075-2POS,Bacillota,Bacteria,98.85,0.0,0.62,0.09,0.26,0.18,98.85,Bacteria,1
sample:P12075-3POS,Bacillota,Bacteria,84.12,0.0,14.31,0.48,0.57,0.52,84.12,Bacteria,1
sample:P12075-4POS,Bacillota,Bacteria,95.84,0.0,2.94,0.61,0.44,0.16,95.84,Bacteria,1
