sample,true_phylum,true_group,Bacteria,Archaea,Fungi,Plantae,Animalia,Protozoa,correct_group_pct,dominant_group,dominant_correct
sample:24A1-A2-A3POS,Evosea,Protozoa,5.78,0.0,5.2,2.17,3.75,83.1,83.1,Protozoa,1
sample:24S3POS,Evosea,Protozoa,10.8,0.0,6.77,2.97,2.06,77.4,77.4,Protozoa,1
sample:25S1-S2POS,Evosea,Protozoa,5.24,0.0,4.1,2.25,1.71,86.7,86.7,Protozoa,1
sample:68A1-A2-A3POS,Evosea,Protozoa,4.39,0.0,2.47,2.12,1.97,89.05,89.05,Protozoa,1
sample:68S1-S2-S3POS,Evosea,Protozoa,5.83,0.0,5.83,3.4,1.18,83.76,83.76,Protozoa,1
sample:ACNeff1POS,Discosea,Protozoa,1.34,0.0,20.08,2.51,5.13,70.94,70.94,Protozoa,1
sample:ACNeff234POS,Discosea,Protozoa,1.61,0.0,22.63,2.16,10.75,62.85,62.85,Protozoa,1
sample:ACNeffE25-123POS,Discosea,Protozoa,6.54,0.0,12.87,1.79,5.26,73.54,73.54,Protozoa,1
sample:I5POS_20240925024318,Arthropoda,Animalia,2.81,0.0,25.87,26.2,29.64,15.48,29.64,Animalia,1
sample:I8POS,Mollusca,Animalia,2.0,0.0,40.59,8.91,37.13,11.37,37.13,Fungi,0
sample:I8POS_20240925010944,Mollusca,Animalia,3.07,0.0,16.69,12.06,55.42,12.77,55.42,Animalia,1
sample:I9POS,Arthropoda,Animalia,0.75,0.0,34.21,17.9,35.03,12.11,35.03,Animalia,1
sample:LHKa1POS,Pseudomonadota,Bacteria,82.23,0.0,1.06,1.98,2.19,12.55,82.23,Bacteria,1
sample:LHKa2POS,Pseudomonadota,Bacteria,85.98,0.0,1.29,1.52,1.85,9.36,85.98,Bacteria,1
sample:LHKa3POS,Pseudomonadota,Bacteria,82.15,0.0,0.3,2.06,1.82,13.67,82.15,Bacteria,1
sample:Lu03POS_20240924172144,Arthropoda,Animalia,2.98,0.0,32.25,4.93,45.6,14.23,45.6,Animalia,1
sample:Lu04POS_20240924110720,Arthropoda,Animalia,4.18,0.0,19.5,7.57,51.28,17.47,51.28,Animalia,1
sample:Lu05POS,Arthropoda,Animalia,0.53,0.0,3.33,0.6,94.49,1.05,94.49,Animalia,1
sample:Lu07POS_20240924182408,Arthropoda,Animalia,6.51,0.0,21.55,16.21,29.58,26.15,29.58,Animalia,1
sample:Lu08POS,Arthropoda,Animalia,14.82,0.0,23.86,7.12,40.56,13.64,40.56,Animalia,1
sample:Lu11POS,Arthropoda,Animalia,9.7,0.0,26.71,5.5,52.7,5.39,52.7,Animalia,1
sample:Lu12POS,Arthropoda,Animalia,15.85,0.0,19.73,7.69,49.28,7.45,49.28,Animalia,1
sample:Lu13POS,Arthropoda,Animalia,5.82,0.0,28.46,20.99,42.08,2.65,42.08,Animalia,1
sample:Lu16POS,Arthropoda,Animalia,7.37,0.0,36.92,6.35,39.03,10.33,39.03,Animalia,1
sample:Lu18POS,Streptophyta,Plantae,1.16,0.0,34.55,52.64,8.83,2.82,52.64,Plantae,1
sample:N-clarki-1POS,Heterolobosea,Protozoa,4.07,0.0,1.84,0.48,2.35,91.25,91.25,Protozoa,1
sample:N1POS,Nematoda,Animalia,37.63,0.0,11.12,2.05,38.23,10.97,38.23,Animalia,1
sample:N2POS,Nematoda,Animalia,21.02,0.0,11.7,17.79,19.35,30.15,19.35,Protozoa,0
sample:N2POS_20240925051918,Nematoda,Animalia,16.64,0.0,24.6,2.98,10.64,45.15,10.64,Protozoa,0
sample:N3POS,Nematoda,Animalia,31.99,0.0,18.72,0.66,32.87,15.76,32.87,Animalia,1
sample:NClarki2POS,Heterolobosea,Protozoa,13.29,0.0,7.12,1.12,4.86,73.61,73.61,Protozoa,1
sample:Nkorea-1POS,Heterolobosea,Protozoa,3.74,0.0,4.02,0.17,0.38,91.69,91.69,Protozoa,1
sample:Nkorea2POS,Heterolobosea,Protozoa,12.88,0.0,5.14,1.25,0.74,79.99,79.99,Protozoa,1
sample:OE11-3-E4-A1POS,Actinomycetota,Bacteria,33.75,0.0,25.64,12.8,25.76,2.05,33.75,Bacteria,1
sample:OE11-3-E4-A4POS,Methanobacteriota,Archaea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,0
sample:OE11-3-E4-B5POS,Actinomycetota,Bacteria,89.34,0.0,0.7,7.58,1.43,0.95,89.34,Bacteria,1
sample:OE11-3-E4-F6POS,Mucoromycota,Fungi,7.07,0.0,52.17,27.76,3.4,9.6,52.17,Fungi,1
sample:OE11-3-E4-P18POS,Streptophyta,Plantae,3.05,0.2,21.91,58.9,2.36,13.57,58.9,Plantae,1
sample:OE11-3-E4-P27POS,Streptophyta,Plantae,3.35,0.0,7.66,75.15,11.91,1.92,75.15,Plantae,1
sample:OE11-E4-A7POS,Methanobacteriota,Archaea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,0
sample:OE11-E4-B3POS,Methanobacteriota,Archaea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,0
sample:OE11-E4-B4POS,Actinomycetota,Bacteria,51.02,0.0,2.79,16.88,17.87,11.44,51.02,Bacteria,1
sample:OE11-E4-F15POS,Basidiomycota,Fungi,4.69,0.0,65.62,10.13,4.41,15.15,65.62,Fungi,1
sample:OE11-E4-F2POS,Ascomycota,Fungi,7.66,0.09,64.18,13.53,3.73,10.81,64.18,Fungi,1
sample:OE11-E4-F47POS,Mucoromycota,Fungi,5.14,0.0,60.68,18.36,3.78,12.05,60.68,Fungi,1
sample:OE11-E4-P11POS,Streptophyta,Plantae,3.67,0.0,8.92,84.8,2.28,0.34,84.8,Plantae,1
sample:OE11-E4-P14POS,Streptophyta,Plantae,2.41,0.0,21.44,72.21,1.95,1.99,72.21,Plantae,1
sample:OE11-E4-P26POS,Streptophyta,Plantae,19.03,0.0,25.94,48.13,6.59,0.31,48.13,Plantae,1
sample:OE21-4-11POS,Bacillota,Bacteria,92.97,0.0,2.16,2.1,1.67,1.1,92.97,Bacteria,1
sample:OE21-4-19POS,Bacillota,Bacteria,85.35,0.0,9.28,1.44,2.34,1.59,85.35,Bacteria,1
sample:OE21-4-28POS,Bacillota,Bacteria,88.9,0.0,4.78,1.83,3.71,0.78,88.9,Bacteria,1
sample:OE21-4-31POS,Bacillota,Bacteria,93.34,0.0,0.68,1.73,3.16,1.1,93.34,Bacteria,1
sample:OE21-4-34POS,Bacillota,Bacteria,92.14,0.0,1.34,1.86,3.03,1.64,92.14,Bacteria,1
sample:OE21-4-A10POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A12POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A1POS,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A1POS_20240618215255,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A3POS,Thermoproteota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A5POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A6POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-A9POS,Methanobacteriota,Archaea,0.0,100.0,0.0,0.0,0.0,0.0,100.0,Archaea,1
sample:OE21-4-B9POS,Actinomycetota,Bacteria,18.8,0.06,26.61,19.14,30.12,5.26,18.8,Animalia,0
