sample,true_phylum,true_group,Bacteria,Archaea,Fungi,Plantae,Animalia,Protozoa,correct_group_pct,dominant_group,dominant_correct
sample:24A1-A2-A3POS,Evosea,Protozoa,20.53,6.83,10.2,0.76,8.4,53.27,53.27,Protozoa,1
sample:24S3POS,Evosea,Protozoa,23.51,7.38,5.43,0.34,6.34,56.99,56.99,Protozoa,1
sample:25S1-S2POS,Evosea,Protozoa,20.48,3.24,7.28,0.4,6.5,62.1,62.1,Protozoa,1
sample:68A1-A2-A3POS,Evosea,Protozoa,19.53,3.22,10.69,0.56,6.24,59.77,59.77,Protozoa,1
sample:68S1-S2-S3POS,Evosea,Protozoa,17.97,2.88,16.31,0.76,6.3,55.79,55.79,Protozoa,1
sample:ACNeff1POS,Discosea,Protozoa,4.35,6.35,33.33,10.1,17.12,28.75,28.75,Fungi,0
sample:ACNeff234POS,Discosea,Protozoa,4.47,11.51,24.93,7.92,20.94,30.24,30.24,Protozoa,1
sample:ACNeffE25-123POS,Discosea,Protozoa,6.91,6.04,19.43,10.37,22.86,34.4,34.4,Protozoa,1
sample:I5POS_20240925024318,Arthropoda,Animalia,3.98,10.23,47.66,3.44,30.65,4.03,30.65,Fungi,0
sample:I8POS,Mollusca,Animalia,5.17,10.93,13.29,1.2,45.88,23.52,45.88,Animalia,1
sample:I8POS_20240925010944,Mollusca,Animalia,4.95,17.91,17.57,2.17,48.33,9.06,48.33,Animalia,1
sample:I9POS,Arthropoda,Animalia,7.63,4.74,7.45,1.14,28.38,50.65,28.38,Protozoa,0
sample:LHKa1POS,Pseudomonadota,Bacteria,64.31,11.64,3.96,0.17,6.01,13.91,64.31,Bacteria,1
sample:LHKa2POS,Pseudomonadota,Bacteria,66.22,9.85,4.1,0.16,5.0,14.67,66.22,Bacteria,1
sample:LHKa3POS,Pseudomonadota,Bacteria,65.24,11.74,3.54,0.17,5.44,13.87,65.24,Bacteria,1
sample:Lu03POS_20240924172144,Arthropoda,Animalia,3.47,7.27,39.94,0.9,42.83,5.58,42.83,Animalia,1
sample:Lu04POS_20240924110720,Arthropoda,Animalia,11.24,0.55,20.44,2.79,41.37,23.61,41.37,Animalia,1
sample:Lu05POS,Arthropoda,Animalia,2.65,2.24,2.88,0.37,25.22,66.64,25.22,Protozoa,0
sample:Lu07POS_20240924182408,Arthropoda,Animalia,17.85,5.01,25.23,4.04,37.1,10.77,37.1,Animalia,1
sample:Lu08POS,Arthropoda,Animalia,6.99,0.58,5.07,0.42,15.33,71.61,15.33,Protozoa,0
sample:Lu11POS,Arthropoda,Animalia,5.97,9.94,24.13,1.22,40.14,18.61,40.14,Animalia,1
sample:Lu12POS,Arthropoda,Animalia,4.99,26.49,14.02,1.7,40.35,12.44,40.35,Animalia,1
sample:Lu13POS,Arthropoda,Animalia,6.53,6.38,21.87,7.08,45.59,12.55,45.59,Animalia,1
sample:Lu16POS,Arthropoda,Animalia,7.47,6.11,18.3,5.24,36.53,26.36,36.53,Animalia,1
sample:Lu18POS,Streptophyta,Plantae,8.09,17.39,49.83,15.76,7.57,1.37,15.76,Fungi,0
sample:N-clarki-1POS,Heterolobosea,Protozoa,19.23,10.37,3.58,0.2,12.02,54.59,54.59,Protozoa,1
sample:N1POS,Nematoda,Animalia,28.11,34.13,4.51,0.54,22.29,10.42,22.29,Archaea,0
sample:N2POS,Nematoda,Animalia,8.26,9.8,16.91,2.51,48.58,13.94,48.58,Animalia,1
sample:N2POS_20240925051918,Nematoda,Animalia,18.53,25.95,30.7,1.17,17.97,5.68,17.97,Fungi,0
sample:N3POS,Nematoda,Animalia,12.43,22.23,5.14,0.42,25.95,33.82,25.95,Protozoa,0
sample:NClarki2POS,Heterolobosea,Protozoa,18.55,6.21,4.12,0.19,11.01,59.93,59.93,Protozoa,1
sample:Nkorea-1POS,Heterolobosea,Protozoa,18.14,10.45,7.37,0.19,9.36,54.49,54.49,Protozoa,1
sample:Nkorea2POS,Heterolobosea,Protozoa,36.26,4.48,3.95,0.19,5.73,49.39,49.39,Protozoa,1
sample:OE11-3-E4-A1POS,Actinomycetota,Bacteria,38.78,32.97,8.41,0.56,11.74,7.53,38.78,Bacteria,1
sample:OE11-3-E4-A4POS,Methanobacteriota,Archaea,11.86,59.48,11.95,0.33,15.94,0.44,59.48,Archaea,1
sample:OE11-3-E4-B5POS,Actinomycetota,Bacteria,66.7,26.05,4.12,0.89,1.72,0.53,66.7,Bacteria,1
sample:OE11-3-E4-F6POS,Mucoromycota,Fungi,6.72,6.22,64.86,5.31,8.57,8.32,64.86,Fungi,1
sample:OE11-3-E4-P18POS,Streptophyta,Plantae,4.33,13.42,27.69,49.13,4.05,1.38,49.13,Plantae,1
sample:OE11-3-E4-P27POS,Streptophyta,Plantae,10.03,11.04,20.69,50.13,7.02,1.09,50.13,Plantae,1
sample:OE11-E4-A7POS,Methanobacteriota,Archaea,10.91,68.18,7.31,0.46,13.05,0.09,68.18,Archaea,1
sample:OE11-E4-B3POS,Methanobacteriota,Archaea,4.54,89.45,4.65,0.0,1.36,0.0,89.45,Archaea,1
sample:OE11-E4-B4POS,Actinomycetota,Bacteria,58.72,6.82,10.7,1.76,15.1,6.89,58.72,Bacteria,1
sample:OE11-E4-F15POS,Basidiomycota,Fungi,6.66,14.47,65.18,2.06,7.2,4.43,65.18,Fungi,1
sample:OE11-E4-F2POS,Ascomycota,Fungi,10.14,23.0,45.63,11.66,8.53,1.03,45.63,Fungi,1
sample:OE11-E4-F47POS,Mucoromycota,Fungi,7.24,11.67,55.03,9.89,8.11,8.05,55.03,Fungi,1
sample:OE11-E4-P11POS,Streptophyta,Plantae,6.89,19.48,27.55,40.3,4.94,0.83,40.3,Plantae,1
sample:OE11-E4-P14POS,Streptophyta,Plantae,7.72,8.76,47.84,30.01,3.81,1.86,30.01,Fungi,0
sample:OE11-E4-P26POS,Streptophyta,Plantae,13.89,45.46,25.01,8.61,6.33,0.69,8.61,Archaea,0
sample:OE21-4-11POS,Bacillota,Bacteria,74.49,16.9,1.78,0.73,5.51,0.58,74.49,Bacteria,1
sample:OE21-4-19POS,Bacillota,Bacteria,73.8,21.08,2.71,0.48,1.89,0.04,73.8,Bacteria,1
sample:OE21-4-28POS,Bacillota,Bacteria,79.44,7.48,3.3,0.5,8.73,0.54,79.44,Bacteria,1
sample:OE21-4-31POS,Bacillota,Bacteria,72.28,18.6,0.42,0.42,7.57,0.71,72.28,Bacteria,1
sample:OE21-4-34POS,Bacillota,Bacteria,49.68,43.52,1.16,0.58,4.2,0.85,49.68,Bacteria,1
sample:OE21-4-A10POS,Methanobacteriota,Archaea,0.18,91.93,4.58,1.61,1.67,0.05,91.93,Archaea,1
sample:OE21-4-A12POS,Methanobacteriota,Archaea,0.21,95.47,3.01,0.9,0.24,0.17,95.47,Archaea,1
