phylum,mean,ci_lo,ci_hi
Actinomycetota,0.20177395779414284,0.07825944094628894,0.2783769123107165
Arthropoda,0.05007505455978561,0.02867596743066072,0.07290941259877613
Ascomycota,0.07696503797755223,0.04165024480343519,0.13863197136366714
Bacillota,0.060309206555132895,0.04714567653948139,0.08996742319426482
Basidiomycota,0.13153130259498455,0.03282604878851895,0.18844441545141338
Chlorophyta,0.010463051174432655,0.0031572792656877555,0.058345314651023245
Discosea,0.010614936590596064,0.005791682877375839,0.0320819031930486
Evosea,0.012716556144641953,0.008274522152240484,0.029578369251018432
Heterolobosea,0.017727375303213725,0.008595331551754307,0.052038274384505555
Methanobacteriota,0.04590739288510327,0.01820488510619266,0.05905554464722833
Mollusca,0.09125600540729813,0.054846176335705876,0.14397656242252713
Mucoromycota,0.06976310452056853,0.03479377514856557,0.13460139387337164
Nematoda,0.005813994464447502,0.0019573579985827823,0.09845585953543448
Pseudomonadota,0.12013252057043934,0.05163631820598832,0.2113845710815957
Streptophyta,0.08549530230567128,0.05980354847129618,0.13171975597941443
Thermoproteota,0.009455201151989385,0.005078623480549738,0.012130848898340844
