,Actinomycetota,Arthropoda,Ascomycota,Bacillota,Basidiomycota,Chlorophyta,Discosea,Evosea,Heterolobosea,Methanobacteriota,Mollusca,Mucoromycota,Nematoda,Pseudomonadota,Streptophyta,Thermoproteota
OE12-3-49POS.raw Peak area,0.2077222258263221,0.05475239337147663,0.09869545587547834,0.06905182347900037,0.11700431640071399,0.012031789917469194,0.007398629899850786,0.015400152200743669,0.022943167797897488,0.014928234531291017,0.09023248351759124,0.06049608494861087,0.012003594949751822,0.11836341179576745,0.09730985482807288,0.0016663806599620994
OE12-3-19POS.raw Peak area,0.19302811167794934,0.0421231069160637,0.06033912510291889,0.05102675040323516,0.13238796649714532,0.010733855142407158,0.010785670169972734,0.012381899179964602,0.016100437543952757,0.03543721776355159,0.08958270960044312,0.09532978620818443,0.0047405215153387,0.15837267890853302,0.07930743062199974,0.008322732748339732
OE12-3-22POS.raw Peak area,0.18812803783080048,0.04256012663315865,0.059651656956401095,0.051071288931977994,0.12237569275323584,0.009259158805381843,0.009134887159758551,0.012841111612591364,0.016652089408669885,0.0677721933369435,0.09550021735899658,0.07674220668681517,0.0034212269577434495,0.13404770061490312,0.101660323057987,0.009182081894635484
OE12-3-43POS.raw Peak area,0.2029772781134782,0.04435755139175075,0.07432036972241264,0.05242968425354604,0.12863055855986885,0.009893328828958346,0.008690472811401792,0.011495999011634018,0.01808388290385667,0.04776355565285192,0.0748789198549187,0.06725041367942626,0.006674632591339865,0.12366641353085266,0.10348275489454933,0.025404184199153867
OE12-3-48POS.raw Peak area,0.20110689591259817,0.06387112021957822,0.08621824161497099,0.062398398491464765,0.14415095072872194,0.008545967791878797,0.011403705082785771,0.00987223285352599,0.01765634398862036,0.06513613955225554,0.07123093823838558,0.07257619907558412,0.005587859709068433,0.0934434807736888,0.07638522392090162,0.010416302045970905
OE12-3-44POS.raw Peak area,0.22642157543925423,0.04203937696468802,0.055244864856901686,0.06403668556384726,0.1218555457190315,0.00935868964898782,0.009004726432656823,0.009122369369633248,0.018112554648304215,0.08269051505291829,0.10003073208046379,0.06539276600197615,0.004390127028178955,0.09995267211199915,0.07733327229291058,0.01501352678824829
OE12-3-40POS.raw Peak area,0.17720296460598559,0.04964700021909126,0.052548876375984536,0.058681725946765094,0.14983074120474787,0.009760594856798125,0.011363121965933485,0.014533660442826592,0.015518897993116537,0.06698720236434909,0.09966532590689359,0.06736029628211383,0.004394003997314579,0.14909244075503705,0.062231568304001846,0.011181578779040937
OE12-3-27POS.raw Peak area,0.2828520667223695,0.05959258359837223,0.06918160862591748,0.04877152906219752,0.14198579654470733,0.00992167000704258,0.008614437500828194,0.010761754265007611,0.016793751110570247,0.028488250753812325,0.06976741071565207,0.07636853369601818,0.0059990740015968035,0.08096298144138171,0.08057022842742742,0.009368323527098805
OE12-3-28POS.raw Peak area,0.16273011776564578,0.06559747064686512,0.10357099013734848,0.08786107457389147,0.08442569715577317,0.013232164845179265,0.012622990947369695,0.017497688535498324,0.023976318166474934,0.01692520381298412,0.12150771165943308,0.06074688416174336,0.008287700110683065,0.12316173486601334,0.09659341761128792,0.0012628350038088297
OE12-3-35POS.raw Peak area,0.2015289573062932,0.04932967142764891,0.07798150515083303,0.06651761131003449,0.1152060400719753,0.011225998515778874,0.013582341502632989,0.01448094830115472,0.01669154325116039,0.044960594862474425,0.1072400447569517,0.0591482995841073,0.0038561387537251243,0.13320672701226383,0.08005262013720774,0.0049909580557579315
OE12-3-36POS.raw Peak area,0.18336644803603733,0.0392962188953616,0.07348449622540087,0.05300573146443466,0.18483154285683584,0.009675959319888246,0.012316754915808786,0.013110944089033714,0.014994851148213199,0.05361887662279725,0.09537008069482847,0.06323085266142907,0.004284404539711485,0.12008032938927597,0.06704093208619505,0.012291577054748454
OE12-3-52POS.raw Peak area,0.1942228142929802,0.047734034433372194,0.1123432650860588,0.05885817518119986,0.1356907826470578,0.011917436413421606,0.012461500698153124,0.011099913874089587,0.015204665677727987,0.026180730315010108,0.08006549050301985,0.07251493126081365,0.00612864941891774,0.10723967564555606,0.10397600148551416,0.004361933067107282
