phylum,mean,ci_lo,ci_hi
Actinomycetota,0.11813171823532835,0.044490320950935185,0.14441758544965233
Arthropoda,0.03962894049247102,0.026919257967892195,0.04912592377945177
Ascomycota,0.037649657523277404,0.020669788814174972,0.04678418146487651
Bacillota,0.036069691689943686,0.03608957212830741,0.04594510277092642
Basidiomycota,0.18160204518471246,0.06482394696871199,0.2211471845352701
Chlorophyta,0.05984979243917313,0.044986752548117334,0.07287020568202413
Discosea,0.02429784597084157,0.011923298000784928,0.04257544265309425
Evosea,0.034198926177672714,0.03521220381129831,0.044078544572412295
Heterolobosea,0.05059238976458067,0.03673986161182212,0.06590011338662334
Methanobacteriota,0.0025603113575179983,0.0006294254021324627,0.0033856904107433263
Mollusca,0.06871058194364348,0.04735231327082546,0.08837755071253552
Mucoromycota,0.053504665595291795,0.020685976352538975,0.0675948338505997
Nematoda,0.033871434536591784,0.01653143734400883,0.04353356517535298
Pseudomonadota,0.032441101553169684,0.02167782558156753,0.04040266972276848
Streptophyta,0.2264974318536989,0.1988565562369215,0.2843705369671676
Thermoproteota,0.00039346568208532655,0.00021222121840221852,0.0004756611379354926
