,Actinomycetota,Arthropoda,Ascomycota,Bacillota,Basidiomycota,Chlorophyta,Discosea,Evosea,Heterolobosea,Methanobacteriota,Mollusca,Mucoromycota,Nematoda,Pseudomonadota,Streptophyta,Thermoproteota
OE12-3-49POS.raw Peak area,0.1131999415224588,0.04194389103537987,0.036157646486249216,0.04102044159736706,0.19064852089356807,0.056490927050948124,0.014572427455215243,0.0362674175988922,0.06490395910074451,0.0025540788184271286,0.058244273516556894,0.046715648616408076,0.048624139985181745,0.02599391634317149,0.22250826220659334,0.00015450777283823974
OE12-3-19POS.raw Peak area,0.11228072462362162,0.03569807916915457,0.028887332656342996,0.03141281869387811,0.17565313872544341,0.054443175794941075,0.02870980733511311,0.036256569631848146,0.05146251922928079,0.001514703660995505,0.07909161996399079,0.06839850999070098,0.02860432972946448,0.04343804388090463,0.22391136096496636,0.00023726594935338574
OE12-3-22POS.raw Peak area,0.11220616796148948,0.04103226735270338,0.026710934655925462,0.029234428371799875,0.1616289571781872,0.055897870488943485,0.032434468422679434,0.03557500273652349,0.05225747557799179,0.002638347102084886,0.06964236877017792,0.05388537498058782,0.017545254352550804,0.03723985759576686,0.27177732628399387,0.0002938981685942631
OE12-3-43POS.raw Peak area,0.11163300514514192,0.045560304593752876,0.034238903034111146,0.028781530024465315,0.18021840583827975,0.05342721623262801,0.013972104501903308,0.033210740508529096,0.057534432539853124,0.0021861523060500913,0.05748097728458053,0.048755687005061735,0.03186041389776437,0.033487956267079094,0.26631725891446656,0.0013349119063330616
OE12-3-48POS.raw Peak area,0.11765556740164784,0.0469185332760235,0.03999336029121673,0.04306133471581833,0.20398293049502098,0.05725607398948359,0.017866738480299415,0.030318310349454883,0.05677376933116027,0.0025547735869704104,0.05669688737840726,0.05870113778312764,0.027425601521239955,0.025055620514203132,0.21533603004709745,0.00040333083882861624
OE12-3-44POS.raw Peak area,0.13201861712587307,0.03492283989523051,0.028794006201561344,0.04229749701366179,0.16153619456791515,0.05756471788605983,0.02225776245647101,0.02769102393491383,0.05301815738564281,0.003784030308980028,0.08330278218406367,0.05435278394392972,0.030206766086235407,0.02821243485957386,0.23959181727244322,0.0004485688774446871
OE12-3-40POS.raw Peak area,0.10885456818065602,0.03450743966089794,0.02742512506477279,0.03504908895426755,0.19341062328449066,0.05897081986413727,0.04100905297367109,0.03974059088349998,0.04236801304457124,0.0032788510191316,0.08079877798606415,0.055033629769977166,0.03540070926271674,0.04307413225664419,0.20081862483584617,0.0002599529586555485
OE12-3-27POS.raw Peak area,0.14889256336678572,0.047196107082150024,0.039693942276368924,0.029237869294428426,0.1819267887661846,0.061336352153607374,0.022808458994907094,0.02745197571809206,0.04994737450659375,0.0017174575350786174,0.0498870219054878,0.05346688281545764,0.04804663172573602,0.022175282016469962,0.2158475108304535,0.00036778101219848346
OE12-3-28POS.raw Peak area,0.115177094256292,0.05066099344407907,0.04643375538970281,0.04993582885621744,0.14127733660833378,0.07607586468401074,0.01737653116112247,0.04406816830371491,0.053472397724195375,0.0019617094016465323,0.07857369065106377,0.04601194911117114,0.04836135162096092,0.034341328179294674,0.19610237355433716,0.00016962705385705545
OE12-3-35POS.raw Peak area,0.13588306160823502,0.03595335375595383,0.04009326562977089,0.04095267176576954,0.16193623921126185,0.055107058928008,0.022323337906724618,0.0373503559635015,0.04435210556692892,0.0032527875188222938,0.07990485499201516,0.05036642234753149,0.024555555077160438,0.03969306561692128,0.2278973287731795,0.00037853533821567925
OE12-3-36POS.raw Peak area,0.10607044861729585,0.02692347794272912,0.04162843782787461,0.03038904548420485,0.2324533009916962,0.05925012733885372,0.03611677114781811,0.03365373512354143,0.04226293571657956,0.0033086367421052707,0.07901413873750604,0.05586700284679874,0.03594715787515816,0.031008960161764625,0.18570268645696766,0.0004031369891061161
OE12-3-52POS.raw Peak area,0.10370885901444314,0.03422999870159759,0.06173918076543195,0.031463745507445906,0.19455210565616773,0.07237730485845624,0.022126690814173837,0.02880322337956111,0.03875553745142595,0.0019722082899236164,0.05188958995380758,0.05050095793274944,0.02987930330493234,0.02557262094624243,0.2521586021040424,0.00027007131959878286
