factor,unit,kingdom,n_set_features,set_mean_t,set_mean_log2fc,p_perm,p_one_sided_neg,p_one_sided_pos,n_permutations,q_bh
climate,Actinomycetota,Bacteria,45,-0.31143547587314624,-0.27680622209792755,0.365,0.1825,0.82,400,0.9257142857142858
climate,Arthropoda,Animalia,90,-0.09677583422675,-0.016544646294933577,0.805,0.4025,0.6,400,0.9257142857142858
climate,Ascomycota,Fungi,64,0.22035457610579706,0.15541470794132728,0.305,0.85,0.1525,400,0.9257142857142858
climate,Bacillota,Bacteria,29,-0.22877744707885933,-0.07218267841972298,0.485,0.2425,0.76,400,0.9257142857142858
climate,Basidiomycota,Fungi,126,0.1381392813650307,0.06627535936398686,0.605,0.7,0.3025,400,0.9257142857142858
climate,Chlorophyta,Plantae,115,-0.08314500956643585,-0.08428115264845168,0.475,0.2375,0.765,400,0.9257142857142858
climate,Discosea,Protozoa,52,-0.04245656248927459,0.03534141714964916,0.9,0.45,0.5525,400,0.935
climate,Evosea,Protozoa,54,-0.15322111641590772,-0.009244064281397795,0.695,0.3475,0.655,400,0.9257142857142858
climate,Heterolobosea,Protozoa,86,-0.28218512600594536,-0.14427194311343466,0.55,0.275,0.7275,400,0.9257142857142858
climate,Methanobacteriota,Archaea,22,0.05093610637406667,0.04921106835435421,0.935,0.535,0.4675,400,0.935
climate,Mollusca,Animalia,46,-0.16921821179718982,-0.08007743653492523,0.81,0.405,0.5975,400,0.9257142857142858
climate,Mucoromycota,Fungi,59,0.06400165037405585,0.045503802638478086,0.575,0.715,0.2875,400,0.9257142857142858
climate,Nematoda,Animalia,45,-0.23698451820222463,-0.16395505730260315,0.335,0.1675,0.835,400,0.9257142857142858
climate,Pseudomonadota,Bacteria,36,-0.2357390197873418,-0.0911333374161876,0.555,0.2775,0.725,400,0.9257142857142858
climate,Streptophyta,Plantae,136,0.08638357055414515,0.04196377949826099,0.76,0.6225,0.38,400,0.9257142857142858
climate,Thermoproteota,Archaea,27,0.18536313820384379,0.23591855570986286,0.585,0.71,0.2925,400,0.9257142857142858
drought,Actinomycetota,Bacteria,45,0.2912130817562349,0.38325821983991826,0.405,0.8,0.2025,400,0.97
drought,Arthropoda,Animalia,90,-0.10434234699577595,-0.03567672003432976,0.77,0.385,0.6175,400,0.97
drought,Ascomycota,Fungi,64,-0.15822047808909007,-0.19647686920705576,0.46,0.23,0.7725,400,0.97
drought,Bacillota,Bacteria,29,-0.02086886379815826,0.24526026971526202,0.97,0.485,0.5175,400,0.97
drought,Basidiomycota,Fungi,126,-0.07499393507443525,-0.08642798373502378,0.77,0.385,0.6175,400,0.97
drought,Chlorophyta,Plantae,115,0.0774273865594072,0.11253709840186839,0.51,0.7475,0.255,400,0.97
drought,Discosea,Protozoa,52,-0.5740514863776598,-0.3531405990841851,0.125,0.0625,0.94,400,0.6666666666666666
drought,Evosea,Protozoa,54,-0.6413113778238403,-0.40926074478666546,0.05,0.025,0.9775,400,0.4
drought,Heterolobosea,Protozoa,86,-0.33139115530530455,-0.058061750736001574,0.34,0.17,0.8325,400,0.97
drought,Methanobacteriota,Archaea,22,-0.1395827342884864,0.12041190152620745,0.795,0.3975,0.605,400,0.97
drought,Mollusca,Animalia,46,-0.14427672139459088,-0.07815594277655957,0.795,0.3975,0.605,400,0.97
drought,Mucoromycota,Fungi,59,-0.016948088487023557,0.045282276263270714,0.895,0.4475,0.555,400,0.97
drought,Nematoda,Animalia,45,0.04235781876168169,0.04194001684287809,0.915,0.545,0.4575,400,0.97
drought,Pseudomonadota,Bacteria,36,-1.2512529892300428,-0.5950461369242687,0.005,0.0025,1.0,400,0.08
drought,Streptophyta,Plantae,136,0.2315388154280416,0.2222244670971732,0.5,0.7525,0.25,400,0.97
drought,Thermoproteota,Archaea,27,0.05117244899198698,-0.0648039514530468,0.87,0.5675,0.435,400,0.97
