mode,phylum,kingdom,tier,n_features
POS,Actinomycetota,Bacteria,Gold,63
POS,Actinomycetota,Bacteria,Bronze,117
POS,Actinomycetota,Bacteria,Unidentified,94
POS,Arthropoda,Animalia,Gold,5
POS,Arthropoda,Animalia,Bronze,140
POS,Arthropoda,Animalia,Unidentified,237
POS,Ascomycota,Fungi,Gold,13
POS,Ascomycota,Fungi,Bronze,118
POS,Ascomycota,Fungi,Unidentified,130
POS,Bacillota,Bacteria,Gold,169
POS,Bacillota,Bacteria,Bronze,279
POS,Bacillota,Bacteria,Unidentified,573
POS,Basidiomycota,Fungi,Gold,54
POS,Basidiomycota,Fungi,Bronze,204
POS,Basidiomycota,Fungi,Unidentified,183
POS,Chlorophyta,Viridiplantae,Gold,10
POS,Chlorophyta,Viridiplantae,Bronze,73
POS,Chlorophyta,Viridiplantae,Unidentified,370
POS,Discosea,Protists,Gold,13
POS,Discosea,Protists,Bronze,8
POS,Discosea,Protists,Unidentified,14
POS,Evosea,Protists,Gold,27
POS,Evosea,Protists,Bronze,325
POS,Evosea,Protists,Unidentified,298
POS,Heterolobosea,Protists,Bronze,23
POS,Heterolobosea,Protists,Unidentified,8
POS,Methanobacteriota,Archaea,Gold,213
POS,Methanobacteriota,Archaea,Silver,90
POS,Methanobacteriota,Archaea,Bronze,164
POS,Methanobacteriota,Archaea,Unidentified,550
POS,Mollusca,Animalia,Bronze,61
POS,Mollusca,Animalia,Unidentified,394
POS,Mucoromycota,Fungi,Gold,1
POS,Mucoromycota,Fungi,Bronze,12
POS,Mucoromycota,Fungi,Unidentified,19
POS,Nematoda,Animalia,Gold,4
POS,Nematoda,Animalia,Bronze,148
POS,Nematoda,Animalia,Unidentified,270
POS,Pseudomonadota,Bacteria,Gold,103
POS,Pseudomonadota,Bacteria,Bronze,135
POS,Pseudomonadota,Bacteria,Unidentified,175
POS,Streptophyta,Viridiplantae,Gold,827
POS,Streptophyta,Viridiplantae,Bronze,2815
POS,Streptophyta,Viridiplantae,Unidentified,1526
POS,Thermoproteota,Archaea,Gold,47
POS,Thermoproteota,Archaea,Silver,29
POS,Thermoproteota,Archaea,Bronze,70
POS,Thermoproteota,Archaea,Unidentified,170
