mode,phylum_1,phylum_2,bray_curtis
POS,Actinomycetota,Arthropoda,0.925626852747089
POS,Actinomycetota,Ascomycota,0.90585107127421
POS,Actinomycetota,Bacillota,0.682769681615195
POS,Actinomycetota,Basidiomycota,0.899576414782513
POS,Actinomycetota,Chlorophyta,0.966880151536701
POS,Actinomycetota,Discosea,0.958448102589087
POS,Actinomycetota,Evosea,0.938239938472678
POS,Actinomycetota,Heterolobosea,0.929932861027821
POS,Actinomycetota,Methanobacteriota,0.767217250526568
POS,Actinomycetota,Mollusca,0.942694984087466
POS,Actinomycetota,Mucoromycota,0.950628640964816
POS,Actinomycetota,Nematoda,0.913717663920125
POS,Actinomycetota,Pseudomonadota,0.757673725595041
POS,Actinomycetota,Streptophyta,0.914336931201239
POS,Actinomycetota,Thermoproteota,0.819168590348207
POS,Arthropoda,Ascomycota,0.748882769313562
POS,Arthropoda,Bacillota,0.968618703890885
POS,Arthropoda,Basidiomycota,0.779426153760288
POS,Arthropoda,Chlorophyta,0.910571755721726
POS,Arthropoda,Discosea,0.830002239340069
POS,Arthropoda,Evosea,0.883016648329919
POS,Arthropoda,Heterolobosea,0.910108357100714
POS,Arthropoda,Methanobacteriota,0.977256430792761
POS,Arthropoda,Mollusca,0.776921998184337
POS,Arthropoda,Mucoromycota,0.891696262800134
POS,Arthropoda,Nematoda,0.776178841401182
POS,Arthropoda,Pseudomonadota,0.934993614154951
POS,Arthropoda,Streptophyta,0.831896284237971
POS,Arthropoda,Thermoproteota,0.976302631539662
POS,Ascomycota,Bacillota,0.957995795125292
POS,Ascomycota,Basidiomycota,0.455784248423124
POS,Ascomycota,Chlorophyta,0.903975602543111
POS,Ascomycota,Discosea,0.897446636778264
POS,Ascomycota,Evosea,0.94747081995772
POS,Ascomycota,Heterolobosea,0.957164033803178
POS,Ascomycota,Methanobacteriota,0.955417764615219
POS,Ascomycota,Mollusca,0.85281755224649
POS,Ascomycota,Mucoromycota,0.801579865793451
POS,Ascomycota,Nematoda,0.856866015426293
POS,Ascomycota,Pseudomonadota,0.926968283042523
POS,Ascomycota,Streptophyta,0.732987111029327
POS,Ascomycota,Thermoproteota,0.956742390667406
POS,Bacillota,Basidiomycota,0.918554564760473
POS,Bacillota,Chlorophyta,0.981514414646626
POS,Bacillota,Discosea,0.96911017397717
POS,Bacillota,Evosea,0.93101750833446
POS,Bacillota,Heterolobosea,0.919075294499953
POS,Bacillota,Methanobacteriota,0.807905879634172
POS,Bacillota,Mollusca,0.971970559673736
POS,Bacillota,Mucoromycota,0.989648516359605
