mode,phylum_1,phylum_2,evolutionary_distance,lipid_distance,batch_overlap_jaccard,n_samples_mode,n_samples_phylum_1,n_samples_phylum_2,group_1,group_2,pair_class
POS,Actinomycetota,Arthropoda,3.31795662202839,0.925626852747089,0.0,164,15,11,Bacteria,Animalia,Cross group
POS,Actinomycetota,Ascomycota,3.37898107462026,0.90585107127421,0.75,164,15,27,Bacteria,Fungi,Cross group
POS,Arthropoda,Ascomycota,0.93724386036987,0.748882769313562,0.0,164,11,27,Animalia,Fungi,Cross group
POS,Actinomycetota,Bacillota,0.843835457507056,0.682769681615195,0.4,164,15,25,Bacteria,Bacteria,Within group
POS,Arthropoda,Bacillota,3.30883156457962,0.968618703890885,0.0,164,11,25,Animalia,Bacteria,Cross group
POS,Ascomycota,Bacillota,3.38482872630828,0.957995795125292,0.2,164,27,25,Fungi,Bacteria,Cross group
POS,Actinomycetota,Basidiomycota,3.37806056677245,0.899576414782513,0.75,164,15,10,Bacteria,Fungi,Cross group
POS,Arthropoda,Basidiomycota,0.936323352522055,0.779426153760288,0.0,164,11,10,Animalia,Fungi,Cross group
POS,Ascomycota,Basidiomycota,0.299091780023181,0.455784248423124,1.0,164,27,10,Fungi,Fungi,Within group
POS,Bacillota,Basidiomycota,3.38390821846047,0.918554564760473,0.2,164,25,10,Bacteria,Fungi,Cross group
POS,Actinomycetota,Chlorophyta,2.88672074937664,0.966880151536701,0.0,164,15,5,Bacteria,Viridiplantae,Cross group
POS,Arthropoda,Chlorophyta,1.92194662326559,0.910571755721726,1.0,164,11,5,Animalia,Viridiplantae,Cross group
POS,Ascomycota,Chlorophyta,1.58308938324686,0.903975602543111,0.0,164,27,5,Fungi,Viridiplantae,Cross group
POS,Bacillota,Chlorophyta,2.84315846091327,0.981514414646626,0.0,164,25,5,Bacteria,Viridiplantae,Cross group
POS,Basidiomycota,Chlorophyta,1.58639519668387,0.914583071318874,0.0,164,10,5,Fungi,Viridiplantae,Cross group
POS,Actinomycetota,Discosea,3.43826117989103,0.958448102589087,0.2,164,15,7,Bacteria,Protists,Cross group
POS,Arthropoda,Discosea,0.996523965640634,0.830002239340069,0.0,164,11,7,Animalia,Protists,Cross group
POS,Ascomycota,Discosea,0.452214340392541,0.897446636778264,0.25,164,27,7,Fungi,Protists,Cross group
POS,Bacillota,Discosea,3.44410883157905,0.96911017397717,0.25,164,25,7,Bacteria,Protists,Cross group
POS,Basidiomycota,Discosea,0.458337701352765,0.890514051728097,0.25,164,10,7,Fungi,Protists,Cross group
POS,Chlorophyta,Discosea,1.5762188740254,0.891475814209339,0.0,164,5,7,Viridiplantae,Protists,Cross group
POS,Actinomycetota,Evosea,3.52610372443383,0.938239938472678,0.0,164,15,5,Bacteria,Protists,Cross group
POS,Arthropoda,Evosea,1.2024309956325,0.883016648329919,0.0,164,11,5,Animalia,Protists,Cross group
POS,Ascomycota,Evosea,0.783091293723305,0.94747081995772,0.0,164,27,5,Fungi,Protists,Cross group
POS,Bacillota,Evosea,3.53195137612185,0.93101750833446,0.333333333333333,164,25,5,Bacteria,Protists,Cross group
POS,Basidiomycota,Evosea,0.78217078587549,0.932827199118751,0.0,164,10,5,Fungi,Protists,Cross group
POS,Chlorophyta,Evosea,1.86081720064059,0.967562216429014,0.0,164,5,5,Viridiplantae,Protists,Cross group
POS,Discosea,Evosea,0.842371398994068,0.894375416379586,0.5,164,7,5,Protists,Protists,Within group
