mode,row_phylum,column_phylum,row_group,column_group,pair_class,similarity,clipped_at_0_55
POS,Bacillota,Actinomycetota,Bacteria,Bacteria,Within group,0.317230318384805,False
POS,Pseudomonadota,Actinomycetota,Bacteria,Bacteria,Within group,0.242326274404959,False
POS,Methanobacteriota,Actinomycetota,Archaea,Bacteria,Cross group,0.232782749473432,False
POS,Thermoproteota,Actinomycetota,Archaea,Bacteria,Cross group,0.180831409651793,False
POS,Discosea,Actinomycetota,Protists,Bacteria,Cross group,0.041551897410913,False
POS,Evosea,Actinomycetota,Protists,Bacteria,Cross group,0.0617600615273221,False
POS,Heterolobosea,Actinomycetota,Protists,Bacteria,Cross group,0.070067138972179,False
POS,Mucoromycota,Actinomycetota,Fungi,Bacteria,Cross group,0.049371359035184,False
POS,Ascomycota,Actinomycetota,Fungi,Bacteria,Cross group,0.0941489287257899,False
POS,Basidiomycota,Actinomycetota,Fungi,Bacteria,Cross group,0.100423585217487,False
POS,Chlorophyta,Actinomycetota,Viridiplantae,Bacteria,Cross group,0.033119848463299,False
POS,Streptophyta,Actinomycetota,Viridiplantae,Bacteria,Cross group,0.085663068798761,False
POS,Arthropoda,Actinomycetota,Animalia,Bacteria,Cross group,0.074373147252911,False
POS,Mollusca,Actinomycetota,Animalia,Bacteria,Cross group,0.057305015912534,False
POS,Nematoda,Actinomycetota,Animalia,Bacteria,Cross group,0.086282336079875,False
POS,Actinomycetota,Bacillota,Bacteria,Bacteria,Within group,0.317230318384805,False
POS,Pseudomonadota,Bacillota,Bacteria,Bacteria,Within group,0.223157708949278,False
POS,Methanobacteriota,Bacillota,Archaea,Bacteria,Cross group,0.192094120365828,False
POS,Thermoproteota,Bacillota,Archaea,Bacteria,Cross group,0.240907651035987,False
POS,Discosea,Bacillota,Protists,Bacteria,Cross group,0.03088982602283,False
POS,Evosea,Bacillota,Protists,Bacteria,Cross group,0.06898249166554,False
POS,Heterolobosea,Bacillota,Protists,Bacteria,Cross group,0.080924705500047,False
POS,Mucoromycota,Bacillota,Fungi,Bacteria,Cross group,0.010351483640395,False
POS,Ascomycota,Bacillota,Fungi,Bacteria,Cross group,0.042004204874708,False
POS,Basidiomycota,Bacillota,Fungi,Bacteria,Cross group,0.081445435239527,False
POS,Chlorophyta,Bacillota,Viridiplantae,Bacteria,Cross group,0.018485585353374,False
POS,Streptophyta,Bacillota,Viridiplantae,Bacteria,Cross group,0.091080419835189,False
POS,Arthropoda,Bacillota,Animalia,Bacteria,Cross group,0.031381296109115,False
POS,Mollusca,Bacillota,Animalia,Bacteria,Cross group,0.028029440326264,False
POS,Nematoda,Bacillota,Animalia,Bacteria,Cross group,0.060697714784769,False
POS,Actinomycetota,Pseudomonadota,Bacteria,Bacteria,Within group,0.242326274404959,False
POS,Bacillota,Pseudomonadota,Bacteria,Bacteria,Within group,0.223157708949278,False
POS,Methanobacteriota,Pseudomonadota,Archaea,Bacteria,Cross group,0.118868031072421,False
POS,Thermoproteota,Pseudomonadota,Archaea,Bacteria,Cross group,0.131465746296238,False
POS,Discosea,Pseudomonadota,Protists,Bacteria,Cross group,0.069245110758049,False
POS,Evosea,Pseudomonadota,Protists,Bacteria,Cross group,0.138906867647054,False
POS,Heterolobosea,Pseudomonadota,Protists,Bacteria,Cross group,0.151277342520314,False
POS,Mucoromycota,Pseudomonadota,Fungi,Bacteria,Cross group,0.016834242405547,False
POS,Ascomycota,Pseudomonadota,Fungi,Bacteria,Cross group,0.073031716957477,False
POS,Basidiomycota,Pseudomonadota,Fungi,Bacteria,Cross group,0.088657295552853,False
POS,Chlorophyta,Pseudomonadota,Viridiplantae,Bacteria,Cross group,0.026749008405701,False
POS,Streptophyta,Pseudomonadota,Viridiplantae,Bacteria,Cross group,0.0776511462038461,False
POS,Arthropoda,Pseudomonadota,Animalia,Bacteria,Cross group,0.065006385845049,False
POS,Mollusca,Pseudomonadota,Animalia,Bacteria,Cross group,0.057406082499907,False
POS,Nematoda,Pseudomonadota,Animalia,Bacteria,Cross group,0.079026880247523,False
POS,Actinomycetota,Methanobacteriota,Bacteria,Archaea,Cross group,0.232782749473432,False
POS,Bacillota,Methanobacteriota,Bacteria,Archaea,Cross group,0.192094120365828,False
POS,Pseudomonadota,Methanobacteriota,Bacteria,Archaea,Cross group,0.118868031072421,False
POS,Thermoproteota,Methanobacteriota,Archaea,Archaea,Within group,0.306490574108059,False
POS,Discosea,Methanobacteriota,Protists,Archaea,Cross group,0.015731235953159,False
POS,Evosea,Methanobacteriota,Protists,Archaea,Cross group,0.0265859125205899,False
POS,Heterolobosea,Methanobacteriota,Protists,Archaea,Cross group,0.027251395068266,False
POS,Mucoromycota,Methanobacteriota,Fungi,Archaea,Cross group,0.0259182933580689,False
POS,Ascomycota,Methanobacteriota,Fungi,Archaea,Cross group,0.044582235384781,False
POS,Basidiomycota,Methanobacteriota,Fungi,Archaea,Cross group,0.071450742002989,False
POS,Chlorophyta,Methanobacteriota,Viridiplantae,Archaea,Cross group,0.012379329721292,False
POS,Streptophyta,Methanobacteriota,Viridiplantae,Archaea,Cross group,0.063012342071227,False
POS,Arthropoda,Methanobacteriota,Animalia,Archaea,Cross group,0.022743569207239,False
POS,Mollusca,Methanobacteriota,Animalia,Archaea,Cross group,0.0218248008599889,False
POS,Nematoda,Methanobacteriota,Animalia,Archaea,Cross group,0.035337411210842,False
POS,Actinomycetota,Thermoproteota,Bacteria,Archaea,Cross group,0.180831409651793,False
POS,Bacillota,Thermoproteota,Bacteria,Archaea,Cross group,0.240907651035987,False
POS,Pseudomonadota,Thermoproteota,Bacteria,Archaea,Cross group,0.131465746296238,False
POS,Methanobacteriota,Thermoproteota,Archaea,Archaea,Within group,0.306490574108059,False
POS,Discosea,Thermoproteota,Protists,Archaea,Cross group,0.019059068040474,False
