display_rank,display_group,phylum,POS_samples,NEG_samples
1,Bacteria,Actinomycetota,15,19
2,Bacteria,Bacillota,25,28
3,Bacteria,Pseudomonadota,8,8
4,Archaea,Methanobacteriota,16,17
5,Archaea,Thermoproteota,3,4
6,Protists,Discosea,7,6
7,Protists,Evosea,5,5
8,Protists,Heterolobosea,5,2
9,Fungi,Mucoromycota,7,7
10,Fungi,Ascomycota,27,32
11,Fungi,Basidiomycota,10,11
12,Viridiplantae,Chlorophyta,5,10
13,Viridiplantae,Streptophyta,14,16
14,Animalia,Arthropoda,11,22
15,Animalia,Mollusca,2,2
16,Animalia,Nematoda,4,3
