mode,phylum,kingdom,class,n_features,fraction,phylum_total
POS,Streptophyta,Plantae,PC / SM,847,0.16389318885448917,5168
POS,Streptophyta,Plantae,PE,51,0.009868421052631578,5168
POS,Streptophyta,Plantae,PG / PS / PI / PA,296,0.05727554179566564,5168
POS,Streptophyta,Plantae,TG / DG,1287,0.24903250773993807,5168
POS,Streptophyta,Plantae,Free FA / LPL,26,0.005030959752321981,5168
POS,Streptophyta,Plantae,Sphingolipid,121,0.02341331269349845,5168
POS,Streptophyta,Plantae,Glycolipid (MGDG/DGDG/SQDG),191,0.03695820433436533,5168
POS,Streptophyta,Plantae,Sterol / Terpenoid,711,0.13757739938080496,5168
POS,Streptophyta,Plantae,Archaeal ether lipid,13,0.0025154798761609907,5168
POS,Streptophyta,Plantae,Other / specialised,99,0.019156346749226005,5168
POS,Streptophyta,Plantae,Unclassified,1526,0.29527863777089786,5168
POS,Pseudomonadota,Bacteria,PC / SM,37,0.08958837772397095,413
POS,Pseudomonadota,Bacteria,PE,35,0.0847457627118644,413
POS,Pseudomonadota,Bacteria,PG / PS / PI / PA,52,0.12590799031476999,413
POS,Pseudomonadota,Bacteria,TG / DG,58,0.14043583535108958,413
POS,Pseudomonadota,Bacteria,Free FA / LPL,17,0.04116222760290557,413
POS,Pseudomonadota,Bacteria,Sphingolipid,0,0.0,413
POS,Pseudomonadota,Bacteria,Glycolipid (MGDG/DGDG/SQDG),10,0.024213075060532687,413
POS,Pseudomonadota,Bacteria,Sterol / Terpenoid,19,0.04600484261501211,413
POS,Pseudomonadota,Bacteria,Archaeal ether lipid,0,0.0,413
POS,Pseudomonadota,Bacteria,Other / specialised,10,0.024213075060532687,413
POS,Pseudomonadota,Bacteria,Unclassified,175,0.423728813559322,413
POS,Arthropoda,Animalia,PC / SM,46,0.12041884816753927,382
POS,Arthropoda,Animalia,PE,3,0.007853403141361256,382
POS,Arthropoda,Animalia,PG / PS / PI / PA,9,0.02356020942408377,382
POS,Arthropoda,Animalia,TG / DG,14,0.03664921465968586,382
POS,Arthropoda,Animalia,Free FA / LPL,21,0.0549738219895288,382
POS,Arthropoda,Animalia,Sphingolipid,14,0.03664921465968586,382
POS,Arthropoda,Animalia,Glycolipid (MGDG/DGDG/SQDG),0,0.0,382
POS,Arthropoda,Animalia,Sterol / Terpenoid,24,0.06282722513089005,382
POS,Arthropoda,Animalia,Archaeal ether lipid,0,0.0,382
POS,Arthropoda,Animalia,Other / specialised,14,0.03664921465968586,382
POS,Arthropoda,Animalia,Unclassified,237,0.6204188481675392,382
POS,Basidiomycota,Fungi,PC / SM,27,0.061224489795918366,441
POS,Basidiomycota,Fungi,PE,10,0.022675736961451247,441
POS,Basidiomycota,Fungi,PG / PS / PI / PA,35,0.07936507936507936,441
POS,Basidiomycota,Fungi,TG / DG,137,0.31065759637188206,441
POS,Basidiomycota,Fungi,Free FA / LPL,17,0.03854875283446712,441
POS,Basidiomycota,Fungi,Sphingolipid,20,0.045351473922902494,441
POS,Basidiomycota,Fungi,Glycolipid (MGDG/DGDG/SQDG),1,0.0022675736961451248,441
POS,Basidiomycota,Fungi,Sterol / Terpenoid,5,0.011337868480725623,441
POS,Basidiomycota,Fungi,Archaeal ether lipid,1,0.0022675736961451248,441
POS,Basidiomycota,Fungi,Other / specialised,5,0.011337868480725623,441
POS,Basidiomycota,Fungi,Unclassified,183,0.41496598639455784,441
POS,Bacillota,Bacteria,PC / SM,33,0.03232125367286973,1021
POS,Bacillota,Bacteria,PE,56,0.05484818805093046,1021
POS,Bacillota,Bacteria,PG / PS / PI / PA,96,0.0940254652301665,1021
POS,Bacillota,Bacteria,TG / DG,189,0.1851126346718903,1021
POS,Bacillota,Bacteria,Free FA / LPL,5,0.004897159647404506,1021
POS,Bacillota,Bacteria,Sphingolipid,16,0.015670910871694418,1021
POS,Bacillota,Bacteria,Glycolipid (MGDG/DGDG/SQDG),10,0.009794319294809012,1021
POS,Bacillota,Bacteria,Sterol / Terpenoid,8,0.007835455435847209,1021
POS,Bacillota,Bacteria,Archaeal ether lipid,0,0.0,1021
POS,Bacillota,Bacteria,Other / specialised,35,0.034280117531831536,1021
POS,Bacillota,Bacteria,Unclassified,573,0.5612144955925563,1021
POS,Mollusca,Animalia,PC / SM,15,0.03296703296703297,455
POS,Mollusca,Animalia,PE,0,0.0,455
