mode,fraction,n_features,mean_r,p5_r,p95_r,std_r
POS,0.01,455,0.7041435919614653,0.5309851739076765,0.8142241547183842,0.08615793429043832
POS,0.02,910,0.7899620834476433,0.6979749323588614,0.8754767800758266,0.06347704899985195
POS,0.05,2276,0.8932589624692305,0.8213459226410138,0.9361110012910508,0.03780871398215556
POS,0.1,4552,0.941438049727507,0.8975181097965124,0.9678768800738023,0.020581225902367682
POS,0.15,6828,0.955928314563616,0.9206983418920593,0.9755904261655353,0.016994225424277472
POS,0.2,9105,0.9703168082391294,0.945163234367792,0.9851136711762031,0.012719325787259851
POS,0.3,13657,0.9793472201762049,0.9622761108380729,0.9894159099095918,0.008922008233612774
POS,0.4,18210,0.9877288706158535,0.9784371933226415,0.9944488493323241,0.005089224105673067
POS,0.5,22762,0.991638509734611,0.9818614803777898,0.9959950019483226,0.004958027421849011
POS,0.6,27315,0.9938944801486107,0.9872846433113075,0.9970912499481964,0.0036257626270303446
POS,0.7,31867,0.996816777949151,0.9943904521825665,0.9984446031347048,0.0012597555787763816
POS,0.8,36420,0.9977734602606454,0.9956276055098482,0.9989198125491469,0.0011019583026618193
POS,0.9,40972,0.9991897737788173,0.9983498088015126,0.9995882194356644,0.00038639091014979306
POS,1.0,45525,0.9999999999999997,0.9999999999999993,1.0,2.673771110915334e-16
NEG,0.01,148,0.6633757820016399,0.5172584172115078,0.7643692287056602,0.07541961156010393
NEG,0.02,297,0.7179871938426174,0.6129633649449951,0.8253638025382104,0.07096537247768517
NEG,0.05,744,0.8295837912268981,0.745582721045733,0.8888348473887073,0.043634969772814856
NEG,0.1,1489,0.8998168490915417,0.8562098915636671,0.9375876540629394,0.026465751473358935
NEG,0.15,2234,0.9317722503725221,0.9022681219744741,0.9540612794826597,0.017168335057700383
NEG,0.2,2979,0.9491083189383164,0.928044551258107,0.9646554285458413,0.012334258604424464
NEG,0.3,4468,0.9669056522285123,0.9501588490771193,0.9822682347273761,0.010117298244621094
NEG,0.4,5958,0.9786935961075652,0.9690926533124039,0.9856917056642388,0.005676366117379873
NEG,0.5,7448,0.9863262551508847,0.9798816564387521,0.9921038314818852,0.003989078838712859
NEG,0.6,8937,0.9911726384245318,0.9866902519104576,0.9944375146427207,0.002362601277592181
NEG,0.7,10427,0.9948375239507976,0.9920534505516196,0.9971096433406809,0.001748982069550088
NEG,0.8,11916,0.9964126061915874,0.9936694351152424,0.998098988811181,0.0014356069210552434
NEG,0.9,13406,0.9983214127931774,0.9970245925386816,0.9992851678812746,0.0008085771121007991
NEG,1.0,14896,1.0,0.9999999999999996,1.0,1.9100999153570944e-16
