phylum,mean_fraction,drought_log2FC,climate_log2FC,drought_p,climate_p,drought_q_bh,climate_q_bh
Actinomycetota,0.20177395779414284,0.3832582198399182,-0.2768062220979275,0.405,0.365,0.97,0.9257142857142858
Arthropoda,0.05007505455978558,-0.0356767200343297,-0.0165446462949335,0.77,0.805,0.97,0.9257142857142858
Ascomycota,0.07696503797755216,-0.1964768692070557,0.1554147079413272,0.46,0.305,0.97,0.9257142857142858
Bacillota,0.06030920655513283,0.245260269715262,-0.0721826784197229,0.97,0.485,0.97,0.9257142857142858
Basidiomycota,0.1315313025949845,-0.0864279837350237,0.0662753593639868,0.77,0.605,0.97,0.9257142857142858
Chlorophyta,0.0104630511744326,0.1125370984018683,-0.0842811526484516,0.51,0.475,0.97,0.9257142857142858
Discosea,0.010614936590595992,-0.3531405990841851,0.0353414171496491,0.125,0.9,0.6666666666666666,0.935
Evosea,0.012716556144641912,-0.4092607447866654,-0.0092440642813977,0.05,0.695,0.4,0.9257142857142858
Heterolobosea,0.017727375303213656,-0.0580617507360015,-0.1442719431134346,0.34,0.55,0.97,0.9257142857142858
Methanobacteriota,0.045907392885103225,0.1204119015262074,0.0492110683543542,0.795,0.935,0.97,0.935
Mollusca,0.09125600540729807,-0.0781559427765595,-0.0800774365349252,0.795,0.81,0.97,0.9257142857142858
Mucoromycota,0.0697631045205685,0.0452822762632707,0.045503802638478,0.895,0.575,0.97,0.9257142857142858
Nematoda,0.005813994464447459,0.041940016842878,-0.1639550573026031,0.915,0.335,0.97,0.9257142857142858
Pseudomonadota,0.12013252057043931,-0.5950461369242687,-0.0911333374161876,0.005,0.555,0.08,0.9257142857142858
Streptophyta,0.08549530230567122,0.2222244670971732,0.0419637794982609,0.5,0.76,0.97,0.9257142857142858
Thermoproteota,0.009455201151989334,-0.0648039514530468,0.2359185557098628,0.87,0.585,0.97,0.9257142857142858
