sample,pcoa1,pcoa2,kingdom,phylum
sample:OE21-4-11POS,-0.4238837593092611,-0.2408915315835873,Bacteria,Bacillota
sample:OE21-4-19POS,-0.152932189885176,0.3200710817999722,Bacteria,Bacillota
sample:OE21-4-28POS,-0.3634493550010416,-0.2044231572372797,Bacteria,Bacillota
sample:OE21-4-31POS,-0.3880145209379919,-0.1924363903460738,Bacteria,Bacillota
sample:OE21-4-34POS,-0.385073535893254,-0.2315317736580006,Bacteria,Bacillota
sample:OE21-4-A10POS,-0.3599975435587048,-0.0551769881069869,Archaea,Methanobacteriota
sample:OE21-4-A12POS,-0.4392097398815183,-0.1486860161257014,Archaea,Methanobacteriota
sample:OE21-4-A1POS,-0.4133883841701932,-0.1286163451087986,Archaea,Thermoproteota
sample:OE21-4-A1POS_20240618215255,-0.0315884059145585,0.1773351067642695,Archaea,Thermoproteota
sample:OE21-4-A3POS,-0.1340288366355351,0.3283140111981207,Archaea,Thermoproteota
sample:OE21-4-A5POS,-0.1552710138047536,0.2886173193503138,Archaea,Methanobacteriota
sample:OE21-4-A6POS,-0.3909082879057545,-0.1447530327715031,Archaea,Methanobacteriota
sample:OE21-4-A9POS,-0.396491931129447,-0.2198632588097172,Archaea,Methanobacteriota
sample:OE21-4-B9POS,-0.2170424742219114,-0.1691894965112801,Bacteria,Actinomycetota
sample:OE21-4-E6C13POS,-0.0974901615725332,0.4662700283035623,Bacteria,Actinomycetota
sample:OE21-4-E6C21POS,-0.1154248097857934,0.461381326857878,Bacteria,Actinomycetota
sample:OE21-4-E6C4POS,-0.1009992628641428,0.49920316295137,Bacteria,Actinomycetota
sample:OE21-4-E6C6POS,-0.1156017686300679,0.4888755538225577,Bacteria,Actinomycetota
sample:OE21-4-E8F38POS,0.4333673975906585,-0.0881126802330095,Fungi,Ascomycota
sample:OE21-4-E8F41POS,0.3838039015201404,-0.021521567207825,Fungi,Ascomycota
sample:OE21-4-E8F42POS,0.3574348431570584,-0.0647723545139604,Fungi,Ascomycota
sample:OE21-4-E8F44POS,0.3515927856105603,0.0027684771563578,Fungi,Ascomycota
sample:OE21-4-E8F45POS,0.3485048735244375,0.0188165050745557,Fungi,Ascomycota
sample:OE21-4-E8F51POS,0.3713759987458217,-0.0746438058205583,Fungi,Ascomycota
sample:OE21-4-E8F56POS,0.4308087898203485,-0.0795776887454447,Fungi,Ascomycota
sample:OE21-4-F10POS,-0.0547186058585609,0.2609445903233321,Fungi,Basidiomycota
sample:OE21-4-F12POS,0.277377675338695,-0.1098873077250279,Fungi,Basidiomycota
sample:OE21-4-F29POS,-0.4108798335717669,-0.0707803287415265,Fungi,Ascomycota
sample:OE21-4-F3POS,0.1216241516043013,-0.2360140300697024,Fungi,Ascomycota
sample:OE21-4-F5POS,0.0840883469696959,0.1702884740251272,Fungi,Basidiomycota
sample:OE21-4-F7POS,0.4106381302559416,-0.0018867253031284,Fungi,Basidiomycota
sample:OE21-4-F8POS,0.1602514031446969,-0.162323405688729,Fungi,Basidiomycota
sample:OE21-4-F9POS,0.3664295577100172,-0.0654166579047723,Fungi,Basidiomycota
sample:OE21-4-P1POS,0.0963856590579306,0.0517763006326589,Plantae,Streptophyta
sample:OE21-4-P2POS,0.2158441470343728,-0.1734868417014232,Plantae,Streptophyta
sample:OE21-4-P4POS,0.1506397211343403,-0.2105776602066618,Plantae,Streptophyta
sample:OE21-4-P5POS,0.1379062818068735,-0.2306012306145854,Plantae,Streptophyta
sample:OE21-4-P6POS,0.1828251215257975,0.0084839041763948,Plantae,Streptophyta
sample:OE21-4-P7POS,0.0542156842050095,-0.2249773053099785,Plantae,Streptophyta
sample:OE21-4-P9POS,0.2112799507752698,0.0070017376087928,Plantae,Streptophyta
