sample,pcoa1,pcoa2,kingdom,phylum,batch
sample:24A1-A2-A3POS,-0.0437305815183173,-0.1174718284762461,Protozoa,Evosea,batch_05_OE25-1-ALL
sample:24S3POS,0.0375500760421941,-0.1029455653206406,Protozoa,Evosea,batch_05_OE25-1-ALL
sample:25S1-S2POS,-0.0274568264783336,-0.126880637527766,Protozoa,Evosea,batch_05_OE25-1-ALL
sample:68A1-A2-A3POS,-0.0283327404247591,-0.1229102804321566,Protozoa,Evosea,batch_05_OE25-1-ALL
sample:68S1-S2-S3POS,-0.0397318994821863,-0.1291164958712555,Protozoa,Evosea,batch_05_OE25-1-ALL
sample:ACNeff1POS,-0.1223317210655299,-0.1765251169187773,Protozoa,Discosea,batch_05_OE25-1-ALL
sample:ACNeff234POS,-0.1107967783130237,-0.1702348480511463,Protozoa,Discosea,batch_05_OE25-1-ALL
sample:ACNeffE25-123POS,-0.102935246203349,-0.1704742540534934,Protozoa,Discosea,batch_05_OE25-1-ALL
sample:I5POS_20240925024318,-0.1639247551850119,-0.2651934935069783,Animalia,Arthropoda,batch_03_OE23-POS
sample:I8POS,-0.1060636724844232,-0.1087166354545304,Animalia,Mollusca,batch_03_OE23-POS
sample:I8POS_20240925010944,-0.1342547261629278,-0.137601099311199,Animalia,Mollusca,batch_03_OE23-POS
sample:I9POS,-0.1145822389590989,-0.0930132599487267,Animalia,Arthropoda,batch_03_OE23-POS
sample:LHKa1POS,0.2566326849697231,-0.0092065748686005,Bacteria,Pseudomonadota,batch_05_OE25-1-ALL
sample:LHKa2POS,0.2616291716914418,-0.007089193365706,Bacteria,Pseudomonadota,batch_05_OE25-1-ALL
sample:LHKa3POS,0.2474370266845586,-0.0102325697978394,Bacteria,Pseudomonadota,batch_05_OE25-1-ALL
sample:Lu03POS_20240924172144,-0.1397931980870624,-0.2256822249844352,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu04POS_20240924110720,-0.1424765444514876,-0.1937325312408545,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu05POS,-0.1054591557010817,-0.0465842173715854,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu07POS_20240924182408,-0.1534071799199259,-0.2404333994231092,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu08POS,-0.1068411296633105,-0.0378473592967244,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu11POS,-0.0733404275030527,-0.1363145333231821,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu12POS,-0.0647119181977301,-0.1179320285275579,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu13POS,-0.1222786408359199,-0.1845064400324632,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu16POS,-0.1119522474461611,-0.1740852913131726,Animalia,Arthropoda,batch_03_OE23-POS
sample:Lu18POS,-0.0970480490378917,-0.1197877966731545,Plantae,Streptophyta,batch_03_OE23-POS
sample:N-clarki-1POS,-0.0105474656111241,-0.091591766100609,Protozoa,Heterolobosea,batch_05_OE25-1-ALL
sample:N1POS,-0.0104007392480477,-0.0466110043908413,Animalia,Nematoda,batch_03_OE23-POS
