mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
POS,Actinomycetota,Bacillota,Bacteria,Bacteria,1,2,22041,15351,11154,0.7266,0.4251
POS,Actinomycetota,Pseudomonadota,Bacteria,Bacteria,1,3,22041,10341,8046,0.7781,0.3306
POS,Actinomycetota,Methanobacteriota,Bacteria,Archaea,1,4,22041,14174,8973,0.6331,0.3294
POS,Actinomycetota,Thermoproteota,Bacteria,Archaea,1,5,22041,8046,5352,0.6652,0.2164
POS,Actinomycetota,Discosea,Bacteria,Protists,1,6,22041,11915,7696,0.6459,0.2931
POS,Actinomycetota,Evosea,Bacteria,Protists,1,7,22041,9541,6828,0.7156,0.2758
POS,Actinomycetota,Heterolobosea,Bacteria,Protists,1,8,22041,10343,7336,0.7093,0.2929
POS,Actinomycetota,Mucoromycota,Bacteria,Fungi,1,9,22041,12875,7654,0.5945,0.2808
POS,Actinomycetota,Ascomycota,Bacteria,Fungi,1,10,22041,36490,18431,0.8362,0.4596
POS,Actinomycetota,Basidiomycota,Bacteria,Fungi,1,11,22041,33937,17342,0.7868,0.4489
POS,Actinomycetota,Chlorophyta,Bacteria,Viridiplantae,1,12,22041,33747,16665,0.7561,0.426
POS,Actinomycetota,Streptophyta,Bacteria,Viridiplantae,1,13,22041,40012,19255,0.8736,0.4499
POS,Actinomycetota,Arthropoda,Bacteria,Animalia,1,14,22041,41348,20509,0.9305,0.4783
POS,Actinomycetota,Mollusca,Bacteria,Animalia,1,15,22041,20031,11746,0.5864,0.3873
POS,Actinomycetota,Nematoda,Bacteria,Animalia,1,16,22041,20087,12452,0.6199,0.4196
POS,Bacillota,Pseudomonadota,Bacteria,Bacteria,2,3,15351,10341,7236,0.6997,0.3921
POS,Bacillota,Methanobacteriota,Bacteria,Archaea,2,4,15351,14174,6808,0.4803,0.2997
POS,Bacillota,Thermoproteota,Bacteria,Archaea,2,5,15351,8046,4660,0.5792,0.2487
POS,Bacillota,Discosea,Bacteria,Protists,2,6,15351,11915,5950,0.4994,0.2791
POS,Bacillota,Evosea,Bacteria,Protists,2,7,15351,9541,5845,0.6126,0.3069
POS,Bacillota,Heterolobosea,Bacteria,Protists,2,8,15351,10343,6145,0.5941,0.3143
POS,Bacillota,Mucoromycota,Bacteria,Fungi,2,9,15351,12875,3774,0.2931,0.1543
POS,Bacillota,Ascomycota,Bacteria,Fungi,2,10,15351,36490,11912,0.776,0.2983
POS,Bacillota,Basidiomycota,Bacteria,Fungi,2,11,15351,33937,11486,0.7482,0.3038
POS,Bacillota,Chlorophyta,Bacteria,Viridiplantae,2,12,15351,33747,11566,0.7534,0.3082
POS,Bacillota,Streptophyta,Bacteria,Viridiplantae,2,13,15351,40012,13285,0.8654,0.3157
POS,Bacillota,Arthropoda,Bacteria,Animalia,2,14,15351,41348,14199,0.925,0.3341
POS,Bacillota,Mollusca,Bacteria,Animalia,2,15,15351,20031,8016,0.5222,0.2929
POS,Bacillota,Nematoda,Bacteria,Animalia,2,16,15351,20087,9297,0.6056,0.3556
POS,Pseudomonadota,Methanobacteriota,Bacteria,Archaea,3,4,10341,14174,4651,0.4498,0.2341
POS,Pseudomonadota,Thermoproteota,Bacteria,Archaea,3,5,10341,8046,3141,0.3904,0.206
POS,Pseudomonadota,Discosea,Bacteria,Protists,3,6,10341,11915,5738,0.5549,0.3474
POS,Pseudomonadota,Evosea,Bacteria,Protists,3,7,10341,9541,5849,0.613,0.4168
POS,Pseudomonadota,Heterolobosea,Bacteria,Protists,3,8,10341,10343,6340,0.6131,0.442
POS,Pseudomonadota,Mucoromycota,Bacteria,Fungi,3,9,10341,12875,2769,0.2678,0.1354
POS,Pseudomonadota,Ascomycota,Bacteria,Fungi,3,10,10341,36490,8205,0.7934,0.2124
POS,Pseudomonadota,Basidiomycota,Bacteria,Fungi,3,11,10341,33937,7851,0.7592,0.2155
POS,Pseudomonadota,Chlorophyta,Bacteria,Viridiplantae,3,12,10341,33747,7967,0.7704,0.2206
POS,Pseudomonadota,Streptophyta,Bacteria,Viridiplantae,3,13,10341,40012,8751,0.8462,0.2104
POS,Pseudomonadota,Arthropoda,Bacteria,Animalia,3,14,10341,41348,9669,0.935,0.2301
POS,Pseudomonadota,Mollusca,Bacteria,Animalia,3,15,10341,20031,5731,0.5542,0.2326
POS,Pseudomonadota,Nematoda,Bacteria,Animalia,3,16,10341,20087,7044,0.6812,0.3012
POS,Methanobacteriota,Thermoproteota,Archaea,Archaea,4,5,14174,8046,4426,0.5501,0.2487
POS,Methanobacteriota,Discosea,Archaea,Protists,4,6,14174,11915,4627,0.3883,0.2156
POS,Methanobacteriota,Evosea,Archaea,Protists,4,7,14174,9541,3835,0.4019,0.1929
POS,Methanobacteriota,Heterolobosea,Archaea,Protists,4,8,14174,10343,4266,0.4125,0.2107
POS,Methanobacteriota,Mucoromycota,Archaea,Fungi,4,9,14174,12875,5152,0.4002,0.2353
POS,Methanobacteriota,Ascomycota,Archaea,Fungi,4,10,14174,36490,12766,0.9007,0.3369
POS,Methanobacteriota,Basidiomycota,Archaea,Fungi,4,11,14174,33937,12473,0.88,0.35
POS,Methanobacteriota,Chlorophyta,Archaea,Viridiplantae,4,12,14174,33747,10847,0.7653,0.2926
POS,Methanobacteriota,Streptophyta,Archaea,Viridiplantae,4,13,14174,40012,13292,0.9378,0.325
POS,Methanobacteriota,Arthropoda,Archaea,Animalia,4,14,14174,41348,13260,0.9355,0.3138
POS,Methanobacteriota,Mollusca,Archaea,Animalia,4,15,14174,20031,7377,0.5205,0.275
POS,Methanobacteriota,Nematoda,Archaea,Animalia,4,16,14174,20087,7241,0.5109,0.268
POS,Thermoproteota,Discosea,Archaea,Protists,5,6,8046,11915,2995,0.3722,0.1765
POS,Thermoproteota,Evosea,Archaea,Protists,5,7,8046,9541,2610,0.3244,0.1743
POS,Thermoproteota,Heterolobosea,Archaea,Protists,5,8,8046,10343,2856,0.355,0.1839
POS,Thermoproteota,Mucoromycota,Archaea,Fungi,5,9,8046,12875,1454,0.1807,0.0747
POS,Thermoproteota,Ascomycota,Archaea,Fungi,5,10,8046,36490,7225,0.898,0.1936
POS,Thermoproteota,Basidiomycota,Archaea,Fungi,5,11,8046,33937,6616,0.8223,0.1871
POS,Thermoproteota,Chlorophyta,Archaea,Viridiplantae,5,12,8046,33747,6826,0.8484,0.1952
