motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_0,Chlorophyta,Plantae,3,31,303,0.0968,0.0529,1.8282,1.9261,0.2243261027158696,0.6361082410969265,False
motif_0,Heterolobosea,Protozoa,2,31,506,0.0645,0.0884,0.7298,0.71,0.7734784048449987,0.8970009254697551,False
motif_0,Methanobacteriota,Archaea,2,31,277,0.0645,0.0484,1.3332,1.3587,0.4467991934440507,0.7156883735687211,False
motif_0,Mollusca,Animalia,2,31,324,0.0645,0.0566,1.1398,1.1504,0.530825257509335,0.7763287727147306,False
motif_0,Streptophyta,Plantae,10,31,1144,0.3226,0.1999,1.614,1.9144,0.07375825780125558,0.43188986109328437,False
motif_0,Thermoproteota,Archaea,3,31,306,0.0968,0.0535,1.8102,1.9059,0.2286645212092346,0.6361082410969265,False
motif_1,Heterolobosea,Protozoa,4,21,506,0.1905,0.0884,2.1547,2.4378,0.10845955912806761,0.5125399382622401,False
motif_1,Methanobacteriota,Archaea,2,21,277,0.0952,0.0484,1.968,2.0777,0.2702711503723978,0.6450543693352696,False
motif_1,Streptophyta,Plantae,4,21,1144,0.1905,0.1999,0.953,0.9418,0.6293977391909774,0.8229884709073723,False
motif_10,Arthropoda,Animalia,3,47,744,0.0638,0.13,0.4911,0.4542,0.9543783746150323,0.9944454574894428,False
motif_10,Heterolobosea,Protozoa,5,47,506,0.1064,0.0884,1.2034,1.2299,0.4027226722200598,0.6985510250220266,False
motif_10,Methanobacteriota,Archaea,9,47,277,0.1915,0.0484,3.957,4.7801,0.0003434718363511447,0.008483106297804686,True
motif_10,Nematoda,Animalia,4,47,234,0.0851,0.0409,2.0818,2.203,0.12422017734479446,0.5384245435242913,False
motif_10,Streptophyta,Plantae,4,47,1144,0.0851,0.1999,0.4258,0.3702,0.9908544345144256,0.9999988974232555,False
motif_10,Thermoproteota,Archaea,8,47,306,0.1702,0.0535,3.184,3.7026,0.0030778064709596526,0.055956231534530346,False
motif_100,Arthropoda,Animalia,2,25,744,0.08,0.13,0.6155,0.5809,0.8548549690068732,0.9490486956123482,False
