motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_0,Arthropoda,Animalia,2,32,336,0.0625,0.0391,1.5988,1.6425,0.35762224388746044,0.813577666267855,False
motif_0,Methanobacteriota,Archaea,3,32,869,0.0938,0.1011,0.9273,0.9194,0.6414677541020282,0.9497811466344049,False
motif_0,Mucoromycota,Fungi,3,32,862,0.0938,0.1003,0.9348,0.9278,0.6358028938934106,0.9497811466344049,False
motif_0,Nematoda,Animalia,2,32,128,0.0625,0.0149,4.1968,4.464,0.08170605474684652,0.49399972990175034,False
motif_0,Streptophyta,Plantae,4,32,1334,0.125,0.1552,0.8054,0.7769,0.754213836799261,0.9798930526380571,False
motif_0,Thermoproteota,Archaea,4,32,992,0.125,0.1154,1.083,1.0953,0.5135867963949319,0.911127260507399,False
motif_1,Chlorophyta,Plantae,4,43,286,0.093,0.0333,2.7956,3.0078,0.05369637105923513,0.40167230569799295,False
motif_1,Evosea,Protozoa,5,43,532,0.1163,0.0619,1.8786,2.0036,0.12454672259967571,0.5792528045168349,False
motif_1,Mollusca,Animalia,2,43,370,0.0465,0.043,1.0805,1.0848,0.5582363844297268,0.9330584541935542,False
motif_1,Mucoromycota,Fungi,7,43,862,0.1628,0.1003,1.6232,1.7505,0.13421415768936487,0.601394125118331,False
motif_1,Streptophyta,Plantae,4,43,1334,0.093,0.1552,0.5994,0.5569,0.9184168439224998,0.9970658001700066,False
motif_1,Thermoproteota,Archaea,2,43,992,0.0465,0.1154,0.403,0.3726,0.9664201298725796,1.0,False
motif_2,Mollusca,Animalia,3,30,370,0.1,0.043,2.323,2.482,0.13695871297224077,0.601394125118331,False
motif_2,Mucoromycota,Fungi,2,30,862,0.0667,0.1003,0.6647,0.64,0.8181282438193953,0.99451782107906,False
motif_2,Streptophyta,Plantae,6,30,1334,0.2,0.1552,1.2886,1.3624,0.31810877031710616,0.8117970567183294,False
motif_3,Chlorophyta,Plantae,5,28,286,0.1786,0.0333,5.3665,6.4103,0.0020629788381600505,0.04157695812291794,True
motif_3,Mucoromycota,Fungi,3,28,862,0.1071,0.1003,1.0683,1.0768,0.5429573409626866,0.9189162967462194,False
motif_3,Streptophyta,Plantae,4,28,1334,0.1429,0.1552,0.9204,0.9069,0.6516292074322156,0.9497811466344049,False
motif_3,Thermoproteota,Archaea,3,28,992,0.1071,0.1154,0.9283,0.9195,0.6426648635875976,0.9497811466344049,False
motif_4,Evosea,Protozoa,4,29,532,0.1379,0.0619,2.2284,2.4358,0.10127379981579102,0.5415048071783112,False
motif_4,Methanobacteriota,Archaea,2,29,869,0.069,0.1011,0.6821,0.6578,0.8067818968938026,0.99451782107906,False
motif_4,Streptophyta,Plantae,3,29,1334,0.1034,0.1552,0.6665,0.6272,0.8499666649053945,0.9945676565140079,False
motif_4,Thermoproteota,Archaea,6,29,992,0.2069,0.1154,1.7926,2.0055,0.1096599695491482,0.5560821681653579,False
motif_5,Arthropoda,Animalia,4,33,336,0.1212,0.0391,3.1006,3.4192,0.038436508579418945,0.30985739224023884,False
motif_5,Evosea,Protozoa,4,33,532,0.1212,0.0619,1.9583,2.0987,0.14448887604037666,0.6084520257449363,False
motif_5,Methanobacteriota,Archaea,2,33,869,0.0606,0.1011,0.5994,0.5726,0.8606890046247815,0.9970658001700066,False
motif_5,Mollusca,Animalia,2,33,370,0.0606,0.043,1.4079,1.4365,0.41867545586193744,0.8580936331355484,False
motif_5,Mucoromycota,Fungi,4,33,862,0.1212,0.1003,1.2086,1.2385,0.4253919148251349,0.8660865725436107,False
motif_5,Streptophyta,Plantae,4,33,1334,0.1212,0.1552,0.781,0.75,0.7758574572813655,0.9929515092354594,False
