,Actinomycetota,Arthropoda,Ascomycota,Bacillota,Basidiomycota,Chlorophyta,Discosea,Evosea,Heterolobosea,Methanobacteriota,Mollusca,Mucoromycota,Nematoda,Pseudomonadota,Streptophyta,Thermoproteota
Actinomycetota,7,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1
Arthropoda,0,5,3,0,0,0,0,1,0,0,1,1,0,0,0,0
Ascomycota,1,0,14,0,4,0,0,0,0,1,3,3,0,0,1,0
Bacillota,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,1
Basidiomycota,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,1
Chlorophyta,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0
Discosea,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Evosea,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Heterolobosea,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
Methanobacteriota,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1
Mollusca,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mucoromycota,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
Nematoda,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Pseudomonadota,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
Streptophyta,0,0,0,0,0,1,0,0,0,1,0,2,0,0,10,0
Thermoproteota,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
