soil_id,feature_id,soil_pepmass,phylum,kingdom,max_cosine,confirmed
27,NEG_35399,619.0397085750695,Actinomycetota,Bacteria,0.5360684073803446,False
28,NEG_76163,833.0501168097773,Bacillota,Bacteria,0.0,False
32,NEG_80693,855.0317079113277,Bacillota,Bacteria,0.6586509088048098,False
33,NEG_38876,641.0218622429699,Bacillota,Bacteria,0.9194834819292057,True
48,NEG_9335,405.0294274140056,Actinomycetota,Bacteria,0.994303127381457,True
63,NEG_13920,448.99354755088,Evosea,Protozoa,0.9025528596246356,True
504,NEG_4906,343.08288764926937,Actinomycetota,Bacteria,0.3596908445391699,False
765,NEG_5083,347.1505458964146,Actinomycetota,Bacteria,0.5349686591910496,False
954,NEG_9352,405.1924383636261,Basidiomycota,Fungi,0.9090749310892134,True
957,NEG_16426,469.2447724383579,Streptophyta,Plantae,0.16305961190799106,False
983,NEG_8094,391.1768025189145,Arthropoda,Animalia,0.14938809582347817,False
1071,NEG_5924,363.1819815003328,Arthropoda,Animalia,0.051395459628971435,False
1162,NEG_14161,451.234365376011,Chlorophyta,Plantae,0.03667653588253661,False
1228,NEG_4806,341.19740306815885,Actinomycetota,Bacteria,0.3147007483935058,False
1244,NEG_4920,343.21299079784126,Actinomycetota,Bacteria,0.7878452684193267,True
1218,NEG_6812,375.1817742156318,Arthropoda,Animalia,0.19540375949424427,False
1253,NEG_4095,329.06719412628127,Actinomycetota,Bacteria,0.5951406061442668,False
1252,NEG_4627,339.1817041994435,Basidiomycota,Fungi,0.23185930150675008,False
1338,NEG_25642,549.2710912456638,Chlorophyta,Plantae,0.0,False
1326,NEG_8096,391.213071145076,Actinomycetota,Bacteria,0.3722771798884146,False
1323,NEG_2523,303.1453384965773,Evosea,Protozoa,0.8809246246235911,True
801,NEG_12164,433.22312498427385,Streptophyta,Plantae,0.29668082242410587,False
1400,NEG_8438,395.2079054242791,Streptophyta,Plantae,0.1904467823295539,False
1351,NEG_6041,365.1973063776259,Actinomycetota,Bacteria,0.4949707350904558,False
1367,NEG_23778,533.276700491614,Basidiomycota,Fungi,0.02599702232934967,False
1415,NEG_3175,313.03612530713195,Streptophyta,Plantae,0.4126854467387217,False
1423,NEG_5028,345.22862780040737,Arthropoda,Animalia,0.8393739091942993,True
1427,NEG_6921,377.1973526509936,Arthropoda,Animalia,0.05096670716894131,False
1478,NEG_3575,321.17117090827975,Chlorophyta,Plantae,0.553654915603939,False
1561,NEG_5762,359.163057767737,Chlorophyta,Plantae,0.11046891726896016,False
1556,NEG_5010,345.1710942452942,Arthropoda,Animalia,0.33978961392015683,False
1680,NEG_7080,379.2128744928936,Bacillota,Bacteria,0.574888542016924,False
1633,NEG_6194,367.2132066084116,Chlorophyta,Plantae,0.4888733021259639,False
1670,NEG_5094,347.186832915544,Actinomycetota,Bacteria,0.7563073418350151,True
1659,NEG_21947,517.282137866116,Basidiomycota,Fungi,0.08176547720164595,False
1671,NEG_6384,369.2286726866574,Actinomycetota,Bacteria,0.7139995307684947,True
1676,NEG_3695,323.18684706266487,Actinomycetota,Bacteria,0.6073195108484499,False
1761,NEG_4174,330.2371187089123,Actinomycetota,Bacteria,0.8956146164117263,True
1704,NEG_20618,505.2817221581364,Basidiomycota,Fungi,0.056421488891407176,False
1709,NEG_4134,329.2337256032183,Actinomycetota,Bacteria,0.9165866537224436,True
1825,NEG_24051,535.3280959316015,Basidiomycota,Fungi,0.08740011269367294,False
1714,NEG_5704,357.2286398886467,Streptophyta,Plantae,0.12395564760254149,False
1769,NEG_20366,503.30262573372767,Basidiomycota,Fungi,0.2644293378947821,False
1801,NEG_3970,327.2181106175439,Actinomycetota,Bacteria,0.6922313858995817,False
1809,NEG_10703,419.2441773485074,Basidiomycota,Fungi,0.34696877214805333,False
1815,NEG_22449,521.312461505242,Basidiomycota,Fungi,0.24265981149168409,False
1813,NEG_5190,349.2024897544538,Actinomycetota,Bacteria,0.6576967018097537,False
1816,NEG_3831,325.20245677730924,Actinomycetota,Bacteria,0.41283607476406836,False
1885,NEG_10149,413.2549171644921,Actinomycetota,Bacteria,0.14601040670876597,False
1912,NEG_2998,311.1869751293094,Actinomycetota,Bacteria,0.6469117842150357,False
2348,NEG_5310,351.21815665768094,Actinomycetota,Bacteria,0.40018189092460715,False
2017,NEG_2632,305.1762400164091,Actinomycetota,Bacteria,0.4341965751468386,False
2030,NEG_4685,339.21786790146416,Streptophyta,Plantae,0.6040168029104621,False
2031,NEG_20914,507.2608495236131,Ascomycota,Fungi,0.49376061646841835,False
2155,NEG_26080,553.2660729479416,Chlorophyta,Plantae,0.7689329087382609,True
2016,NEG_18385,485.2918142495615,Basidiomycota,Fungi,0.36271901999726164,False
2300,NEG_18807,489.286291216602,Ascomycota,Fungi,0.09838096980837059,False
2078,NEG_40190,649.3965025095263,Actinomycetota,Bacteria,0.0804039282651693,False
2164,NEG_2802,309.1712695224029,Actinomycetota,Bacteria,0.6092782844032039,False
2146,NEG_39883,647.3809783190641,Basidiomycota,Fungi,0.22706051791690474,False
2463,NEG_5449,353.233783131689,Actinomycetota,Bacteria,0.7283501330529324,True
2307,NEG_99384,997.5382435971754,Arthropoda,Animalia,0.05773022610118671,False
2191,NEG_40507,651.4110548201508,Basidiomycota,Fungi,0.0,False
2309,NEG_16877,473.2912205703313,Basidiomycota,Fungi,0.47500551341965574,False
2613,NEG_13431,444.2391978747437,Arthropoda,Animalia,0.06025842305768801,False
2275,NEG_5571,355.24949176725096,Arthropoda,Animalia,0.8460703300454311,True
2437,NEG_9515,407.05413521752087,Actinomycetota,Bacteria,0.7792981320763653,True
2507,NEG_37650,633.4017157953466,Basidiomycota,Fungi,0.40978092936081684,False
2541,NEG_57814,749.4490736771563,Chlorophyta,Plantae,0.0,False
2294,NEG_4937,343.2492113709153,Actinomycetota,Bacteria,0.8792938188347044,True
2496,NEG_8467,395.24413904099055,Basidiomycota,Fungi,0.6994796263411052,False
2636,NEG_19288,493.2444898137359,Streptophyta,Plantae,0.8363710675217315,True
2539,NEG_2705,307.19190001508025,Actinomycetota,Bacteria,0.4989801002880412,False
2588,NEG_21011,507.3330320213868,Ascomycota,Fungi,0.21760191828199632,False
2557,NEG_12201,433.2596082173693,Chlorophyta,Plantae,0.89201720421985,True
2729,NEG_17411,477.2860987548973,Chlorophyta,Plantae,0.0,False
2608,NEG_4312,333.20754904811446,Actinomycetota,Bacteria,0.3589570857317234,False
2433,NEG_3056,311.22313073840564,Actinomycetota,Bacteria,0.9475509991546269,True
2600,NEG_18653,487.3435574875824,Arthropoda,Animalia,0.7286654676470237,True
2648,NEG_4431,335.2232241611745,Actinomycetota,Bacteria,0.5411307413847217,False
2816,NEG_6227,367.2491915539215,Arthropoda,Animalia,0.5525040040674231,False
