phylum,pos_samples,pos_genera,pos_batches,neg_samples,neg_batches,tier,note
Ascomycota,27,22,3,32,5,A,
Bacillota,25,7,3,28,2,A,
Methanobacteriota,16,9,3,17,3,A,
Actinomycetota,15,6,4,19,4,A,
Streptophyta,14,14,3,16,4,A,
Basidiomycota,10,9,3,11,3,A,
Pseudomonadota,8,4,3,8,3,A,
Mucoromycota,7,3,2,7,2,A,
Arthropoda,11,8,1,22,1,B,*
Discosea,7,2,2,6,2,B,
Chlorophyta,5,5,1,10,1,B,
Evosea,5,1,1,5,1,B,
Heterolobosea,5,1,2,2,1,B,
Nematoda,4,2,1,3,1,B,
Thermoproteota,3,1,1,4,1,B,
Cyanobacteriota,2,2,1,1,1,C,
Mollusca,2,1,1,2,1,C,
Cercozoa,1,1,1,1,1,D,
Mortierellomycota,1,1,1,1,1,D,
